Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2072423, 0.16, 10, 1, 0, 0, 346152, 45534, 36, 47, 0, 49152, 0, 0.109944, 0.015705999999999998, 70412, 5014, 0, 0, 96, 0, 67, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 2019929, 0.43, 17, 6, 1, 0, 1770008, 1063570, 552, 308, 671744, 1118208, 0, 0.17943699999999999, 0.06676699999999999, 69392, 8874, 0, 1304, 184, 42, 51, 0.018106, 0.005127, 64272, 1214, 0, 8, 2000, 19, 50
do_recipe_qa, 54599, 0.05, 7, 0, 1, 0, 484230, 125533, 387, 208, 0, 106496, 0, 0.07492399999999999, 0.007885999999999999, 62840, 16107, 0, 0, 176, 23, 3, 0.012428, 0.000287, 60040, 3996, 0, 0, 32, 147, 10
do_install, 2216697, 2.52, 17, 3, 35, 13, 6491457, 3472415, 8112, 1366, 274432, 3469312, 4096, 0.170347, 0.034068999999999995, 66476, 12163, 0, 0, 216, 260, 261, 0.35323099999999996, 0.130093, 64400, 86460, 6, 536, 6560, 1783, 1425
do_deploy_source_date_epoch, 361756, 0.26, 17, 1, 1, 1, 547160, 162037, 495, 287, 0, 114688, 0, 0.172293, 0.016027, 65876, 18611, 0, 0, 184, 49, 190, 0.011042, 0.018757, 63076, 4667, 0, 0, 40, 67, 78
do_packagedata, 2235741, 0.24, 18, 4, 2, 2, 882558, 335292, 946, 328, 0, 233472, 0, 0.180505, 0.040111999999999995, 72692, 23498, 0, 0, 224, 78, 70, 0.029761, 0.026565, 69896, 6963, 1, 0, 232, 123, 134
do_compile, 2183853, 12.39, 18, 3, 4324, 444, 333264866, 35839170, 78532, 15642, 2158592, 16261120, 4026368, 0.183857, 0.035873999999999996, 71288, 8446, 0, 0, 1704, 244, 78, 43.247174, 4.44796, 135756, 2563096, 36, 4216, 30056, 18253, 21504
do_fetch, 54696, 1.04, 5, 0, 0, 0, 1133110, 803895, 869, 1220, 0, 798720, 0, 0.050501, 0.008416, 61004, 6196, 0, 0, 120, 78, 7, 0.0, 0.008725, 57628, 929, 0, 0, 1440, 320, 8
do_patch, 333373, 1.10, 12, 2, 9, 1, 1550369, 483955, 1295, 286, 0, 524288, 16384, 0.12294799999999999, 0.021955, 63964, 10364, 0, 0, 136, 17, 137, 0.093098, 0.015534, 57956, 18830, 1, 0, 888, 327, 147
do_unpack, 332617, 0.39, 9, 1, 6, 2, 7577962, 12159170, 1631, 1826, 4096, 7045120, 0, 0.095228, 0.011902999999999999, 63624, 9755, 0, 0, 136, 12, 66, 0.065554, 0.025589999999999998, 60148, 3983, 0, 8, 13624, 747, 741
do_configure, 2022240, 68.78, 32, 6, 1236, 265, 266304332, 33124250, 122511, 31455, 1847296, 32567296, 21483520, 0.328274, 0.061550999999999995, 71380, 17325, 0, 1128, 392, 469, 101, 12.362529, 2.65565, 96388, 1447088, 45, 2480, 63216, 13427, 13040
do_create_spdx, 2275570, 0.52, 25, 5, 3, 3, 2018009, 1473167, 877, 1409, 32768, 569344, 0, 0.250585, 0.059663, 74368, 27841, 0, 64, 976, 60, 496, 0.030521, 0.033089, 70744, 7232, 1, 0, 136, 375, 166
do_populate_sysroot, 2224277, 0.44, 28, 4, 6, 4, 7090324, 4369583, 1673, 759, 0, 3719168, 516096, 0.285925, 0.044298, 71924, 24390, 0, 0, 4768, 134, 208, 0.062637, 0.042258, 70036, 11742, 0, 0, 2496, 192, 146
do_create_runtime_spdx, 2912327, 0.86, 18, 4, 3, 1, 1505906, 427110, 734, 258, 196608, 172032, 0, 0.182509, 0.042442999999999995, 62780, 21846, 0, 384, 248, 65, 96, 0.031712, 0.013247, 59260, 5362, 0, 0, 88, 112, 77
do_package_write_rpm, 2910598, 6.36, 28, 7, 628, 27, 31344834, 4401202, 6439, 925, 233472, 2875392, 0, 0.286311, 0.075788, 67292, 24224, 0, 376, 504, 450, 573, 6.281206, 0.270682, 586260, 167319, 0, 80, 5112, 2997, 3250
do_populate_lic, 722045, 0.38, 16, 4, 3, 1, 800373, 231596, 600, 255, 32768, 139264, 0, 0.168286, 0.040068, 69488, 18298, 1, 64, 216, 55, 41, 0.031219999999999998, 0.01159, 66388, 4988, 0, 0, 56, 135, 84
do_package_qa, 2910938, 2.02, 30, 12, 13, 16, 7879069, 378617, 4489, 349, 0, 163840, 0, 0.305732, 0.121455, 68412, 27152, 0, 0, 272, 216, 2954, 0.139604, 0.163852, 66196, 58797, 1, 0, 48, 303, 473
do_package, 2225581, 2.55, 103, 64, 272, 63, 60082246, 25275123, 24797, 4142, 4096, 16588800, 6889472, 1.037557, 0.641543, 68436, 55228, 0, 8, 824, 3629, 3342, 2.722807, 0.6310209999999999, 66252, 154074, 13, 0, 31576, 5635, 3364
