Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_write_rpm, 3726728, 5.31, 37, 6, 760, 36, 38700972, 6030971, 6874, 1076, 8192, 3948544, 0, 0.376093, 0.06523999999999999, 59796, 23978, 2, 16, 504, 243, 402, 7.601868, 0.360631, 627272, 177060, 0, 0, 7208, 4181, 3206
do_collect_spdx_deps, 3724025, 0.20, 20, 0, 0, 0, 332078, 40533, 23, 40, 0, 49152, 0, 0.209703, 0.007358, 57176, 5410, 0, 0, 96, 0, 78, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_generate_toolchain_file, 572128, 0.11, 11, 3, 0, 0, 312197, 47635, 58, 66, 0, 45056, 0, 0.11278099999999999, 0.033833999999999996, 66784, 7965, 0, 0, 64, 3, 18, 0.0037319999999999996, 0.0, 64088, 508, 0, 0, 24, 4, 3
do_package_qa, 3726789, 1.77, 38, 11, 17, 16, 8657295, 388223, 4853, 355, 0, 159744, 0, 0.387077, 0.11612299999999999, 61124, 29381, 0, 0, 264, 132, 3077, 0.173419, 0.16488999999999998, 58832, 64819, 7, 0, 48, 373, 375
do_recipe_qa, 491450, 0.07, 12, 1, 1, 0, 480211, 118900, 378, 201, 0, 106496, 0, 0.128635, 0.012059, 65824, 16069, 0, 0, 176, 25, 18, 0.010095, 0.006142, 63020, 3973, 0, 0, 32, 143, 10
do_install, 3717638, 0.72, 27, 3, 2, 7, 14308895, 4327478, 4417, 1141, 331776, 4415488, 0, 0.277327, 0.030392, 58296, 14109, 0, 0, 192, 254, 237, 0.028399999999999998, 0.077766, 56212, 3954, 2, 648, 8432, 161, 1064
do_deploy_source_date_epoch, 571731, 0.22, 15, 2, 1, 1, 544698, 151526, 457, 273, 0, 114688, 0, 0.154332, 0.028429, 67076, 18413, 0, 0, 184, 30, 180, 0.011299, 0.017759, 64260, 4674, 0, 0, 40, 79, 47
do_packagedata, 3725596, 0.85, 17, 3, 3, 2, 878883, 305005, 866, 321, 16384, 233472, 0, 0.178412, 0.032438, 59352, 21448, 1, 32, 216, 40, 78, 0.036342, 0.028329999999999998, 56480, 6912, 0, 0, 240, 105, 73
do_compile, 3711098, 7.05, 21, 2, 2867, 133, 115039113, 36523071, 31301, 11168, 1941504, 9854976, 827392, 0.211368, 0.022017, 58284, 8550, 0, 0, 832, 85, 35, 28.670118, 1.3328769999999999, 102028, 498417, 13, 3792, 18416, 6991, 13246
do_fetch, 491679, 11.56, 10, 1, 142, 32, 46027815, 48814515, 37294, 18366, 24576, 16781312, 12288, 0.10142999999999999, 0.013989999999999999, 64024, 11178, 0, 0, 160, 228, 24, 1.4204759999999998, 0.32064499999999996, 60688, 14362, 1, 48, 32616, 21775, 347
