Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 676944, 0.01, 11, 0, 0, 0, 573224, 47135, 42, 54, 0, 49152, 0, 0.11692599999999999, 0.0, 68036, 6878, 0, 0, 96, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 49803, 0.06, 8, 2, 1, 0, 709712, 128912, 407, 222, 0, 106496, 0, 0.08072499999999999, 0.023063999999999998, 63568, 16647, 0, 0, 176, 28, 5, 0.012374999999999999, 0.0012259999999999999, 60768, 4008, 0, 0, 32, 142, 3
do_install, 632992, 0.14, 12, 0, 8, 1, 4229567, 1822881, 37484, 1523, 757760, 2232320, 483328, 0.123275, 0.004109, 68212, 13810, 0, 0, 176, 53, 6, 0.08234899999999999, 0.012981, 65520, 21678, 0, 1480, 4184, 657, 23
do_compile, 626202, 1.79, 12, 1, 1369, 180, 195275474, 6625975, 67527, 8216, 1609728, 3866624, 106496, 0.126666, 0.016888, 68016, 8913, 0, 8, 568, 170, 20, 13.695427, 1.806741, 65324, 1321376, 105, 3136, 6984, 12508, 9977
do_fetch, 50033, 11.79, 9, 0, 0, 0, 1638542, 1396071, 1646, 2444, 0, 1187840, 0, 0.096564, 0.004389, 62440, 9609, 0, 0, 256, 461, 24, 0.0016259999999999998, 0.007094, 58832, 1610, 0, 0, 2064, 452, 1
do_prepare_recipe_sysroot, 601958, 0.07, 8, 3, 2, 0, 2534811, 1990136, 634, 537, 0, 2031616, 0, 0.085088, 0.030941, 67404, 8435, 0, 0, 144, 2, 5, 0.022376, 0.0038789999999999996, 61644, 636, 0, 0, 3824, 8, 2
do_patch, 58795, 0.02, 5, 2, 0, 0, 653245, 124424, 184, 91, 0, 126976, 4096, 0.056579, 0.020206, 61824, 10167, 0, 0, 120, 6, 14, 0.004823, 0.00034399999999999996, 55932, 947, 0, 0, 128, 13, 2
do_populate_sysroot, 633277, 0.13, 14, 1, 3, 1, 5065014, 1999263, 2037, 1008, 0, 1036288, 0, 0.146403, 0.016267, 68672, 29389, 0, 0, 1008, 107, 21, 0.037773, 0.019909, 66472, 13122, 0, 0, 1016, 257, 16
do_unpack, 58740, 0.03, 5, 0, 2, 0, 6895413, 10247061, 793, 1128, 0, 6115328, 0, 0.057655, 0.00887, 62504, 8723, 0, 0, 56, 8, 3, 0.02119, 0.006401, 58820, 1533, 0, 0, 11888, 165, 0
do_configure, 603314, 19.32, 19, 4, 635, 110, 129695489, 24849341, 63948, 19338, 1232896, 23777280, 13012992, 0.192908, 0.047154999999999996, 68436, 17422, 0, 8, 344, 240, 35, 6.35403, 1.101153, 65524, 832046, 26, 2400, 46096, 8176, 5705
do_create_spdx, 677715, 0.10, 12, 3, 1, 1, 1251305, 497765, 634, 291, 0, 212992, 0, 0.124557, 0.035031, 70332, 21114, 0, 0, 312, 34, 61, 0.0178, 0.010964, 67192, 5216, 0, 0, 104, 178, 16
do_deploy_source_date_epoch, 63533, 0.08, 9, 2, 1, 0, 764319, 158474, 493, 299, 0, 118784, 0, 0.098742, 0.022786, 63300, 18771, 0, 0, 192, 34, 21, 0.013071999999999999, 0.003506, 60448, 4713, 0, 0, 40, 138, 7
do_create_runtime_spdx, 764173, 0.18, 16, 3, 2, 0, 1000744, 356606, 418, 249, 0, 139264, 0, 0.165597, 0.038481, 71160, 18391, 0, 0, 192, 32, 46, 0.026157999999999997, 0.005135, 68360, 4247, 0, 0, 80, 73, 42
do_populate_lic, 707047, 0.50, 18, 2, 2, 2, 835595, 175021, 543, 262, 8192, 131072, 0, 0.18070799999999998, 0.027499, 70872, 18554, 1, 8, 224, 29, 76, 0.022715, 0.022375, 67772, 4965, 0, 8, 32, 129, 61
