Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_write_rpm, 3041378, 4.54, 26, 6, 332, 25, 11230505, 2049797, 3475, 746, 1593344, 1335296, 0, 0.263244, 0.061696999999999995, 56852, 23666, 0, 984, 496, 465, 349, 3.323982, 0.25488099999999997, 464616, 134882, 0, 2128, 2112, 2729, 1342
do_collect_spdx_deps, 1453507, 0.14, 12, 1, 0, 0, 343981, 42910, 30, 44, 69632, 53248, 0, 0.120473, 0.01721, 68936, 7009, 0, 136, 104, 17, 35, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 1567633, 2.06, 13, 1, 718, 145, 95186373, 8784372, 36746, 6369, 892928, 3145728, 245760, 0.134874, 0.018602999999999998, 69868, 6102, 0, 0, 800, 141, 27, 7.182919, 1.4534099999999999, 67168, 647267, 13, 1744, 5344, 8438, 8649
do_recipe_qa, 26193, 0.07, 8, 1, 1, 0, 459875, 122962, 383, 205, 0, 102400, 0, 0.08493099999999999, 0.012133, 60836, 15847, 0, 0, 168, 25, 5, 0.011146, 0.005980999999999999, 58028, 4017, 0, 0, 32, 158, 11
do_install, 1576680, 0.80, 19, 1, 14, 5, 2778821, 1240034, 6172, 607, 212992, 1306624, 4096, 0.195905, 0.01999, 62600, 13824, 0, 0, 200, 187, 220, 0.148996, 0.058622999999999995, 60516, 31510, 1, 416, 2352, 942, 698
do_populate_lic, 729513, 0.43, 15, 3, 3, 0, 644496, 181784, 560, 250, 12288, 135168, 0, 0.151673, 0.035921999999999996, 69440, 18339, 1, 24, 224, 44, 44, 0.033929, 0.006108, 66344, 4964, 0, 0, 40, 84, 128
do_packagedata, 1594743, 0.75, 17, 3, 2, 2, 795138, 275499, 889, 316, 4096, 212992, 0, 0.171697, 0.032193, 71152, 23283, 0, 8, 224, 66, 102, 0.027108, 0.025828999999999998, 68416, 6908, 1, 0, 192, 118, 102
do_create_runtime_spdx, 3041943, 1.40, 18, 5, 2, 1, 1222829, 410980, 676, 253, 139264, 167936, 0, 0.18820099999999998, 0.051327, 62276, 21161, 0, 272, 240, 64, 62, 0.029290999999999998, 0.014766, 58680, 5385, 0, 0, 88, 147, 98
do_fetch, 26285, 0.01, 4, 1, 0, 0, 282951, 43351, 25, 53, 0, 53248, 0, 0.044003, 0.012, 59036, 4436, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 1678460, 0.49, 23, 6, 1, 4, 1614690, 949615, 804, 659, 0, 409600, 0, 0.23929, 0.06716899999999999, 73324, 26093, 0, 0, 672, 47, 150, 0.018692999999999998, 0.045929, 69772, 6905, 0, 0, 128, 365, 132
do_patch, 232735, 0.04, 6, 1, 1, 0, 1192358, 632710, 345, 204, 0, 651264, 4096, 0.069918, 0.011039, 62436, 8582, 0, 0, 128, 6, 37, 0.011687999999999999, 0.001493, 56580, 957, 0, 0, 1144, 13, 3
do_prepare_recipe_sysroot, 1527303, 0.27, 13, 6, 2, 0, 1750323, 1051245, 539, 302, 36864, 1097728, 0, 0.13106099999999998, 0.061435, 68240, 8562, 0, 72, 144, 17, 50, 0.020408, 0.0, 63004, 1210, 0, 0, 2000, 16, 14
do_configure, 1527991, 11.89, 23, 6, 513, 87, 129138309, 18111361, 53032, 17072, 819200, 16949248, 9965568, 0.23435399999999998, 0.060607999999999995, 70740, 19876, 0, 768, 328, 225, 302, 5.139767, 0.875312, 67868, 555431, 23, 832, 32776, 5563, 3772
do_populate_sysroot, 1579619, 0.43, 28, 5, 4, 3, 4064463, 1864292, 1533, 689, 0, 1425408, 163840, 0.28461, 0.057691, 70564, 24413, 0, 0, 1896, 68, 69, 0.042667, 0.035088, 68576, 11399, 0, 0, 888, 219, 67
do_package_qa, 3041531, 2.51, 32, 6, 5, 2, 3234819, 230751, 3191, 264, 1060864, 159744, 0, 0.326969, 0.062878, 56920, 21135, 78, 2048, 272, 475, 1979, 0.051963999999999996, 0.025717, 54636, 13117, 0, 24, 40, 104, 152
do_package, 1581576, 3.41, 155, 54, 147, 19, 20567850, 9143139, 12775, 1956, 0, 6021120, 1720320, 1.550402, 0.549263, 64948, 41203, 0, 0, 728, 6882, 1323, 1.474756, 0.19802599999999998, 62764, 51231, 4, 0, 11032, 5630, 1190
do_unpack, 26969, 0.07, 4, 0, 6, 0, 4014874, 6117589, 1018, 1300, 0, 3395584, 0, 0.041375999999999996, 0.008275, 59116, 7272, 0, 0, 56, 6, 4, 0.061896, 0.002861, 55520, 1785, 0, 0, 6576, 585, 3
do_deploy_source_date_epoch, 238922, 0.13, 17, 1, 2, 0, 544951, 160021, 472, 284, 0, 114688, 0, 0.177447, 0.011829, 64140, 18530, 0, 0, 184, 30, 8, 0.022647999999999998, 0.001996, 61340, 4670, 0, 0, 40, 128, 10
