Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 69468, 0.18, 11, 3, 8, 3, 13236205, 3612388, 3466, 1314, 0, 1220608, 4096, 0.118624, 0.031633, 63180, 31494, 0, 0, 520, 112, 62, 0.088571, 0.037690999999999995, 60992, 30419, 0, 0, 1864, 343, 33
do_collect_spdx_deps, 46276, 0.01, 2, 1, 0, 0, 355685, 44026, 38, 48, 0, 53248, 0, 0.029538, 0.012712999999999999, 60496, 4374, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7875, 0.15, 14, 2, 1, 0, 468795, 127730, 412, 216, 0, 106496, 0, 0.14407, 0.021186, 59088, 15354, 0, 0, 176, 44, 20, 0.012950999999999999, 0.00787, 56288, 3999, 0, 0, 32, 72, 63
do_install, 68767, 0.21, 7, 1, 21, 3, 9154788, 3229286, 7787, 988, 0, 3207168, 385024, 0.072485, 0.016107, 62392, 13451, 0, 0, 192, 93, 4, 0.21187599999999998, 0.038637, 59696, 72888, 1, 0, 6072, 1293, 52
do_compile, 63518, 1.71, 6, 0, 238, 30, 49715527, 8165771, 37250, 5325, 0, 7061504, 2412544, 0.066496, 0.004749, 62256, 7921, 0, 0, 152, 69, 3, 2.389577, 0.307483, 59564, 502605, 6, 0, 13640, 10669, 395
do_fetch, 8987, 1.95, 8, 1, 0, 0, 2294774, 2049196, 1301, 2907, 0, 2019328, 0, 0.081394, 0.015503, 57236, 5699, 0, 0, 144, 98, 5, 0.009903, 0.008329, 53776, 903, 0, 0, 3800, 557, 6
do_configure, 58655, 5.00, 12, 2, 355, 67, 128373915, 22502030, 71766, 22573, 5509120, 22519808, 12374016, 0.129948, 0.02094, 63176, 16600, 0, 0, 336, 310, 17, 3.558038, 0.6780579999999999, 60296, 954464, 13, 10760, 43648, 9177, 640
do_unpack, 9400, 0.08, 3, 1, 6, 0, 11062892, 17062400, 1714, 1435, 0, 8884224, 0, 0.036615, 0.015691999999999998, 57604, 14425, 0, 0, 88, 36, 3, 0.060953, 0.0025239999999999998, 53944, 8583, 0, 0, 17264, 311, 15
do_populate_lic, 755597, 0.21, 13, 3, 2, 1, 1008151, 279554, 618, 270, 53248, 147456, 0, 0.13385, 0.036504, 69932, 18136, 2, 104, 224, 43, 207, 0.029205, 0.012074, 66840, 5047, 1, 0, 64, 100, 86
do_prepare_recipe_sysroot, 58646, 0.02, 3, 0, 0, 0, 1094430, 827580, 328, 244, 0, 856064, 0, 0.037313, 0.007462, 61136, 5520, 0, 0, 152, 2, 4, 0.007463, 0.001125, 55424, 594, 0, 0, 1520, 9, 1
do_patch, 11323, 0.35, 4, 2, 33, 5, 10095245, 5158815, 9404, 2053, 49152, 5120000, 4096, 0.048497, 0.026114, 57380, 16478, 0, 0, 160, 69, 6, 0.338759, 0.050697, 51752, 145201, 4, 96, 9840, 2327, 125
do_deploy_source_date_epoch, 12871, 0.08, 7, 2, 1, 0, 525168, 155846, 481, 293, 0, 118784, 0, 0.078842, 0.020748, 59316, 17676, 0, 0, 192, 31, 12, 0.013516, 0.002887, 56516, 4664, 0, 0, 40, 163, 7
do_create_runtime_spdx, 791333, 0.42, 11, 2, 1, 1, 784454, 355533, 429, 244, 0, 135168, 0, 0.111911, 0.026858, 69400, 15428, 0, 0, 184, 39, 44, 0.018955, 0.014348999999999999, 66592, 4253, 0, 0, 80, 71, 50
do_create_spdx, 46345, 0.08, 7, 2, 1, 0, 1023231, 549998, 655, 371, 0, 225280, 0, 0.072185, 0.024061, 63672, 20488, 0, 0, 336, 36, 3, 0.014110999999999999, 0.005847, 60536, 5230, 0, 0, 104, 174, 6
