Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 586234, 0.01, 13, 1, 0, 0, 565344, 45831, 38, 52, 8192, 53248, 0, 0.132536, 0.01949, 67320, 7063, 0, 16, 104, 2, 64, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 769335, 0.13, 15, 4, 1, 1, 993075, 355709, 442, 247, 0, 139264, 0, 0.15427, 0.042423999999999996, 71000, 18322, 0, 0, 192, 42, 55, 0.014898, 0.013999999999999999, 68200, 4244, 0, 0, 80, 89, 82
do_recipe_qa, 23408, 0.06, 7, 2, 1, 0, 686981, 127897, 408, 220, 0, 106496, 0, 0.074574, 0.023549, 61192, 16473, 0, 0, 176, 28, 5, 0.011556, 0.002051, 58392, 4005, 0, 0, 32, 141, 9
do_install, 482880, 0.35, 16, 2, 18, 5, 11637285, 3056763, 4724, 572, 0, 3108864, 4096, 0.16891799999999998, 0.028152999999999997, 66616, 14683, 0, 0, 152, 52, 5, 0.182392, 0.051307, 63924, 36472, 1, 0, 5920, 434, 50
do_compile, 315501, 46.96, 44, 5, 5065, 1045, 774744912, 37297929, 400415, 53420, 77824, 18489344, 6115328, 0.447629, 0.054258, 66612, 9288, 0, 0, 5360, 1723, 265, 50.659201, 10.458157, 70600, 8422456, 369, 152, 30752, 88356, 62554
do_fetch, 23568, 16.26, 12, 0, 1, 2, 4845213, 4346886, 3998, 6181, 0, 4337664, 0, 0.125906, 0.008121999999999999, 63680, 8589, 0, 0, 112, 249, 11, 0.012104, 0.021443, 56484, 899, 0, 0, 8360, 2548, 10
do_prepare_recipe_sysroot, 158133, 0.05, 9, 1, 1, 0, 1826668, 1338321, 463, 375, 0, 1376256, 0, 0.094817, 0.011852, 63168, 7939, 0, 0, 152, 2, 3, 0.019861, 0.0, 57276, 610, 0, 0, 2536, 9, 3
do_patch, 27986, 0.03, 7, 0, 0, 0, 644458, 120512, 180, 85, 0, 126976, 4096, 0.07189999999999999, 0.004229, 60788, 10026, 0, 0, 120, 6, 11, 0.002646, 0.002217, 54996, 929, 1, 0, 128, 14, 2
do_configure, 158799, 31.14, 29, 2, 1962, 309, 350457281, 89457665, 167231, 62303, 0, 85118976, 49135616, 0.298556, 0.024879, 64320, 16705, 0, 0, 408, 649, 34, 19.623368, 3.097553, 61524, 2285241, 96, 0, 165840, 18335, 8621
do_populate_sysroot, 484536, 0.34, 20, 3, 8, 3, 12096926, 6496908, 2408, 1111, 4096, 4431872, 0, 0.20252499999999998, 0.036454, 67028, 30105, 0, 8, 3968, 118, 57, 0.087699, 0.038398, 64836, 14099, 3, 0, 4688, 246, 166
do_populate_lic, 709981, 0.34, 17, 2, 2, 1, 1148572, 268219, 629, 274, 49152, 155648, 0, 0.17519099999999999, 0.028409, 70736, 18688, 3, 96, 232, 50, 187, 0.023112999999999998, 0.019294, 67652, 5049, 1, 0, 72, 148, 87
do_create_spdx, 586711, 0.25, 17, 3, 2, 1, 1236979, 495756, 635, 285, 0, 212992, 0, 0.178474, 0.032449, 69276, 21083, 0, 0, 312, 53, 22, 0.024571, 0.014140999999999999, 66140, 5209, 1, 0, 104, 95, 90
do_unpack, 27919, 0.10, 5, 1, 8, 2, 34740102, 58277138, 3756, 5767, 102400, 33247232, 0, 0.053008, 0.012232, 60720, 7650, 0, 0, 56, 6, 2, 0.08736999999999999, 0.029491999999999997, 57076, 1013, 0, 200, 64880, 913, 16
do_deploy_source_date_epoch, 28047, 0.07, 10, 0, 0, 0, 744494, 157760, 469, 297, 0, 118784, 0, 0.10939099999999999, 0.004051, 61916, 18574, 0, 0, 192, 26, 6, 0.009698, 0.007349, 59116, 4698, 0, 0, 40, 167, 9
