Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 34933, 0.13, 10, 0, 10, 5, 34519896, 58273416, 3667, 5759, 4096, 33247232, 0, 0.100563, 0.007735, 60356, 7362, 0, 0, 56, 6, 16, 0.103654, 0.050471999999999996, 56736, 984, 0, 8, 64880, 841, 16
do_collect_spdx_deps, 1454604, 0.09, 11, 2, 0, 0, 345140, 43064, 30, 44, 290816, 53248, 0, 0.113505, 0.028376, 68904, 6884, 0, 568, 104, 25, 77, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 2827470, 3.40, 17, 3, 2, 1, 2251700, 411889, 797, 253, 589824, 167936, 0, 0.175867, 0.036809, 74568, 20065, 0, 1152, 240, 65, 59, 0.025647, 0.018925, 71052, 5351, 0, 0, 88, 131, 67
do_recipe_qa, 33154, 0.05, 6, 1, 0, 0, 468519, 123224, 391, 205, 0, 102400, 0, 0.068936, 0.011489, 61704, 15822, 0, 0, 168, 24, 5, 0.0072, 0.007612, 58900, 3984, 0, 0, 32, 127, 7
do_install, 2215548, 1.36, 18, 2, 36, 15, 13201489, 4661356, 6235, 644, 999424, 4714496, 4096, 0.18284399999999998, 0.023849, 65840, 11835, 0, 40, 208, 204, 244, 0.36727499999999996, 0.15222, 63752, 54366, 2, 1912, 9000, 763, 1203
do_configure, 1578116, 113.23, 28, 8, 1922, 340, 357111420, 93222551, 148842, 62067, 3055616, 85774336, 49840128, 0.284895, 0.08025199999999999, 70720, 18168, 0, 136, 424, 553, 185, 19.22226, 3.406197, 67936, 1678930, 72, 5832, 167104, 21343, 18891
do_packagedata, 2231682, 0.30, 16, 4, 3, 2, 1015690, 390082, 887, 323, 0, 266240, 0, 0.163076, 0.044846, 72240, 23452, 0, 0, 224, 50, 75, 0.033703, 0.021845999999999997, 69440, 6949, 0, 0, 296, 116, 97
do_compile, 1840570, 157.60, 51, 7, 8007, 1389, 950845798, 81901177, 439707, 70957, 12283904, 30289920, 9568256, 0.515459, 0.075291, 73656, 9586, 0, 0, 11816, 1812, 98, 80.076875, 13.890001, 79156, 8137221, 303, 23992, 47344, 103329, 77383
do_fetch, 33208, 0.01, 3, 0, 0, 0, 284112, 43399, 25, 53, 0, 53248, 0, 0.037521, 0.007503999999999999, 59908, 4443, 0, 0, 104, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 2221194, 3.33, 106, 77, 181, 26, 94057425, 40292238, 41131, 6861, 114688, 20836352, 8609792, 1.066208, 0.770891, 68888, 41161, 0, 224, 1320, 7081, 10297, 1.8124609999999999, 0.26622799999999996, 66768, 55637, 1, 0, 39376, 5300, 5220
do_create_spdx, 2238288, 0.50, 42, 4, 2, 4, 3161258, 2516662, 1036, 1826, 4096, 1056768, 0, 0.425989, 0.042214999999999996, 74248, 29644, 0, 8, 1856, 63, 335, 0.024697999999999998, 0.045602, 70628, 7168, 1, 0, 208, 358, 148
do_populate_lic, 715865, 0.43, 15, 5, 2, 1, 879726, 263316, 615, 260, 53248, 151552, 0, 0.15085099999999999, 0.050282999999999994, 69460, 18337, 3, 104, 224, 56, 63, 0.024765, 0.016984, 66364, 5008, 0, 0, 72, 90, 83
do_prepare_recipe_sysroot, 1576400, 0.53, 11, 6, 1, 0, 1749387, 1049499, 533, 300, 28672, 1089536, 0, 0.118365, 0.069386, 68240, 6638, 0, 56, 144, 11, 118, 0.018984, 0.006182, 63024, 1201, 0, 0, 1984, 21, 7
do_patch, 265459, 0.06, 10, 2, 1, 0, 2060458, 633452, 448, 206, 0, 651264, 4096, 0.103658, 0.024877999999999997, 63660, 9435, 0, 0, 128, 6, 22, 0.012823, 0.0030759999999999997, 57500, 960, 0, 0, 1144, 12, 6
do_populate_sysroot, 2220667, 1.14, 24, 6, 8, 2, 15047317, 9935525, 2320, 1074, 0, 7888896, 1785856, 0.240372, 0.069785, 71852, 24399, 0, 0, 7024, 129, 97, 0.085589, 0.027183, 69956, 12846, 0, 0, 8384, 234, 206
do_package_qa, 2827370, 4.55, 45, 22, 3, 4, 16659464, 229464, 11130, 264, 0, 159744, 0, 0.450934, 0.22151099999999999, 70680, 23095, 0, 0, 272, 2807, 7421, 0.034817, 0.047706, 68468, 13383, 0, 0, 40, 196, 138
do_package_write_rpm, 2826062, 27.79, 30, 4, 716, 32, 55078185, 6282855, 6999, 1038, 147456, 3985408, 0, 0.30317099999999997, 0.044354, 68204, 23602, 0, 200, 576, 366, 481, 7.162313, 0.325023, 484324, 142384, 0, 88, 7208, 13471, 2984
do_deploy_source_date_epoch, 271302, 0.12, 12, 2, 1, 0, 546494, 160571, 472, 284, 0, 114688, 0, 0.124592, 0.027254, 65000, 18575, 0, 0, 184, 29, 11, 0.019573, 0.0038499999999999997, 62200, 4661, 0, 0, 40, 129, 23
