Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 63098, 0.08, 4, 0, 6, 0, 4617573, 7149722, 1242, 1511, 0, 4001792, 0, 0.048241, 0.004385, 61068, 8711, 0, 0, 56, 10, 0, 0.065069, 0.0066949999999999996, 57440, 2769, 0, 0, 7760, 706, 10
do_install, 2733631, 0.12, 12, 1, 6, 1, 1649533, 644492, 1680, 365, 0, 634880, 4096, 0.123572, 0.016475999999999998, 67728, 14221, 0, 0, 192, 555, 5, 0.06738, 0.010513999999999999, 65652, 20033, 1, 0, 1048, 684, 18
do_configure, 2660129, 46.44, 34, 2, 628, 97, 173071836, 24197380, 74453, 23297, 806912, 22753280, 14753792, 0.34474899999999997, 0.029429, 73092, 20896, 0, 416, 352, 325, 122, 6.281387, 0.976988, 70172, 691694, 23, 1160, 44088, 9118, 6533
do_collect_spdx_deps, 2682049, 0.36, 16, 1, 0, 0, 352835, 44901, 36, 47, 0, 49152, 0, 0.16189299999999998, 0.017041, 72532, 5383, 0, 0, 96, 0, 53, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 2733469, 0.13, 5, 1, 13, 1, 3344254, 284613, 1543, 378, 20480, 122880, 0, 0.058141, 0.010901, 73556, 6357, 0, 0, 80, 7, 6, 0.131215, 0.018071, 70864, 23010, 0, 40, 160, 217, 16
do_recipe_qa, 58727, 0.05, 7, 1, 0, 0, 491918, 125099, 404, 208, 0, 102400, 0, 0.072515, 0.012085, 62588, 16216, 0, 0, 168, 28, 6, 0.009316999999999999, 0.0047009999999999994, 59776, 3993, 0, 0, 32, 140, 5
do_create_runtime_spdx, 2788465, 1.21, 16, 2, 3, 1, 1062651, 413376, 681, 256, 0, 167936, 0, 0.167012, 0.020367, 75644, 21448, 0, 0, 240, 58, 78, 0.030462, 0.011385, 72132, 5353, 0, 0, 88, 115, 82
do_compile, 2732683, 0.59, 10, 2, 197, 22, 20376487, 4317784, 6797, 1906, 552960, 1331200, 40960, 0.107052, 0.020586999999999998, 73556, 6402, 0, 0, 224, 30, 3, 1.975488, 0.22565, 70864, 137251, 1, 1080, 2376, 1430, 180
do_populate_sysroot, 2734391, 5.96, 28, 5, 7, 1, 2796866, 1248412, 1603, 694, 0, 962560, 122880, 0.28715399999999996, 0.059668, 73748, 24701, 0, 0, 1224, 195, 125, 0.072008, 0.013911, 71816, 11669, 0, 0, 656, 201, 267
do_packagedata, 2748434, 0.96, 21, 3, 5, 1, 848426, 304550, 908, 323, 4096, 221184, 0, 0.21549, 0.030784, 73896, 24004, 0, 0, 232, 68, 73, 0.052143999999999996, 0.014972, 71096, 6919, 0, 8, 200, 158, 133
do_install_ptest_base, 2733797, 0.04, 8, 0, 0, 0, 471343, 71637, 471, 114, 4096, 69632, 0, 0.085518, 0.007436, 67952, 10421, 0, 0, 56, 460, 3, 0.005464, 0.003548, 65876, 1929, 0, 8, 80, 89, 0
do_fetch, 58781, 1.14, 5, 0, 0, 0, 978290, 692672, 942, 1080, 0, 688128, 0, 0.055305999999999994, 0.0039499999999999995, 60744, 6222, 0, 0, 120, 91, 5, 0.004256, 0.003021, 57320, 915, 0, 0, 1224, 397, 2
do_deploy_source_date_epoch, 419593, 0.12, 12, 2, 1, 0, 556265, 160719, 476, 284, 0, 118784, 0, 0.129772, 0.022900999999999998, 65780, 18603, 0, 0, 192, 28, 8, 0.012131999999999999, 0.009131, 62980, 4675, 0, 0, 40, 146, 17
do_prepare_recipe_sysroot, 2659035, 0.87, 17, 8, 1, 0, 1802283, 1056058, 574, 306, 249856, 1105920, 0, 0.17435599999999998, 0.085051, 71016, 9243, 0, 480, 160, 40, 21, 0.018733, 0.005652, 66056, 1208, 0, 8, 2000, 21, 16
do_package_write_rpm, 2787569, 3.90, 30, 7, 392, 16, 7215823, 1448010, 2973, 720, 0, 962560, 0, 0.303823, 0.076968, 68928, 23855, 0, 0, 488, 390, 415, 3.921525, 0.167456, 350552, 122382, 0, 0, 1392, 1698, 1383
do_patch, 349819, 0.61, 12, 1, 4, 1, 1260600, 660545, 858, 269, 0, 692224, 4096, 0.125464, 0.012546, 63716, 9233, 0, 0, 144, 14, 65, 0.047956, 0.015432, 57708, 9380, 0, 0, 1208, 146, 59
do_populate_lic, 711321, 0.46, 14, 4, 3, 1, 806598, 231913, 599, 255, 32768, 139264, 0, 0.144447, 0.042484, 69548, 18449, 1, 64, 216, 51, 114, 0.031487999999999995, 0.013824, 66464, 5008, 0, 0, 56, 129, 92
do_create_spdx, 2750524, 1.21, 27, 6, 4, 2, 1373101, 707654, 802, 506, 4096, 299008, 0, 0.270752, 0.063457, 75948, 27242, 0, 8, 472, 70, 123, 0.046251999999999995, 0.022796, 72332, 6882, 2, 0, 112, 326, 136
do_configure_ptest_base, 2732636, 0.03, 11, 1, 0, 0, 311557, 24403, 52, 57, 0, 28672, 0, 0.117473, 0.011746999999999999, 73460, 6176, 0, 0, 56, 2, 2, 0.001973, 0.0, 70764, 363, 0, 0, 0, 1, 0
do_package, 2733868, 10.04, 77, 47, 225, 20, 15076797, 6036555, 8958, 1476, 0, 4284416, 1105920, 0.777878, 0.47567899999999996, 69296, 46015, 0, 0, 648, 898, 2286, 2.250469, 0.205448, 67168, 64518, 4, 0, 7720, 2065, 4192
do_package_qa, 2788048, 1.36, 37, 6, 6, 3, 2187630, 247930, 1540, 277, 0, 159744, 0, 0.37209699999999996, 0.06325599999999999, 69000, 23486, 0, 0, 272, 105, 798, 0.06738899999999999, 0.030847, 66796, 17570, 0, 0, 40, 106, 178
