Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_qa, 2799982, 1.35, 28, 7, 7, 6, 6308613, 269790, 4478, 288, 0, 159744, 0, 0.28048, 0.07212299999999999, 68552, 21818, 0, 0, 272, 76, 3109, 0.079163, 0.061907, 66340, 26414, 1, 0, 40, 211, 262
do_packagedata, 1902979, 0.68, 18, 3, 3, 2, 815997, 274605, 853, 317, 0, 221184, 0, 0.1805, 0.034562999999999997, 72516, 21260, 0, 0, 224, 45, 90, 0.033860999999999995, 0.028589, 69708, 6947, 0, 0, 208, 153, 80
do_create_runtime_spdx, 2800257, 0.62, 18, 3, 2, 1, 1369548, 411776, 694, 253, 45056, 167936, 0, 0.18251699999999998, 0.030418999999999998, 74512, 21079, 0, 88, 240, 62, 130, 0.027859, 0.01478, 70964, 5358, 0, 0, 88, 105, 87
do_collect_spdx_deps, 2038680, 0.06, 15, 1, 0, 0, 343696, 43281, 30, 44, 0, 53248, 0, 0.155272, 0.015924999999999998, 70260, 7128, 0, 0, 104, 0, 41, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 712850, 0.41, 15, 1, 3, 0, 645780, 171266, 604, 249, 28672, 135168, 0, 0.156861, 0.018446, 69396, 18212, 1, 56, 224, 60, 42, 0.03351, 0.008312, 66364, 4953, 0, 0, 40, 103, 84
do_deploy_source_date_epoch, 340171, 0.19, 15, 2, 2, 0, 544857, 159835, 462, 281, 0, 118784, 0, 0.15171099999999998, 0.027229999999999997, 65800, 18669, 0, 0, 192, 31, 39, 0.02248, 0.006013999999999999, 63000, 4667, 0, 0, 40, 76, 38
do_recipe_qa, 44369, 0.05, 7, 1, 1, 0, 479399, 123370, 393, 205, 0, 102400, 0, 0.076249, 0.016052, 62036, 15882, 0, 0, 168, 25, 3, 0.012076, 0.001753, 59232, 3999, 0, 0, 32, 144, 7
do_install, 1884845, 2.57, 21, 2, 29, 12, 5090419, 2466786, 14207, 1111, 839680, 2658304, 12288, 0.210829, 0.022428, 65068, 14633, 0, 0, 280, 347, 247, 0.29725399999999996, 0.12358799999999999, 62968, 58572, 1, 1640, 4912, 1221, 1976
do_compile, 1874861, 4.70, 16, 3, 781, 57, 49857469, 12214897, 18078, 5111, 2310144, 3919872, 90112, 0.16402999999999998, 0.033646999999999996, 70960, 8197, 0, 0, 448, 177, 70, 7.818815, 0.570355, 68264, 351284, 7, 4512, 7208, 5247, 5306
do_fetch, 44418, 4.32, 8, 0, 1, 0, 1549029, 1267627, 1170, 1841, 0, 1265664, 0, 0.08312, 0.0, 60212, 6037, 0, 0, 120, 83, 8, 0.014263999999999999, 0.0051199999999999996, 56860, 902, 0, 0, 2352, 568, 7
do_prepare_recipe_sysroot, 1777101, 0.31, 11, 5, 2, 0, 1747141, 1052164, 539, 303, 139264, 1101824, 0, 0.111499, 0.055749, 69180, 6625, 0, 264, 152, 37, 213, 0.021913, 0.003646, 63980, 1215, 0, 8, 2000, 18, 25
do_populate_sysroot, 1890887, 0.89, 25, 3, 7, 5, 9314471, 4879308, 2163, 890, 0, 3862528, 921600, 0.251929, 0.033039, 71464, 23288, 0, 0, 3480, 118, 95, 0.078011, 0.053111, 69420, 16952, 0, 0, 4064, 239, 214
do_create_spdx, 2039327, 0.77, 26, 6, 3, 3, 1763467, 999832, 842, 579, 4096, 438272, 0, 0.26553499999999997, 0.066383, 73892, 26904, 0, 8, 720, 73, 133, 0.03905, 0.032687, 70276, 6905, 0, 0, 136, 357, 158
do_patch, 322877, 0.11, 9, 1, 3, 1, 1107158, 133758, 755, 134, 0, 159744, 4096, 0.09421099999999999, 0.016384, 63896, 9697, 0, 0, 128, 12, 20, 0.032986, 0.016416, 57800, 9249, 0, 0, 184, 149, 70
do_configure, 1780918, 28.04, 25, 4, 550, 84, 117221100, 18515538, 53719, 16802, 942080, 17092608, 9707520, 0.251639, 0.043762999999999996, 71584, 17111, 0, 440, 328, 267, 64, 5.507565, 0.843934, 68868, 543193, 12, 1400, 33056, 7824, 6429
do_unpack, 321833, 0.11, 8, 2, 6, 2, 8806192, 13649882, 1576, 2108, 0, 7933952, 0, 0.087722, 0.027911, 63788, 9401, 0, 0, 128, 10, 7, 0.066553, 0.024870999999999997, 60332, 3656, 0, 0, 15368, 579, 28
do_package_write_rpm, 2798629, 6.63, 27, 3, 523, 20, 22959129, 3064212, 5284, 800, 282624, 1990656, 0, 0.273099, 0.039578999999999996, 68176, 24228, 0, 464, 512, 351, 354, 5.237825, 0.20982599999999998, 397688, 136575, 0, 88, 3376, 4712, 1874
do_package, 1893846, 3.51, 77, 47, 184, 32, 44285399, 17708640, 20111, 2890, 81920, 10997760, 4116480, 0.7737999999999999, 0.480004, 67168, 45527, 0, 8, 816, 774, 5739, 1.84518, 0.324826, 65048, 77045, 5, 152, 20664, 2809, 3533
