Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 535858, 0.03, 4, 1, 0, 0, 1620009, 633254, 420, 206, 0, 647168, 4096, 0.046525, 0.019385, 65160, 8850, 0, 0, 120, 6, 2, 0.006606, 0.002696, 59468, 960, 0, 0, 1144, 14, 0
do_collect_spdx_deps, 1474908, 0.13, 12, 2, 0, 0, 345226, 42748, 30, 44, 86016, 53248, 0, 0.12575899999999998, 0.02434, 69192, 6929, 0, 168, 104, 21, 56, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 512760, 1.64, 14, 2, 1, 1, 4492112, 4231870, 6125, 7113, 0, 4222976, 0, 0.14496299999999998, 0.025581, 68632, 6601, 0, 0, 112, 1935, 39, 0.014685, 0.016781, 61608, 806, 0, 0, 8136, 1925, 13
do_recipe_qa, 511242, 0.12, 10, 2, 1, 0, 498105, 123021, 372, 205, 4096, 102400, 0, 0.10965699999999999, 0.023497999999999998, 66808, 16164, 0, 0, 168, 24, 36, 0.013548999999999999, 0.009172999999999999, 63996, 3991, 1, 8, 32, 78, 41
do_install, 2169515, 6.86, 21, 2, 67, 16, 9647859, 4800788, 10599, 1696, 40960, 4718592, 122880, 0.213971, 0.028803, 65968, 13896, 0, 0, 264, 431, 297, 0.6713319999999999, 0.163734, 63856, 141711, 1, 80, 8952, 2016, 2844
do_create_spdx, 2625121, 1.65, 33, 4, 5, 2, 2007904, 1484721, 894, 1302, 4096, 602112, 0, 0.33520099999999997, 0.047885, 74956, 28164, 0, 8, 1032, 79, 405, 0.058613, 0.021758, 71324, 7240, 0, 0, 144, 379, 183
do_packagedata, 2292394, 0.61, 17, 3, 3, 1, 860205, 295151, 903, 322, 0, 241664, 0, 0.17577299999999998, 0.032285, 72364, 23521, 0, 0, 224, 59, 82, 0.038007, 0.018829, 69564, 6913, 0, 0, 248, 121, 75
do_compile, 2099063, 31.44, 21, 1, 3214, 329, 261342137, 83760212, 109007, 26478, 3330048, 50573312, 21278720, 0.219884, 0.014658, 71216, 6483, 0, 0, 2408, 469, 58, 32.14244, 3.299458, 69324, 2056607, 62, 6504, 96368, 30142, 24472
do_package_write_rpm, 2786438, 7.01, 24, 7, 604, 22, 43981539, 6826534, 6287, 1011, 4096, 4485120, 0, 0.24299199999999999, 0.071702, 68228, 23617, 0, 8, 520, 224, 431, 6.047272, 0.228894, 535108, 151415, 0, 0, 8240, 2862, 1972
do_prepare_recipe_sysroot, 2023104, 0.25, 14, 7, 2, 0, 1748909, 1048721, 531, 299, 61440, 1085440, 0, 0.144406, 0.07621399999999999, 69196, 8888, 0, 120, 144, 19, 75, 0.020987, 0.0, 64112, 1206, 2, 0, 1976, 18, 9
do_create_runtime_spdx, 2786881, 0.94, 21, 3, 2, 1, 1603320, 424094, 712, 255, 0, 172032, 0, 0.210173, 0.031135999999999997, 74464, 21748, 0, 0, 248, 35, 208, 0.029785, 0.012908, 70952, 5351, 0, 0, 88, 91, 82
do_configure, 2028391, 30.69, 31, 2, 636, 90, 123110111, 20437994, 61311, 17980, 909312, 18849792, 10625024, 0.31205299999999997, 0.029921999999999997, 71496, 17374, 0, 136, 352, 346, 217, 6.368912, 0.908179, 68584, 618721, 19, 1640, 36464, 9267, 9864
do_unpack, 534345, 0.05, 4, 0, 3, 1, 14083656, 18936630, 1269, 1602, 4096, 10092544, 0, 0.048061, 0.004005, 65012, 7548, 0, 0, 56, 6, 3, 0.037079999999999995, 0.013111999999999999, 61440, 990, 0, 8, 19656, 278, 5
do_populate_sysroot, 2292176, 0.96, 24, 4, 7, 6, 9534733, 5858886, 2221, 829, 0, 5169152, 540672, 0.24046399999999998, 0.046541, 71768, 25729, 0, 0, 7384, 129, 96, 0.077634, 0.069783, 69860, 18933, 0, 0, 2712, 220, 252
do_deploy_source_date_epoch, 574228, 0.26, 16, 1, 2, 0, 562503, 159744, 470, 284, 0, 118784, 0, 0.16849, 0.019591, 67208, 18640, 0, 0, 192, 27, 80, 0.020347999999999998, 0.007339999999999999, 64408, 4670, 0, 0, 40, 128, 64
do_populate_lic, 711297, 0.38, 14, 4, 2, 1, 628639, 170168, 583, 248, 0, 131072, 0, 0.140316, 0.041269, 69392, 18330, 0, 0, 216, 52, 97, 0.027378999999999997, 0.013675, 66356, 4985, 3, 0, 40, 134, 70
do_package, 2275754, 4.70, 118, 57, 293, 53, 76356187, 34513264, 28147, 4960, 73728, 22274048, 9310208, 1.189918, 0.571928, 68108, 60261, 0, 144, 872, 637, 6348, 2.937877, 0.5316609999999999, 65988, 148810, 14, 0, 42632, 4570, 4483
do_package_qa, 2786717, 1.94, 40, 15, 12, 16, 10230782, 361591, 5269, 344, 0, 163840, 0, 0.405113, 0.157544, 70632, 28387, 0, 0, 272, 179, 3399, 0.12220099999999999, 0.166426, 68420, 56420, 5, 0, 48, 330, 826
