Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 480706, 0.05, 16, 1, 0, 0, 568566, 48670, 44, 55, 0, 53248, 0, 0.16563899999999998, 0.015775, 66264, 7123, 0, 0, 104, 0, 41, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 44259, 0.05, 8, 1, 1, 0, 704057, 129297, 400, 223, 0, 106496, 0, 0.081486, 0.014815, 62788, 16512, 0, 0, 176, 25, 6, 0.010728, 0.002876, 59988, 4015, 0, 0, 32, 144, 10
do_install, 1141872, 4.68, 31, 6, 66, 24, 12866546, 5727155, 43469, 5328, 290816, 9986048, 1773568, 0.310308, 0.061187, 72288, 15450, 0, 0, 592, 530, 110, 0.667222, 0.24223499999999998, 69468, 106982, 11, 568, 18912, 1486, 1124
do_compile, 1110562, 33.00, 63, 7, 4723, 796, 542807583, 27513434, 247269, 35877, 12017664, 21512192, 2134016, 0.6369319999999999, 0.07767399999999999, 72824, 7625, 0, 0, 5960, 1894, 71, 47.232558, 7.96075, 68880, 4950958, 187, 23472, 36056, 54311, 36444
do_unpack, 319883, 0.24, 16, 2, 11, 5, 20529359, 34286755, 3711, 5720, 12288, 21192704, 0, 0.160468, 0.020572, 65200, 11825, 0, 0, 128, 10, 35, 0.118999, 0.055198, 61780, 4062, 0, 24, 41264, 1894, 1387
do_fetch, 44308, 0.02, 6, 0, 0, 0, 507539, 51709, 39, 68, 0, 53248, 0, 0.066888, 0.003934, 61616, 6891, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1144501, 0.98, 32, 8, 12, 6, 10815951, 5631923, 2644, 1143, 0, 3837952, 0, 0.32670099999999996, 0.08945299999999999, 72044, 32510, 0, 0, 3280, 225, 102, 0.127528, 0.061387, 70028, 17366, 1, 0, 4216, 306, 314
do_create_spdx, 481286, 0.13, 20, 2, 2, 0, 1292235, 502188, 661, 294, 0, 212992, 0, 0.209587, 0.024183, 68296, 21192, 0, 0, 312, 37, 20, 0.025862, 0.003747, 65160, 5209, 0, 0, 104, 150, 16
do_prepare_recipe_sysroot, 1062348, 0.42, 16, 10, 2, 0, 2724557, 1748034, 675, 485, 143360, 1814528, 0, 0.165802, 0.10918699999999999, 69984, 7256, 0, 280, 160, 16, 351, 0.022271, 0.003058, 65096, 631, 0, 0, 3384, 8, 25
do_patch, 322276, 0.13, 15, 2, 3, 1, 926299, 128755, 685, 141, 0, 151552, 4096, 0.15019, 0.023714, 65264, 11541, 0, 0, 128, 14, 22, 0.038186, 0.013738, 59612, 9272, 0, 0, 168, 145, 60
do_configure, 1062659, 77.79, 35, 5, 1315, 136, 137734682, 23586580, 77564, 20287, 2334720, 22478848, 10481664, 0.357728, 0.056713, 72096, 18409, 0, 16, 360, 348, 70, 13.150974, 1.367265, 69188, 940546, 38, 4544, 43544, 11342, 11652
do_create_runtime_spdx, 782785, 0.54, 17, 4, 2, 0, 996020, 357046, 445, 250, 0, 135168, 0, 0.177311, 0.041498, 71232, 16066, 0, 0, 184, 49, 304, 0.029651, 0.0030269999999999997, 68420, 4256, 0, 0, 80, 57, 80
do_populate_lic, 730922, 0.55, 18, 3, 2, 2, 1071170, 231925, 613, 269, 53248, 135168, 0, 0.180555, 0.032407, 70848, 18537, 2, 104, 224, 43, 103, 0.023732, 0.021082, 67764, 5041, 0, 0, 40, 98, 77
do_deploy_source_date_epoch, 344165, 0.49, 18, 2, 2, 0, 759821, 162662, 486, 324, 0, 122880, 0, 0.18812299999999998, 0.029262999999999997, 66532, 19109, 0, 0, 200, 40, 46, 0.025339999999999998, 0.005474, 63732, 4673, 0, 0, 40, 63, 35
