Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1880275, 0.07, 12, 0, 0, 0, 348362, 45813, 36, 47, 0, 49152, 0, 0.12871, 0.0039, 71456, 5297, 0, 0, 96, 0, 93, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2092900, 1.29, 19, 4, 4, 1, 1163525, 484448, 985, 339, 4096, 335872, 0, 0.196036, 0.047048, 72708, 23463, 0, 0, 232, 73, 131, 0.049403999999999997, 0.015674, 69884, 7039, 0, 8, 424, 170, 107
do_configure, 1836925, 47.48, 32, 3, 1212, 143, 187666116, 26843519, 88580, 23968, 2519040, 25296896, 14209024, 0.32897099999999996, 0.037476999999999996, 72468, 16768, 0, 1464, 400, 373, 147, 12.126704, 1.439116, 69580, 910006, 31, 3456, 49008, 9316, 9297
do_create_runtime_spdx, 2941916, 1.06, 19, 3, 3, 0, 3274261, 428041, 950, 259, 1056768, 176128, 0, 0.192402, 0.032749, 63860, 23651, 1, 2064, 256, 74, 209, 0.034184, 0.009574, 60808, 5383, 0, 0, 88, 86, 120
do_recipe_qa, 31693, 0.06, 6, 1, 1, 0, 469510, 124781, 399, 208, 0, 106496, 0, 0.068531, 0.016125, 61644, 15805, 0, 0, 176, 29, 7, 0.010719, 0.0031699999999999996, 58836, 4016, 0, 0, 32, 142, 2
do_deploy_source_date_epoch, 261847, 0.14, 16, 3, 2, 0, 548918, 160725, 468, 284, 0, 114688, 0, 0.16056499999999999, 0.039161999999999995, 64596, 18525, 0, 0, 184, 29, 11, 0.023399, 0.00308, 61796, 4665, 0, 0, 40, 101, 19
do_install, 2066457, 6.89, 27, 5, 102, 48, 25143236, 16892446, 59256, 5429, 290816, 21217280, 1773568, 0.278174, 0.05384, 66448, 14008, 0, 0, 560, 1155, 402, 1.022814, 0.48961099999999996, 64272, 165147, 12, 568, 40880, 4543, 15927
do_package, 2080826, 6.53, 152, 76, 480, 72, 194977516, 102451658, 92552, 11700, 0, 64208896, 26771456, 1.5215619999999999, 0.769141, 70308, 51251, 0, 0, 2008, 2277, 30277, 4.806744, 0.725726, 430952, 173334, 3, 0, 123400, 15879, 17144
do_compile, 1969361, 45.31, 58, 7, 6110, 1027, 782484724, 205879682, 288018, 69001, 12247040, 110104576, 33083392, 0.583155, 0.073507, 72876, 9405, 0, 0, 7592, 1959, 161, 61.108658, 10.273536, 79132, 5162971, 175, 23920, 207456, 74392, 61231
do_populate_lic, 724583, 0.50, 15, 3, 3, 1, 820925, 227184, 590, 254, 61440, 135168, 0, 0.159235, 0.037912999999999995, 69432, 18213, 2, 120, 216, 44, 138, 0.032999, 0.010314, 66400, 4989, 0, 0, 48, 125, 108
do_fetch, 31762, 2.59, 7, 1, 1, 1, 2210038, 1925227, 1972, 2781, 0, 1921024, 0, 0.073533, 0.012255, 61476, 6211, 0, 0, 120, 228, 14, 0.016302, 0.012237999999999999, 56768, 900, 0, 0, 3632, 813, 13
do_prepare_recipe_sysroot, 1832846, 1.05, 18, 13, 2, 0, 3276653, 2059763, 910, 559, 139264, 2142208, 0, 0.186697, 0.133355, 71760, 10123, 0, 264, 168, 40, 109, 0.025800999999999998, 0.008442, 66872, 1235, 0, 8, 4016, 18, 8
do_unpack, 258377, 0.19, 9, 1, 12, 5, 20309149, 34283541, 3520, 5590, 4096, 21192704, 0, 0.090463, 0.017231, 62604, 9356, 0, 0, 128, 10, 10, 0.124008, 0.059309, 59084, 4056, 0, 8, 41264, 1563, 253
do_patch, 260028, 0.10, 9, 1, 3, 0, 1577011, 125833, 823, 133, 0, 151552, 4096, 0.09943099999999999, 0.019121, 62968, 9736, 0, 0, 128, 13, 21, 0.038841, 0.008655, 56980, 9399, 0, 0, 168, 142, 33
do_create_spdx, 2095736, 1.65, 52, 10, 5, 3, 4751117, 3456837, 1251, 1861, 147456, 1552384, 0, 0.525369, 0.10026099999999999, 80436, 35516, 0, 288, 2736, 73, 443, 0.054570999999999995, 0.036345999999999996, 71296, 7970, 0, 0, 296, 441, 134
do_populate_sysroot, 2080772, 1.18, 27, 8, 9, 6, 22696937, 18113805, 2378, 1015, 0, 16371712, 1335296, 0.277044, 0.08126599999999999, 72540, 25158, 0, 0, 25208, 149, 152, 0.092585, 0.06666799999999999, 70428, 15226, 1, 0, 6768, 241, 206
do_package_write_rpm, 2939427, 18.04, 34, 5, 1243, 50, 110110203, 11677107, 21218, 1509, 258048, 7327744, 0, 0.346278, 0.052599, 66512, 24457, 5, 416, 640, 267, 590, 12.434635, 0.5074489999999999, 685312, 220238, 1, 88, 13672, 27919, 7610
do_package_qa, 2940704, 4.83, 57, 30, 7, 4, 27168909, 249864, 23931, 281, 180224, 159744, 0, 0.5703889999999999, 0.30713199999999996, 64932, 28138, 29, 336, 272, 9916, 13865, 0.073747, 0.040623, 55840, 19789, 3, 16, 40, 159, 164
