Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 44064, 0.05, 7, 1, 0, 0, 701711, 127835, 408, 221, 0, 106496, 0, 0.075876, 0.019967, 62732, 16539, 0, 0, 176, 28, 6, 0.009765, 0.003894, 59932, 4025, 0, 0, 32, 120, 7
do_collect_spdx_deps, 435363, 0.04, 12, 0, 0, 0, 566813, 47276, 40, 53, 0, 53248, 0, 0.12143899999999999, 0.0039169999999999995, 65756, 7132, 0, 0, 104, 0, 125, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 774293, 0.10, 13, 2, 1, 1, 994144, 355618, 402, 248, 0, 139264, 0, 0.135686, 0.028782, 71184, 16129, 0, 0, 192, 23, 79, 0.011033, 0.01714, 68372, 4272, 0, 0, 80, 128, 14
do_install, 1035656, 28.42, 30, 2, 382, 65, 43979849, 8254831, 127892, 8999, 184320, 15327232, 102400, 0.30186799999999997, 0.029348, 71500, 14038, 0, 0, 1016, 348, 160, 3.820128, 0.652492, 68788, 500636, 19, 360, 28920, 8412, 5797
do_prepare_recipe_sysroot, 998043, 0.18, 16, 8, 1, 1, 2636254, 1741426, 656, 484, 122880, 1814528, 0, 0.16558599999999998, 0.08279299999999999, 69568, 9242, 0, 240, 168, 15, 31, 0.014352, 0.014442, 64680, 634, 0, 0, 3376, 10, 2
do_deploy_source_date_epoch, 335714, 0.44, 19, 1, 2, 0, 757927, 162147, 550, 328, 0, 122880, 0, 0.197599, 0.018999, 66540, 18932, 0, 0, 200, 75, 297, 0.023424, 0.0062239999999999995, 63696, 4699, 0, 0, 40, 102, 89
do_populate_lic, 717416, 0.50, 16, 4, 3, 0, 825277, 173699, 575, 261, 8192, 131072, 0, 0.16129, 0.041356, 70816, 18542, 1, 16, 224, 43, 94, 0.036999, 0.0031609999999999997, 67732, 4971, 0, 0, 32, 91, 58
do_compile, 1027601, 7.56, 24, 2, 1874, 183, 151598564, 13074520, 62909, 10968, 454656, 18292736, 212992, 0.244504, 0.021261, 71084, 8828, 0, 0, 920, 289, 45, 18.749882, 1.830793, 74640, 1303639, 54, 888, 34808, 14643, 11542
do_fetch, 44114, 0.02, 5, 1, 0, 0, 505787, 50628, 35, 66, 0, 53248, 0, 0.059614999999999994, 0.011923, 61608, 6867, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 321813, 0.09, 12, 3, 4, 0, 1059698, 262242, 702, 172, 0, 286720, 4096, 0.129493, 0.035316, 65188, 11474, 0, 0, 128, 13, 16, 0.040809, 0.003881, 59356, 9360, 0, 0, 432, 146, 22
do_configure, 999770, 43.48, 31, 6, 763, 106, 114943599, 20960471, 63555, 18798, 708608, 20148224, 10727424, 0.310473, 0.06379499999999999, 71292, 17371, 0, 8, 344, 332, 60, 7.636695, 1.068153, 68492, 813704, 19, 1376, 39008, 8351, 8039
do_unpack, 319248, 0.10, 14, 2, 3, 1, 4417613, 6213660, 959, 925, 4096, 3620864, 0, 0.143406, 0.027129999999999998, 64804, 11667, 0, 0, 128, 10, 27, 0.037066999999999996, 0.012197, 61164, 2724, 0, 8, 6944, 358, 192
do_populate_sysroot, 1060629, 3.51, 43, 25, 47, 26, 21002823, 6664648, 9410, 2029, 0, 3457024, 0, 0.437326, 0.25542899999999996, 71196, 69359, 0, 0, 3352, 484, 153, 0.47879, 0.265743, 69264, 80213, 8, 0, 3400, 620, 831
do_create_spdx, 436025, 0.42, 18, 3, 2, 0, 1282923, 500268, 663, 292, 0, 212992, 0, 0.18648299999999998, 0.031741, 67888, 21088, 0, 0, 312, 58, 209, 0.029906, 0.006189, 64744, 5218, 0, 0, 104, 94, 114
