Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 695222, 0.14, 16, 5, 2, 1, 1272130, 497096, 636, 287, 0, 212992, 0, 0.16214399999999998, 0.051411, 70768, 20721, 0, 0, 312, 36, 8, 0.024845, 0.013177, 67632, 5220, 0, 0, 104, 142, 22
do_collect_spdx_deps, 694214, 0.02, 13, 1, 0, 0, 567135, 47721, 42, 54, 0, 49152, 0, 0.133329, 0.01176, 67576, 6768, 0, 0, 96, 0, 12, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 548974, 0.10, 16, 3, 1, 0, 712038, 129343, 392, 222, 0, 106496, 0, 0.165802, 0.031581, 67284, 16254, 0, 0, 176, 26, 49, 0.013243999999999999, 0.006506, 64484, 4012, 1, 0, 32, 103, 17
do_install, 1217415, 0.78, 21, 3, 8, 1, 1474813, 235694, 2901, 671, 0, 421888, 4096, 0.210676, 0.035112, 70968, 14001, 0, 0, 136, 97, 60, 0.087903, 0.019365, 68276, 14766, 1, 0, 688, 233, 244
do_compile, 1213395, 3.35, 19, 2, 122, 14, 10318987, 756558, 6205, 1012, 364544, 655360, 20480, 0.19617199999999999, 0.024520999999999998, 70968, 8832, 0, 0, 424, 88, 44, 1.22281, 0.14193699999999998, 68276, 102592, 3, 712, 856, 1110, 1037
do_fetch, 549388, 0.02, 7, 0, 0, 0, 506112, 48436, 37, 63, 0, 53248, 0, 0.074559, 0.008284, 66156, 6917, 0, 0, 104, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1218271, 1.35, 31, 5, 8, 2, 1641165, 532427, 1630, 908, 0, 352256, 0, 0.311562, 0.054522999999999995, 71312, 29267, 0, 0, 488, 181, 159, 0.08133699999999999, 0.022462, 69192, 12602, 5, 0, 200, 188, 231
do_prepare_recipe_sysroot, 1181608, 0.34, 19, 10, 3, 0, 2658073, 1753368, 669, 489, 180224, 1830912, 0, 0.192773, 0.10040199999999999, 70596, 7424, 0, 352, 144, 16, 265, 0.030274, 0.002013, 65708, 635, 0, 0, 3432, 8, 125
do_patch, 576126, 0.09, 12, 1, 0, 0, 646428, 122254, 184, 87, 0, 126976, 4096, 0.12454599999999999, 0.017178, 66860, 10212, 0, 0, 120, 6, 567, 0.004227, 0.005861, 61012, 941, 0, 0, 128, 12, 21
do_configure, 1182392, 30.22, 38, 4, 505, 95, 87858277, 13408883, 56539, 15539, 180224, 13307904, 6995968, 0.380179, 0.041776999999999995, 71496, 17231, 0, 8, 320, 290, 852, 5.053776, 0.9536699999999999, 68796, 650232, 35, 344, 25672, 7821, 8138
do_deploy_source_date_epoch, 637054, 0.07, 11, 2, 1, 0, 766250, 158703, 503, 296, 0, 122880, 0, 0.112332, 0.020801999999999998, 68716, 18804, 0, 0, 200, 34, 18, 0.012905, 0.005679, 65848, 4691, 0, 0, 40, 143, 2
do_create_runtime_spdx, 773476, 0.13, 15, 1, 1, 1, 994886, 356932, 423, 249, 0, 139264, 0, 0.157661, 0.019707, 70872, 18368, 0, 0, 192, 31, 44, 0.017816, 0.01115, 68072, 4250, 0, 0, 80, 74, 55
do_populate_lic, 713303, 0.48, 20, 2, 2, 1, 824575, 174603, 566, 262, 0, 131072, 0, 0.207165, 0.023018, 70820, 18491, 0, 0, 224, 37, 58, 0.023799999999999998, 0.017797999999999998, 67736, 4972, 0, 0, 32, 75, 51
do_unpack, 567095, 0.10, 15, 1, 2, 0, 3273598, 4276339, 687, 719, 0, 2699264, 0, 0.153138, 0.01823, 66588, 10967, 0, 0, 120, 8, 87, 0.028158, 0.006575, 62932, 1998, 0, 0, 5152, 198, 208
