Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 1214076, 1.53, 27, 7, 7, 2, 1312360, 393952, 1559, 875, 0, 266240, 0, 0.27830699999999997, 0.071564, 71392, 30322, 0, 0, 424, 194, 94, 0.072221, 0.026115, 69192, 12039, 0, 0, 96, 229, 245
do_collect_spdx_deps, 694428, 0.02, 15, 1, 0, 0, 567493, 47835, 42, 54, 0, 49152, 0, 0.15403899999999998, 0.019747999999999998, 67596, 6790, 0, 0, 96, 0, 40, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 635120, 0.07, 11, 0, 1, 0, 766360, 159182, 495, 299, 0, 122880, 0, 0.115712, 0.007464999999999999, 68664, 18802, 0, 0, 200, 31, 9, 0.01635, 0.001635, 65800, 4702, 0, 0, 40, 156, 3
do_recipe_qa, 547535, 0.14, 12, 1, 1, 0, 711780, 129433, 388, 222, 16384, 106496, 0, 0.128245, 0.019431, 67572, 16483, 0, 0, 176, 26, 14, 0.016666, 0.004981, 64772, 3993, 2, 32, 32, 120, 33
do_install, 1212834, 1.03, 22, 1, 7, 1, 1261390, 132504, 1145, 462, 0, 94208, 4096, 0.22977699999999998, 0.015066999999999999, 70980, 14744, 0, 0, 120, 73, 60, 0.0766, 0.019187, 68288, 12928, 0, 0, 64, 215, 216
do_configure, 1182233, 27.95, 29, 5, 489, 91, 85135673, 13005144, 51100, 15150, 159744, 12955648, 6844416, 0.298526, 0.053581, 71592, 17235, 0, 8, 320, 267, 183, 4.8978079999999995, 0.9182859999999999, 68796, 625132, 30, 304, 24984, 6098, 5986
do_compile, 1210865, 1.50, 17, 2, 24, 6, 3400154, 147335, 1690, 447, 20480, 94208, 4096, 0.179234, 0.028513999999999998, 70956, 8724, 0, 0, 96, 56, 62, 0.24837099999999998, 0.063624, 68256, 28493, 2, 40, 88, 324, 258
do_fetch, 548046, 0.03, 11, 1, 0, 0, 506471, 48436, 37, 63, 86016, 53248, 0, 0.115895, 0.012417, 66036, 6964, 2, 168, 104, 2, 39, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1181572, 0.21, 14, 8, 2, 0, 2657082, 1754119, 667, 490, 49152, 1835008, 0, 0.150032, 0.08515299999999999, 70572, 7191, 0, 96, 152, 14, 107, 0.021478, 0.004339, 65684, 630, 0, 0, 3432, 8, 27
do_patch, 574356, 0.11, 13, 2, 0, 0, 646785, 122254, 184, 87, 0, 126976, 4096, 0.13495, 0.025303, 66792, 10260, 0, 0, 120, 6, 110, 0.005510999999999999, 0.004212, 60944, 955, 0, 0, 128, 13, 7
do_create_runtime_spdx, 774573, 0.14, 15, 1, 1, 1, 995263, 356971, 422, 249, 0, 139264, 0, 0.15406, 0.015801, 71224, 16108, 0, 0, 192, 34, 37, 0.016656999999999998, 0.01163, 68412, 4234, 0, 0, 80, 72, 90
do_create_spdx, 695520, 0.14, 21, 3, 1, 1, 1285805, 498950, 642, 287, 0, 212992, 0, 0.21026999999999998, 0.032983, 70784, 20751, 0, 0, 312, 34, 16, 0.018656, 0.01877, 67648, 5212, 0, 0, 104, 113, 26
do_unpack, 566646, 0.14, 16, 1, 2, 0, 3050072, 3946672, 623, 615, 0, 2314240, 0, 0.16391799999999998, 0.012293, 66928, 11073, 0, 0, 120, 8, 66, 0.028738999999999997, 0.00697, 63272, 1935, 0, 0, 4400, 160, 20
do_populate_lic, 717565, 0.47, 18, 3, 4, 0, 825158, 174717, 583, 262, 0, 131072, 0, 0.186811, 0.033964999999999995, 70820, 18500, 0, 0, 224, 48, 94, 0.040752, 0.002242, 67736, 4961, 1, 0, 32, 97, 62
