Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_fetch, 31119, 7.28, 4, 1, 0, 0, 638874, 352389, 471, 526, 0, 356352, 0, 0.044725, 0.012197, 59788, 5652, 0, 0, 112, 49, 10, 0.006369, 0.005228, 56368, 893, 0, 0, 584, 177, 3
do_collect_spdx_deps, 1630727, 0.09, 16, 1, 0, 0, 347965, 45342, 36, 47, 0, 49152, 0, 0.162185, 0.011866999999999999, 71160, 7228, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_qa, 2797120, 1.56, 20, 5, 3, 3, 1154037, 230297, 1249, 267, 249856, 159744, 0, 0.202948, 0.050737, 68712, 19562, 0, 480, 272, 344, 415, 0.037334, 0.038596, 66492, 13086, 0, 8, 40, 120, 200
do_recipe_qa, 31035, 0.06, 6, 2, 1, 0, 468247, 125061, 394, 208, 0, 102400, 0, 0.063791, 0.022514, 61560, 15703, 0, 0, 168, 27, 5, 0.010029999999999999, 0.0038859999999999997, 58760, 3984, 0, 0, 32, 142, 8
do_install, 1632036, 0.75, 18, 1, 12, 2, 1505464, 313632, 2133, 377, 102400, 303104, 4096, 0.180104, 0.019576, 64172, 14019, 0, 0, 192, 106, 325, 0.122318, 0.025955, 62092, 24947, 2, 200, 400, 445, 470
do_packagedata, 1660105, 2.73, 15, 5, 3, 2, 778348, 266268, 853, 317, 0, 204800, 0, 0.153591, 0.056586, 72156, 23102, 0, 0, 224, 52, 32, 0.036535, 0.020256, 69356, 6889, 1, 0, 176, 121, 60
do_compile, 1629750, 2.89, 8, 0, 77, 14, 10723495, 952803, 5196, 1064, 73728, 385024, 36864, 0.088324, 0.0042049999999999995, 71424, 8296, 0, 0, 240, 33, 7, 0.775736, 0.14663199999999998, 68732, 105286, 1, 144, 512, 1208, 378
do_patch, 254539, 0.04, 9, 2, 0, 0, 584613, 119971, 202, 82, 0, 126976, 4096, 0.098857, 0.023725, 62912, 8713, 0, 0, 120, 6, 41, 0.008685, 0.0, 57200, 932, 0, 0, 128, 11, 7
do_create_spdx, 1663262, 0.93, 25, 4, 3, 3, 1321399, 595369, 778, 351, 0, 258048, 0, 0.253194, 0.040837, 74032, 25744, 0, 0, 392, 60, 350, 0.036428999999999996, 0.03395, 70416, 6821, 0, 0, 112, 282, 139
do_deploy_source_date_epoch, 260295, 0.12, 13, 1, 1, 0, 548908, 162676, 486, 293, 0, 114688, 0, 0.139115, 0.019873, 64512, 18402, 0, 0, 184, 30, 23, 0.016437, 0.008461999999999999, 61712, 4682, 1, 0, 40, 140, 15
do_prepare_recipe_sysroot, 1542206, 0.20, 12, 6, 1, 1, 1863642, 1148129, 579, 329, 139264, 1204224, 0, 0.12442199999999999, 0.060154, 69144, 9375, 0, 264, 176, 37, 60, 0.014832, 0.01236, 64120, 1208, 0, 8, 2176, 20, 6
do_populate_sysroot, 1636036, 0.73, 25, 4, 4, 2, 1323038, 468311, 1278, 633, 0, 352256, 28672, 0.259183, 0.045738, 71644, 24143, 0, 0, 520, 93, 232, 0.047747, 0.027320999999999998, 69528, 10787, 0, 0, 168, 190, 107
do_create_runtime_spdx, 2797153, 1.30, 20, 3, 3, 0, 1005656, 413736, 656, 256, 8192, 167936, 0, 0.209013, 0.034124, 75264, 20925, 0, 16, 240, 56, 68, 0.032556, 0.008922, 71744, 5374, 0, 0, 88, 89, 103
do_configure, 1543076, 28.29, 28, 4, 530, 106, 141822651, 18593823, 62655, 20317, 385024, 18210816, 10780672, 0.280516, 0.040653999999999996, 71304, 20079, 0, 664, 368, 298, 59, 5.3049479999999996, 1.068194, 68396, 668866, 34, 88, 35200, 6574, 4934
do_unpack, 253285, 0.06, 8, 1, 3, 0, 3144668, 4487400, 703, 680, 0, 2613248, 0, 0.080285, 0.016057, 62908, 8598, 0, 0, 128, 7, 15, 0.030157, 0.008416, 59392, 1986, 0, 0, 4976, 221, 13
do_package_write_rpm, 2797067, 2.90, 24, 3, 365, 18, 2948101, 651180, 2328, 658, 155648, 434176, 0, 0.248224, 0.034838, 68464, 24510, 0, 256, 488, 313, 391, 3.658837, 0.182694, 431672, 121675, 2, 48, 360, 1806, 1159
do_populate_lic, 712705, 0.41, 17, 2, 2, 2, 625124, 170158, 577, 248, 8192, 126976, 0, 0.171761, 0.027961, 69488, 18412, 1, 16, 216, 52, 50, 0.020027, 0.021849, 66388, 4987, 1, 0, 32, 91, 77
do_package, 1637630, 15.07, 82, 40, 153, 14, 6474953, 2772097, 6279, 1074, 0, 2301952, 192512, 0.823345, 0.402009, 65148, 41588, 0, 0, 624, 370, 1630, 1.5375670000000001, 0.14904599999999998, 63016, 43114, 2, 0, 3872, 2158, 984
