Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 550680, 0.01, 10, 0, 0, 0, 567216, 47658, 42, 54, 0, 53248, 0, 0.10152, 0.0, 66884, 7038, 0, 0, 104, 1, 44, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 59017, 0.05, 8, 1, 1, 0, 705224, 128766, 405, 222, 0, 106496, 0, 0.082367, 0.013005, 62836, 16567, 0, 0, 176, 29, 11, 0.011047, 0.003147, 60036, 4007, 0, 0, 32, 152, 9
do_compile, 1175826, 2.62, 16, 0, 242, 36, 22215938, 1128980, 11406, 1803, 610304, 892928, 65536, 0.168144, 0.004311, 72032, 7048, 0, 0, 400, 112, 104, 2.425359, 0.368905, 69336, 214068, 1, 1192, 1344, 2439, 3473
do_install, 1180155, 1.06, 22, 2, 10, 2, 1791812, 379840, 3700, 597, 0, 557056, 4096, 0.22591399999999998, 0.02378, 71736, 14999, 0, 0, 144, 56, 86, 0.10174899999999999, 0.027375, 69044, 17436, 3, 0, 944, 342, 296
do_fetch, 59066, 0.02, 5, 1, 0, 0, 506189, 48245, 37, 63, 0, 53248, 0, 0.056317, 0.012067, 61696, 6942, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1181868, 1.31, 32, 4, 8, 2, 2131146, 711596, 1747, 924, 0, 446464, 0, 0.327478, 0.046182, 71496, 30138, 0, 0, 584, 158, 110, 0.087063, 0.029942, 69352, 12732, 1, 0, 288, 218, 270
do_populate_lic, 730746, 0.57, 17, 3, 3, 1, 874705, 185656, 553, 263, 16384, 131072, 0, 0.172769, 0.034553, 70816, 18567, 1, 32, 224, 36, 115, 0.033763999999999995, 0.010191, 67732, 4972, 0, 0, 32, 63, 55
do_prepare_recipe_sysroot, 1144966, 0.39, 20, 11, 1, 0, 2655375, 1744798, 665, 485, 86016, 1814528, 0, 0.20119399999999998, 0.11086199999999999, 70516, 7684, 0, 168, 152, 24, 126, 0.016905, 0.008601, 65628, 626, 0, 0, 3392, 12, 11
do_patch, 365806, 0.11, 13, 0, 0, 0, 646475, 122128, 184, 87, 0, 126976, 4096, 0.133427, 0.004765, 65392, 10356, 0, 0, 120, 6, 116, 0.007241999999999999, 0.002371, 59324, 954, 0, 0, 128, 14, 31
do_configure, 1145135, 28.66, 34, 3, 649, 99, 104203289, 18790809, 54411, 16756, 528384, 18075648, 9740288, 0.340837, 0.039838, 72196, 17802, 0, 8, 328, 277, 142, 6.492745, 0.995278, 69504, 679797, 24, 1024, 34976, 7519, 8889
do_create_runtime_spdx, 782289, 0.33, 14, 3, 2, 0, 994678, 356477, 428, 249, 0, 135168, 0, 0.14329899999999998, 0.031844, 71224, 16058, 0, 0, 184, 38, 43, 0.027718, 0.002529, 68404, 4247, 0, 0, 80, 86, 51
do_create_spdx, 550823, 0.09, 11, 2, 1, 0, 1266243, 497082, 641, 287, 0, 212992, 0, 0.118199, 0.022876999999999998, 69212, 20931, 0, 0, 312, 34, 11, 0.014969999999999999, 0.008685, 66312, 5214, 0, 0, 104, 170, 11
do_deploy_source_date_epoch, 458261, 0.20, 20, 2, 1, 1, 760075, 170694, 772, 377, 0, 122880, 0, 0.209723, 0.027186, 66620, 18882, 0, 0, 200, 85, 69, 0.016146, 0.011448, 63752, 4677, 0, 0, 40, 75, 111
do_unpack, 351012, 0.19, 12, 3, 3, 0, 3849165, 5281381, 825, 860, 0, 3215360, 0, 0.121962, 0.039341999999999995, 65052, 10911, 0, 0, 128, 8, 149, 0.037745999999999995, 0.007043, 61396, 2098, 0, 0, 6152, 304, 289
