Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2322008, 0.14, 20, 1, 0, 0, 346925, 45048, 34, 46, 0, 53248, 0, 0.203919, 0.01483, 71388, 7413, 0, 0, 104, 0, 64, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 381162, 0.09, 13, 2, 1, 0, 490485, 124603, 385, 207, 0, 102400, 0, 0.13688, 0.023465, 65464, 15920, 0, 0, 168, 22, 14, 0.013267, 0.007071, 62656, 3983, 0, 0, 32, 87, 19
do_install, 2069540, 1.14, 18, 5, 11, 2, 2132964, 1100981, 1879, 529, 0, 1060864, 4096, 0.183605, 0.057121, 66540, 14011, 0, 0, 184, 254, 273, 0.11382199999999999, 0.025932, 64456, 20195, 1, 0, 1888, 419, 446
do_populate_lic, 772360, 0.14, 16, 2, 1, 1, 687214, 192725, 587, 249, 4096, 131072, 0, 0.16286599999999998, 0.027805999999999997, 69572, 18389, 0, 8, 216, 46, 125, 0.018189999999999998, 0.017573, 66480, 4974, 0, 0, 40, 104, 63
do_packagedata, 2081490, 0.82, 16, 5, 4, 1, 800806, 271573, 900, 318, 0, 212992, 0, 0.165275, 0.058331999999999995, 73084, 20979, 0, 0, 224, 70, 67, 0.043792, 0.014398999999999999, 70276, 6902, 0, 0, 192, 144, 103
do_compile, 2054844, 5.33, 15, 3, 1113, 128, 85981047, 11142215, 32757, 6162, 954368, 3457024, 196608, 0.15589699999999998, 0.035075999999999996, 71752, 8392, 0, 0, 1024, 119, 65, 11.139127, 1.2863660000000001, 79296, 629410, 24, 1864, 5728, 7566, 9172
do_create_runtime_spdx, 2777998, 0.54, 17, 1, 3, 1, 1119990, 410376, 635, 253, 0, 159744, 0, 0.17216599999999999, 0.013592, 75756, 18964, 0, 0, 224, 41, 229, 0.030112999999999997, 0.012156, 72240, 5371, 3, 0, 88, 105, 59
do_package, 2073639, 3.49, 75, 45, 156, 17, 21334608, 9387977, 9914, 1809, 0, 6471680, 2125824, 0.752293, 0.45674899999999996, 68328, 42070, 0, 0, 688, 485, 2888, 1.5676709999999998, 0.178651, 66140, 46604, 1, 0, 11952, 2111, 1488
do_fetch, 382963, 1.44, 10, 1, 0, 0, 790383, 504183, 580, 743, 0, 507904, 0, 0.108987, 0.012575, 63684, 5809, 0, 0, 112, 65, 52, 0.008461999999999999, 0.003103, 60308, 892, 0, 0, 880, 221, 11
do_create_spdx, 2323942, 1.06, 32, 3, 2, 4, 1529930, 827895, 808, 603, 0, 352256, 0, 0.324642, 0.037945, 75184, 25292, 0, 0, 568, 66, 318, 0.029453999999999998, 0.040208, 71568, 6615, 0, 0, 120, 287, 140
do_deploy_source_date_epoch, 501123, 0.51, 15, 2, 1, 0, 556756, 160442, 472, 283, 0, 118784, 0, 0.15156, 0.029571999999999998, 66932, 18567, 0, 0, 192, 38, 27, 0.018312, 0.009105, 64124, 4676, 0, 0, 40, 100, 46
do_prepare_recipe_sysroot, 1955344, 2.95, 16, 8, 1, 0, 1784300, 1058247, 561, 306, 143360, 1110016, 0, 0.166173, 0.083086, 70344, 7362, 1, 272, 168, 37, 113, 0.016278, 0.006998, 65344, 1208, 0, 8, 2000, 28, 7
do_configure, 1965463, 42.19, 32, 3, 665, 129, 152705599, 19198273, 71281, 21231, 733184, 18890752, 11194368, 0.324706, 0.038654999999999995, 72092, 17501, 0, 800, 376, 341, 118, 6.652521, 1.296719, 69376, 723240, 29, 632, 36520, 10275, 9820
do_populate_sysroot, 2072540, 0.78, 21, 4, 6, 2, 4061182, 2055692, 1350, 655, 0, 1740800, 233472, 0.216528, 0.046145, 72820, 22264, 0, 0, 2200, 125, 95, 0.06307, 0.02453, 70720, 10936, 0, 0, 1200, 201, 203
do_patch, 428365, 0.03, 5, 0, 0, 0, 571835, 119388, 198, 81, 4096, 126976, 4096, 0.056266, 0.008038, 64144, 8690, 0, 8, 120, 7, 8, 0.005151, 0.00043999999999999996, 58508, 948, 0, 0, 128, 13, 1
do_package_qa, 2777704, 0.95, 25, 5, 3, 4, 2945337, 231485, 2058, 266, 0, 159744, 0, 0.250453, 0.053375, 68888, 21442, 0, 0, 272, 109, 1299, 0.0368, 0.041479999999999996, 66668, 13120, 0, 0, 40, 146, 149
do_package_write_rpm, 2777538, 2.27, 26, 5, 391, 16, 11627314, 2206838, 3068, 725, 172032, 1466368, 0, 0.2611, 0.054557999999999995, 68780, 24513, 0, 272, 496, 481, 432, 3.913723, 0.16935799999999998, 340948, 101825, 1, 64, 2368, 1654, 1636
do_unpack, 427620, 0.05, 6, 0, 2, 0, 4186174, 6207890, 887, 928, 0, 3563520, 0, 0.06348, 0.0, 64192, 8626, 0, 0, 128, 8, 7, 0.027014999999999997, 0.007614999999999999, 60700, 2199, 0, 0, 6832, 316, 16
