Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 682842, 0.01, 7, 1, 0, 0, 567552, 47900, 42, 54, 0, 53248, 0, 0.07836, 0.015672, 68560, 6939, 0, 0, 104, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 523454, 0.09, 12, 1, 1, 0, 708970, 128832, 396, 222, 0, 110592, 0, 0.122004, 0.01525, 67536, 16865, 0, 0, 184, 25, 6, 0.015559, 0.002392, 64736, 4005, 0, 0, 32, 113, 12
do_prepare_recipe_sysroot, 1180634, 0.27, 19, 13, 1, 1, 2703034, 1753168, 699, 491, 61440, 1843200, 0, 0.1982, 0.134776, 71108, 7501, 0, 112, 168, 14, 211, 0.017301999999999998, 0.013139, 66220, 625, 0, 8, 3432, 10, 16
do_install, 1218347, 1.17, 16, 5, 9, 1, 1566591, 314252, 6087, 688, 8192, 581632, 4096, 0.163592, 0.05187, 71032, 13852, 0, 0, 136, 93, 183, 0.09297, 0.012298, 68340, 14874, 0, 16, 1000, 243, 173
do_compile, 1214558, 3.38, 19, 1, 324, 34, 34859578, 1396671, 12954, 1988, 602112, 1081344, 65536, 0.191805, 0.012242, 71032, 8794, 0, 0, 544, 167, 33, 3.246341, 0.34635, 68324, 239929, 10, 1176, 1568, 2450, 2359
do_fetch, 524932, 0.02, 7, 0, 0, 0, 506531, 48364, 37, 63, 0, 53248, 0, 0.077634, 0.008172, 66376, 7090, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1221209, 1.31, 29, 4, 7, 3, 2103435, 750138, 1642, 921, 0, 503808, 0, 0.29423499999999997, 0.044952, 71444, 29484, 0, 0, 624, 175, 86, 0.07016499999999999, 0.039492, 69252, 12798, 1, 0, 360, 203, 259
do_patch, 547895, 0.07, 15, 1, 0, 0, 646802, 122086, 184, 87, 20480, 131072, 4096, 0.152463, 0.012036, 66144, 10230, 0, 0, 128, 6, 40, 0.008398, 0.001756, 60320, 946, 0, 40, 128, 12, 11
do_configure, 1181648, 31.98, 31, 4, 609, 92, 99298526, 17972630, 55449, 16162, 528384, 17276928, 9318400, 0.31657799999999997, 0.04725, 71684, 17389, 0, 8, 320, 284, 273, 6.098887, 0.925593, 68820, 656002, 24, 1024, 33424, 8363, 9447
do_create_runtime_spdx, 768017, 0.13, 18, 3, 1, 1, 994955, 356372, 421, 249, 0, 139264, 0, 0.18667499999999998, 0.036523, 71116, 18059, 0, 0, 192, 32, 313, 0.017891999999999998, 0.010373, 68316, 4244, 0, 0, 80, 81, 41
do_populate_lic, 708252, 0.56, 19, 3, 3, 1, 824726, 174061, 599, 262, 0, 126976, 0, 0.194875, 0.038127, 70824, 18544, 0, 0, 216, 52, 97, 0.033352, 0.010525999999999999, 67740, 4985, 3, 0, 32, 70, 73
do_create_spdx, 682996, 0.13, 15, 3, 2, 1, 1303044, 498531, 652, 287, 0, 212992, 0, 0.153739, 0.03324, 71092, 20935, 0, 0, 312, 36, 16, 0.023792, 0.012645, 68192, 5215, 0, 0, 104, 149, 35
do_unpack, 534164, 0.05, 5, 2, 1, 0, 3544576, 4729372, 739, 798, 0, 3022848, 0, 0.059239999999999994, 0.029619999999999997, 66500, 11017, 0, 0, 120, 8, 3, 0.017582, 0.008734, 62884, 2043, 0, 0, 5784, 233, 5
do_deploy_source_date_epoch, 577746, 0.21, 20, 3, 1, 1, 764792, 157702, 470, 296, 0, 118784, 0, 0.207402, 0.035219, 68440, 18976, 0, 0, 192, 28, 47, 0.019287, 0.011104, 65564, 4688, 0, 0, 40, 71, 99
