Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2214372, 0.20, 16, 1, 0, 0, 346949, 44798, 34, 46, 0, 49152, 0, 0.16697299999999998, 0.018149, 71976, 5241, 0, 0, 96, 0, 60, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 42146, 0.06, 6, 2, 1, 0, 479639, 123840, 395, 207, 0, 102400, 0, 0.062234, 0.021963999999999997, 61840, 15795, 0, 0, 168, 24, 8, 0.013169, 0.000784, 59020, 4000, 0, 0, 32, 124, 9
do_package_qa, 2815910, 1.44, 25, 7, 3, 3, 3638479, 229309, 3088, 271, 32768, 159744, 0, 0.254163, 0.080022, 69564, 22672, 0, 64, 272, 95, 2439, 0.039012, 0.039528, 67360, 13475, 0, 0, 40, 171, 161
do_install, 2275827, 0.99, 21, 3, 12, 4, 3314751, 2044622, 4586, 734, 0, 2211840, 4096, 0.21190299999999998, 0.0326, 67020, 14772, 0, 0, 200, 256, 276, 0.125516, 0.049122, 64944, 26441, 0, 0, 4120, 971, 600
do_create_runtime_spdx, 2816297, 0.85, 17, 1, 3, 0, 1190068, 411586, 701, 255, 86016, 172032, 0, 0.173641, 0.019292999999999998, 75468, 20964, 0, 168, 248, 75, 58, 0.035588999999999996, 0.006938, 72008, 5372, 1, 0, 88, 105, 90
do_packagedata, 2289771, 0.28, 17, 3, 4, 1, 814787, 274784, 854, 318, 0, 217088, 0, 0.175479, 0.037336, 73156, 20940, 0, 0, 232, 46, 93, 0.040639, 0.017972, 70352, 6935, 0, 0, 192, 156, 91
do_compile, 2265693, 2.41, 15, 1, 659, 118, 92167331, 18066412, 34497, 8072, 942080, 6279168, 233472, 0.152312, 0.017919, 72076, 8401, 0, 0, 1176, 199, 189, 6.596514, 1.187599, 69384, 661077, 13, 1840, 11088, 9162, 7498
do_fetch, 42205, 1.52, 4, 1, 0, 0, 747482, 461039, 506, 673, 0, 462848, 0, 0.043765, 0.013129, 60000, 5684, 0, 0, 112, 48, 6, 0.0012619999999999999, 0.004299, 56640, 899, 0, 0, 792, 154, 6
do_deploy_source_date_epoch, 317207, 0.16, 18, 2, 1, 0, 546938, 159902, 489, 286, 0, 114688, 0, 0.180828, 0.027517, 65612, 18700, 0, 0, 184, 33, 16, 0.016456, 0.009984999999999999, 62800, 4682, 0, 0, 40, 116, 7
do_prepare_recipe_sysroot, 2206312, 0.50, 15, 5, 2, 0, 1799025, 1053296, 566, 303, 389120, 1097728, 0, 0.156384, 0.056137, 70620, 9334, 0, 752, 152, 37, 112, 0.027306999999999998, 0.0, 65648, 1217, 0, 8, 1992, 17, 6
do_populate_lic, 714861, 0.39, 13, 4, 2, 1, 649935, 181950, 593, 251, 16384, 135168, 0, 0.14005499999999999, 0.044017, 69404, 18374, 1, 32, 224, 50, 61, 0.021159, 0.018008, 66372, 4962, 0, 0, 40, 113, 79
do_patch, 314961, 0.04, 11, 0, 0, 0, 599535, 118638, 203, 79, 0, 126976, 4096, 0.115272, 0.004116, 63584, 8552, 0, 0, 120, 6, 6, 0.006578, 0.003052, 57756, 946, 0, 0, 128, 10, 11
do_create_spdx, 2291378, 0.77, 25, 5, 4, 2, 1612701, 838962, 853, 499, 0, 368640, 0, 0.250404, 0.055645, 74956, 24289, 0, 0, 592, 78, 247, 0.041342, 0.024974, 71384, 6897, 0, 0, 128, 320, 229
do_configure, 2208448, 14.95, 32, 5, 618, 88, 144879835, 21611504, 61856, 20052, 622592, 20602880, 12283904, 0.326605, 0.055761, 72660, 20484, 0, 168, 368, 279, 87, 6.184507, 0.888567, 69816, 640760, 28, 1048, 39872, 6829, 4714
do_populate_sysroot, 2279070, 1.08, 25, 2, 6, 2, 4171148, 2169682, 1458, 647, 0, 1953792, 73728, 0.25712199999999996, 0.024487, 72556, 24180, 0, 0, 3416, 171, 129, 0.064246, 0.024114999999999998, 70460, 11362, 1, 0, 400, 191, 255
do_unpack, 314182, 0.07, 9, 1, 3, 0, 4481510, 6800967, 915, 1099, 0, 4067328, 0, 0.095134, 0.019819, 63764, 8585, 0, 0, 128, 8, 8, 0.036833, 0.008561, 60272, 2283, 0, 0, 7816, 316, 31
do_package_write_rpm, 2815823, 6.32, 22, 6, 403, 27, 14968033, 1521376, 3927, 730, 77824, 978944, 0, 0.229034, 0.060499, 68704, 24397, 0, 64, 496, 349, 385, 4.032201, 0.277727, 371160, 132031, 1, 88, 1416, 8879, 1607
do_package, 2279342, 5.32, 78, 50, 147, 21, 27648715, 13336932, 13319, 2149, 118784, 9048064, 3211264, 0.789945, 0.50447, 68360, 42818, 0, 232, 728, 703, 3915, 1.4797799999999999, 0.21721, 66184, 46380, 0, 0, 16944, 3162, 1705
