Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2623174, 0.36, 16, 0, 0, 0, 346891, 44749, 34, 46, 0, 53248, 0, 0.16474999999999998, 0.004576, 72568, 7334, 0, 0, 104, 0, 101, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 2266007, 0.75, 19, 2, 10, 3, 1279553, 216388, 2207, 506, 0, 204800, 4096, 0.197232, 0.029769999999999998, 67136, 14930, 0, 0, 200, 226, 332, 0.101074, 0.037266, 65052, 22013, 0, 0, 200, 255, 532
do_recipe_qa, 528595, 0.09, 9, 3, 0, 0, 501524, 124915, 396, 207, 0, 102400, 0, 0.09090899999999999, 0.030303, 66488, 16049, 0, 0, 168, 24, 6, 0.008879, 0.007673999999999999, 63668, 4001, 0, 0, 32, 147, 10
do_deploy_source_date_epoch, 581022, 0.23, 16, 3, 1, 1, 565152, 161028, 474, 283, 0, 114688, 0, 0.163017, 0.031807999999999996, 67444, 18544, 0, 0, 184, 29, 162, 0.01908, 0.010712, 64632, 4710, 0, 0, 40, 143, 30
do_populate_sysroot, 2300562, 1.04, 28, 4, 4, 3, 1189709, 398224, 1303, 624, 0, 299008, 16384, 0.28318, 0.042265, 72472, 24816, 0, 0, 472, 118, 128, 0.047493999999999995, 0.032734, 70380, 10776, 0, 0, 112, 208, 157
do_packagedata, 2294991, 1.15, 20, 4, 4, 1, 792608, 265687, 878, 316, 0, 204800, 0, 0.204948, 0.040185, 72796, 23395, 0, 0, 224, 60, 58, 0.047802, 0.012874, 69996, 6916, 0, 0, 176, 103, 86
do_compile, 2261954, 1.80, 14, 1, 28, 4, 3906623, 531784, 2028, 577, 45056, 229376, 4096, 0.14748799999999998, 0.015524999999999999, 72056, 8193, 0, 0, 120, 60, 129, 0.286446, 0.044579999999999995, 69364, 31291, 0, 88, 328, 418, 328
do_fetch, 529328, 1.40, 5, 0, 0, 0, 603118, 317175, 421, 517, 0, 319488, 0, 0.055036999999999996, 0.004233, 64664, 5824, 0, 0, 112, 40, 3, 0.006137, 0.0, 61312, 896, 0, 0, 512, 147, 0
do_unpack, 547641, 0.06, 7, 1, 2, 0, 2873169, 4016094, 640, 615, 163840, 2363392, 0, 0.07293, 0.017159999999999998, 64784, 8531, 0, 0, 128, 8, 7, 0.027059, 0.008261, 61296, 1919, 4, 320, 4488, 195, 110
do_prepare_recipe_sysroot, 2213182, 0.29, 16, 8, 1, 0, 1797837, 1053692, 564, 304, 241664, 1101824, 0, 0.160858, 0.082299, 70296, 7085, 0, 464, 152, 38, 50, 0.014901999999999999, 0.008265999999999999, 65300, 1204, 0, 8, 2000, 16, 14
do_configure, 2214915, 10.00, 29, 5, 491, 86, 131797311, 17466045, 62208, 18953, 405504, 17068032, 10129408, 0.299766, 0.057647, 72652, 18542, 0, 696, 368, 270, 161, 4.912392, 0.860019, 69740, 613155, 20, 96, 32968, 6211, 3559
do_patch, 551047, 0.02, 4, 2, 0, 0, 558320, 118854, 197, 79, 0, 126976, 4096, 0.048191, 0.025949, 65036, 11626, 0, 0, 120, 6, 3, 0.005399999999999999, 0.0, 59300, 944, 0, 0, 128, 13, 1
do_create_runtime_spdx, 2783357, 0.88, 16, 4, 3, 0, 997210, 412989, 653, 255, 0, 167936, 0, 0.16439399999999998, 0.043054999999999996, 75732, 21523, 0, 0, 240, 58, 105, 0.039778, 0.005468, 72216, 5378, 0, 0, 88, 84, 94
do_package_write_rpm, 2781689, 2.76, 24, 7, 400, 19, 2050296, 573680, 2367, 661, 0, 393216, 0, 0.243754, 0.070767, 68820, 23634, 0, 0, 488, 312, 326, 4.004995, 0.193121, 355800, 122605, 0, 0, 280, 1771, 1392
do_populate_lic, 772399, 0.15, 16, 3, 1, 1, 658531, 182883, 561, 251, 0, 135168, 0, 0.16342399999999999, 0.032684, 69576, 18392, 1, 0, 224, 33, 52, 0.018633, 0.017421, 66480, 5013, 0, 0, 40, 139, 46
do_create_spdx, 2624890, 1.16, 23, 4, 5, 1, 1316598, 583098, 799, 331, 0, 253952, 0, 0.23407899999999998, 0.04843, 76008, 26055, 0, 0, 384, 69, 105, 0.05053, 0.017044999999999998, 72392, 6859, 0, 0, 112, 273, 146
do_package, 2276339, 2.90, 73, 41, 158, 18, 5391246, 2299623, 6266, 1000, 0, 2117632, 135168, 0.733549, 0.412373, 68200, 42638, 0, 0, 624, 448, 1564, 1.584021, 0.187355, 65996, 43082, 0, 0, 3512, 1758, 1539
do_package_qa, 2783114, 0.93, 26, 4, 4, 3, 963136, 230339, 1217, 266, 4096, 159744, 0, 0.260783, 0.047749, 68824, 21054, 0, 8, 272, 94, 675, 0.044245, 0.032125, 66604, 13168, 0, 0, 40, 153, 186
