Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 3203392, 8.68, 98, 39, 407, 49, 41702294, 14639236, 21509, 2932, 1110016, 9039872, 3629056, 0.989325, 0.399535, 56860, 64836, 0, 2168, 840, 692, 4018, 4.073332, 0.49935399999999996, 54548, 164087, 8, 0, 16816, 3843, 4512
do_collect_spdx_deps, 3211827, 0.76, 16, 1, 0, 0, 346605, 47064, 35, 49, 0, 49152, 0, 0.16966599999999998, 0.012119, 57804, 5698, 0, 0, 96, 0, 87, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 52640, 10.79, 4, 1, 0, 0, 817091, 534330, 605, 817, 0, 536576, 0, 0.043091, 0.015669, 60732, 5907, 0, 0, 112, 49, 1, 0.008617999999999999, 0.00138, 57256, 914, 0, 0, 936, 292, 9
do_recipe_qa, 52531, 0.06, 6, 2, 1, 0, 483133, 125675, 398, 210, 0, 102400, 0, 0.065887, 0.021962, 62480, 16136, 0, 0, 168, 29, 8, 0.013894, 0.0, 59680, 4033, 0, 0, 32, 145, 7
do_install, 3166157, 3.09, 22, 2, 30, 6, 11097663, 2022506, 1626, 288, 32768, 2072576, 0, 0.2221, 0.023135, 54724, 15067, 1, 8, 176, 103, 301, 0.301164, 0.065749, 52616, 11281, 0, 56, 3872, 76, 377
do_packagedata, 3227716, 1.20, 21, 5, 4, 1, 882185, 314686, 950, 332, 4096, 249856, 0, 0.21517599999999998, 0.054705, 59388, 24249, 1, 8, 224, 66, 144, 0.04657, 0.018064, 56500, 6978, 0, 0, 264, 128, 89
do_compile, 3160091, 12.22, 16, 2, 2420, 260, 373996489, 57934460, 87135, 25524, 2764800, 31481856, 2396160, 0.165173, 0.020645999999999998, 58036, 9054, 3, 128, 1848, 189, 45, 24.204869, 2.601686, 57112, 860012, 34, 5272, 59640, 9170, 13934
do_populate_lic, 714658, 0.55, 16, 4, 2, 1, 660811, 183391, 563, 252, 16384, 131072, 0, 0.161511, 0.043331999999999996, 69556, 18584, 1, 32, 216, 39, 216, 0.028697999999999998, 0.01164, 66452, 4975, 1, 0, 40, 124, 47
do_patch, 329962, 0.87, 11, 1, 0, 0, 553693, 121253, 201, 84, 0, 126976, 4096, 0.11444199999999999, 0.015257999999999999, 63708, 11787, 0, 0, 120, 7, 50, 0.009089999999999999, 0.0019879999999999997, 57920, 945, 0, 0, 128, 13, 6
do_unpack, 328978, 0.57, 9, 2, 3, 2, 6276453, 9921726, 1093, 1529, 524288, 5595136, 0, 0.09175699999999999, 0.022938999999999998, 63644, 8822, 0, 0, 128, 8, 181, 0.035293, 0.0232, 59840, 2754, 0, 1024, 10800, 364, 265
do_deploy_source_date_epoch, 353306, 0.41, 19, 3, 2, 0, 547131, 162962, 460, 289, 0, 114688, 0, 0.192162, 0.037679, 65880, 18779, 0, 0, 184, 29, 131, 0.023086, 0.008453, 63080, 4698, 0, 0, 40, 102, 78
do_prepare_recipe_sysroot, 3147360, 10.96, 25, 24, 2, 0, 3141233, 1450935, 870, 414, 2506752, 1548288, 0, 0.252729, 0.244161, 61000, 9003, 8, 4808, 200, 214, 121, 0.026742, 0.006023, 56112, 1275, 0, 88, 2824, 63, 14
do_write_config, 65164, 0.03, 6, 0, 0, 0, 340383, 57072, 118, 93, 0, 49152, 0, 0.06296, 0.008394, 62220, 7891, 0, 0, 64, 6, 2, 0.0030559999999999997, 0.0, 59504, 794, 0, 0, 32, 11, 0
do_create_spdx, 3232796, 2.57, 35, 5, 6, 1, 1905078, 1260192, 946, 1161, 417792, 491520, 0, 0.357887, 0.059647, 61720, 31206, 1, 816, 832, 95, 429, 0.067283, 0.01821, 58004, 7766, 0, 0, 128, 479, 234
do_configure, 3151237, 21.56, 19, 1, 180, 24, 19400629, 6395851, 7159, 2945, 1548288, 6549504, 352256, 0.194675, 0.016928, 58188, 11603, 36, 1136, 168, 63, 78, 1.801428, 0.243812, 55260, 100439, 4, 1888, 12624, 1860, 1965
do_package_write_rpm, 3242175, 8.28, 40, 4, 600, 29, 19287551, 3184916, 5776, 1013, 32768, 2056192, 0, 0.40892, 0.044535, 56412, 24440, 1, 64, 512, 520, 493, 6.000507, 0.298004, 691888, 190857, 0, 0, 3504, 2874, 2776
do_populate_sysroot, 3167912, 2.68, 24, 5, 10, 3, 6533216, 3066420, 2078, 784, 20480, 2281472, 364544, 0.241332, 0.053174, 59288, 24059, 3, 40, 2576, 148, 153, 0.103128, 0.032275, 56592, 16559, 0, 0, 1880, 202, 224
do_create_runtime_spdx, 3254023, 1.86, 25, 3, 3, 0, 1673499, 441525, 757, 262, 274432, 180224, 0, 0.25728799999999996, 0.038592999999999995, 61444, 22523, 2, 536, 264, 50, 122, 0.034885, 0.005441, 57804, 5402, 2, 0, 88, 113, 48
do_package_qa, 3242890, 3.54, 48, 10, 14, 15, 5897453, 379576, 3755, 355, 8192, 163840, 0, 0.480458, 0.107245, 56540, 31865, 0, 16, 272, 127, 2097, 0.142557, 0.154866, 54232, 58271, 0, 0, 48, 252, 528
