Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 2092750, 37.61, 30, 2, 555, 96, 135172362, 17450932, 60182, 19095, 339968, 17174528, 10256384, 0.304769, 0.025397, 72408, 18495, 0, 576, 368, 287, 123, 5.558936, 0.962432, 69644, 636824, 21, 88, 33176, 7441, 5965
do_collect_spdx_deps, 2311865, 0.06, 15, 0, 0, 0, 346681, 44735, 34, 46, 0, 53248, 0, 0.15156899999999998, 0.008192, 71664, 7090, 0, 0, 104, 0, 62, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 2091503, 0.39, 16, 8, 2, 0, 1794775, 1053557, 562, 304, 344064, 1101824, 0, 0.163185, 0.081592, 70432, 7241, 0, 664, 152, 37, 47, 0.022594, 0.002967, 65436, 1211, 0, 8, 2000, 17, 14
do_package_qa, 2770837, 1.10, 26, 2, 4, 3, 2097396, 230470, 1439, 266, 0, 159744, 0, 0.26054, 0.025626, 68728, 21510, 0, 0, 272, 153, 711, 0.047904999999999996, 0.032038, 66524, 13062, 0, 0, 40, 118, 173
do_recipe_qa, 368192, 0.39, 13, 3, 1, 0, 490149, 124792, 413, 207, 0, 106496, 0, 0.13752699999999998, 0.030560999999999998, 65752, 16144, 0, 0, 176, 47, 163, 0.017504, 0.007058999999999999, 62948, 3996, 0, 0, 32, 69, 76
do_install, 2193483, 1.67, 23, 2, 10, 2, 1824786, 852294, 2070, 406, 0, 839680, 4096, 0.23762799999999998, 0.021602, 67124, 14141, 0, 0, 184, 78, 336, 0.10617299999999999, 0.021963999999999997, 65044, 20006, 0, 0, 1456, 245, 545
do_patch, 427093, 0.04, 8, 2, 0, 0, 543243, 118818, 194, 79, 0, 131072, 4096, 0.084712, 0.023103, 64216, 8691, 0, 0, 128, 6, 2, 0.006643, 0.0, 58508, 941, 0, 0, 128, 13, 1
do_packagedata, 2243035, 0.28, 19, 2, 2, 2, 791483, 266388, 848, 316, 0, 204800, 0, 0.19431299999999999, 0.024804999999999997, 73040, 23644, 0, 0, 224, 43, 39, 0.027791, 0.023844999999999998, 70240, 6913, 0, 0, 176, 124, 80
do_compile, 2179673, 3.99, 17, 2, 483, 40, 26907984, 7170759, 9050, 3050, 430080, 2035712, 53248, 0.17157799999999998, 0.021446999999999997, 71988, 8256, 0, 0, 408, 143, 98, 4.839755, 0.406794, 69276, 191412, 8, 840, 3568, 2862, 3167
do_fetch, 371272, 1.70, 9, 0, 0, 0, 654194, 368457, 360, 589, 0, 372736, 0, 0.092056, 0.004841, 63600, 5796, 0, 0, 112, 30, 62, 0.002179, 0.006307999999999999, 60224, 901, 0, 0, 616, 103, 4
do_package, 2212621, 2.69, 60, 47, 144, 19, 15913792, 7015384, 7620, 1434, 4096, 5107712, 1531904, 0.609497, 0.475331, 68280, 40661, 0, 0, 632, 527, 1768, 1.445994, 0.197783, 66160, 45313, 0, 8, 9344, 2472, 1183
do_populate_lic, 772215, 0.11, 13, 3, 1, 1, 630805, 170860, 604, 248, 4096, 131072, 0, 0.13291899999999998, 0.039875, 69572, 18343, 0, 8, 216, 56, 50, 0.015716, 0.016515, 66472, 4963, 1, 0, 40, 101, 59
do_unpack, 424501, 0.07, 7, 0, 2, 1, 3302992, 4766341, 739, 705, 4096, 2740224, 0, 0.070662, 0.004416, 64228, 8667, 0, 0, 120, 8, 5, 0.020954, 0.014156, 60728, 2031, 0, 8, 5232, 248, 12
do_populate_sysroot, 2203054, 1.62, 25, 3, 6, 1, 3295657, 1580277, 1379, 643, 0, 1294336, 163840, 0.251384, 0.030938999999999998, 72480, 24259, 0, 0, 1688, 144, 146, 0.065884, 0.017631, 70356, 10674, 0, 0, 840, 200, 191
do_create_runtime_spdx, 2770972, 1.83, 16, 2, 2, 1, 1019909, 410578, 664, 253, 0, 163840, 0, 0.165455, 0.021769999999999998, 75644, 18879, 0, 0, 232, 66, 94, 0.029327, 0.015167, 72196, 5360, 0, 0, 88, 90, 109
do_package_write_rpm, 2770737, 2.64, 24, 3, 349, 18, 8087977, 1471532, 2471, 656, 0, 987136, 0, 0.244866, 0.0371, 68852, 24347, 0, 0, 480, 220, 449, 3.494906, 0.183978, 350268, 101201, 0, 0, 1448, 11137, 1069
do_create_spdx, 2312883, 0.62, 27, 4, 2, 3, 1348851, 629780, 792, 382, 0, 270336, 0, 0.27802, 0.04951, 75232, 24970, 0, 0, 416, 75, 104, 0.024867999999999998, 0.038827, 71616, 6596, 0, 0, 112, 323, 184
do_deploy_source_date_epoch, 497593, 0.08, 9, 1, 1, 0, 555741, 162329, 489, 289, 0, 118784, 0, 0.09902999999999999, 0.011883, 66560, 18531, 0, 0, 192, 31, 3, 0.010528, 0.006345, 63760, 4678, 0, 0, 40, 177, 8
