Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 586948, 0.51, 23, 3, 4, 1, 3140813, 356514, 1626, 824, 0, 196608, 0, 0.23576599999999998, 0.035963999999999996, 68604, 25909, 0, 0, 336, 192, 119, 0.042739, 0.019096, 65760, 8751, 0, 0, 48, 152, 210
do_collect_spdx_deps, 697249, 0.01, 7, 1, 0, 0, 1361025, 46320, 170, 53, 0, 53248, 0, 0.075149, 0.019776, 67908, 6943, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 530022, 0.07, 9, 2, 0, 0, 701505, 130812, 402, 221, 0, 106496, 0, 0.097484, 0.020309, 67280, 16804, 0, 0, 176, 24, 8, 0.007016, 0.008794999999999999, 64480, 4037, 0, 0, 32, 150, 2
do_fetch, 530617, 0.38, 7, 0, 0, 0, 577219, 83950, 259, 191, 0, 81920, 0, 0.077022, 0.008107, 66496, 8527, 0, 0, 120, 17, 1, 0.001553, 0.004051, 62624, 914, 0, 0, 40, 21, 1
do_prepare_recipe_sysroot, 583126, 0.11, 16, 6, 1, 0, 1724606, 1284565, 398, 356, 0, 1290240, 0, 0.16116899999999998, 0.066826, 67332, 8361, 0, 0, 136, 2, 23, 0.017579, 0.0, 61496, 622, 0, 0, 2384, 9, 96
do_install, 586083, 0.20, 16, 2, 8, 1, 3330930, 107925, 941, 253, 0, 86016, 0, 0.16567099999999998, 0.020203, 68268, 13920, 0, 0, 104, 23, 66, 0.089291, 0.016777, 65576, 6488, 0, 0, 64, 59, 73
do_compile, 585022, 0.17, 14, 1, 17, 3, 4553092, 139457, 1884, 330, 0, 86016, 0, 0.148984, 0.012079, 68256, 8819, 0, 0, 104, 31, 64, 0.175561, 0.032986999999999995, 65564, 16053, 3, 0, 64, 186, 176
do_populate_lic, 719118, 0.44, 23, 3, 2, 1, 2178654, 224626, 793, 267, 0, 139264, 0, 0.23601899999999998, 0.030952999999999998, 70752, 18601, 0, 0, 224, 43, 416, 0.024818, 0.019679, 67708, 5050, 0, 0, 48, 80, 106
do_unpack, 549815, 0.03, 6, 1, 0, 0, 638565, 157886, 167, 90, 0, 126976, 0, 0.069802, 0.012317999999999999, 66240, 12368, 0, 0, 64, 8, 4, 0.004438, 0.0021449999999999998, 62320, 1509, 0, 0, 184, 13, 1
do_patch, 559326, 0.03, 8, 1, 0, 0, 638564, 125451, 184, 90, 0, 126976, 4096, 0.080882, 0.011028999999999999, 66872, 10487, 0, 0, 120, 6, 3, 0.00469, 0.001331, 60768, 957, 1, 0, 128, 13, 1
do_configure, 583968, 0.19, 16, 2, 11, 0, 2932063, 219737, 661, 300, 45056, 131072, 0, 0.166706, 0.027138, 68440, 8876, 0, 0, 152, 35, 283, 0.11677399999999999, 0.008079, 65616, 8196, 2, 88, 104, 28, 47
do_create_runtime_spdx, 775970, 0.12, 13, 2, 1, 1, 2191076, 358198, 613, 248, 0, 139264, 0, 0.138102, 0.029293999999999997, 71096, 16343, 0, 0, 192, 28, 16, 0.016711, 0.010099, 68284, 4271, 1, 0, 80, 76, 44
do_create_spdx, 697342, 0.13, 15, 2, 2, 1, 2408655, 498964, 806, 289, 0, 208896, 0, 0.153136, 0.028971, 71876, 21383, 0, 0, 304, 34, 11, 0.021837, 0.015451, 68276, 5256, 1, 0, 104, 172, 21
do_deploy_source_date_epoch, 582372, 0.16, 16, 4, 1, 1, 759645, 163793, 552, 299, 0, 118784, 0, 0.16985, 0.045534, 68428, 19200, 0, 0, 192, 72, 138, 0.015255999999999999, 0.014126, 65616, 4717, 0, 0, 40, 76, 154
