Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_fetch, 54697, 0.27, 6, 1, 0, 0, 809699, 323001, 393, 470, 0, 323584, 0, 0.068592, 0.016139, 62468, 8715, 0, 0, 120, 26, 11, 0.0052899999999999996, 0.0, 58588, 906, 0, 0, 512, 155, 2
do_collect_spdx_deps, 584676, 0.02, 16, 1, 0, 0, 559275, 46254, 42, 53, 0, 53248, 0, 0.16089, 0.011491999999999999, 67396, 7084, 0, 0, 104, 0, 74, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 54594, 0.06, 9, 0, 1, 0, 696701, 129258, 407, 221, 0, 106496, 0, 0.093856, 0.007821, 63584, 16715, 0, 0, 176, 28, 2, 0.010067, 0.004202, 60784, 4024, 0, 0, 32, 143, 11
do_install, 846297, 1.09, 23, 1, 19, 2, 4947675, 619607, 1490, 395, 0, 651264, 0, 0.23007999999999998, 0.018406, 70916, 12016, 0, 0, 152, 48, 61, 0.195731, 0.025342999999999997, 68224, 10602, 1, 0, 1120, 124, 122
do_compile, 844525, 4.54, 14, 3, 160, 14, 17583445, 1177192, 4302, 942, 380928, 860160, 0, 0.144056, 0.032012, 70920, 6912, 0, 0, 176, 141, 76, 1.605149, 0.142044, 91212, 58134, 5, 744, 1504, 467, 540
do_prepare_recipe_sysroot, 842843, 0.59, 15, 5, 2, 0, 1944336, 1269605, 457, 360, 0, 1310720, 0, 0.157957, 0.052652, 69288, 6952, 0, 0, 152, 2, 147, 0.023016, 0.0, 64024, 625, 0, 0, 2408, 19, 24
do_patch, 56888, 0.05, 7, 0, 2, 0, 934643, 146062, 726, 146, 0, 167936, 4096, 0.075747, 0.007973, 62152, 11422, 0, 0, 136, 13, 4, 0.028908, 0.000474, 56032, 9229, 0, 0, 192, 141, 10
do_populate_sysroot, 846795, 1.51, 35, 5, 7, 3, 5261680, 1129927, 2191, 937, 0, 516096, 0, 0.351589, 0.05409, 71080, 30224, 0, 0, 536, 189, 157, 0.07817, 0.03297, 69148, 12014, 4, 0, 472, 217, 201
do_configure, 843536, 1.26, 19, 1, 24, 3, 6284719, 456701, 2157, 611, 98304, 442368, 159744, 0.193628, 0.016135, 71192, 7339, 0, 0, 160, 49, 55, 0.24254299999999998, 0.035088, 68272, 26344, 0, 192, 704, 100, 243
do_create_spdx, 585168, 0.16, 16, 4, 2, 1, 1207733, 501267, 603, 295, 0, 212992, 0, 0.167561, 0.044954999999999995, 69444, 21271, 0, 0, 312, 34, 82, 0.025002999999999997, 0.012589, 66316, 5207, 0, 0, 104, 131, 34
do_create_runtime_spdx, 787523, 0.48, 16, 2, 1, 1, 986992, 356821, 440, 248, 0, 135168, 0, 0.165247, 0.0269, 71248, 16368, 0, 0, 184, 46, 216, 0.017852, 0.013826, 68512, 4264, 1, 0, 80, 85, 75
do_deploy_source_date_epoch, 68772, 0.08, 11, 0, 1, 0, 752452, 160833, 486, 296, 0, 118784, 0, 0.115144, 0.008529, 63344, 18884, 0, 0, 192, 31, 6, 0.012428999999999999, 0.00417, 60544, 4700, 0, 0, 40, 171, 4
do_populate_lic, 747319, 0.28, 20, 4, 3, 0, 913115, 201375, 612, 265, 32768, 139264, 0, 0.203433, 0.042828, 71020, 18599, 0, 64, 232, 55, 76, 0.037229, 0.003453, 67924, 5007, 0, 0, 40, 85, 95
do_unpack, 56754, 0.02, 6, 0, 1, 0, 1561210, 1418072, 315, 232, 0, 876544, 4096, 0.062515, 0.004167, 62456, 9570, 0, 0, 56, 12, 3, 0.010835, 0.00085, 58520, 2556, 0, 0, 1656, 36, 6
