Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 701924, 0.01, 9, 0, 0, 0, 1346372, 46176, 170, 53, 0, 49152, 0, 0.097027, 0.003881, 68672, 7399, 0, 0, 96, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 580600, 0.14, 14, 2, 1, 1, 704059, 129571, 389, 221, 0, 106496, 0, 0.144148, 0.024711, 68052, 16276, 0, 0, 176, 26, 71, 0.011769, 0.012988999999999999, 65248, 4006, 0, 0, 32, 81, 57
do_install, 683622, 0.13, 12, 1, 7, 1, 3596731, 256476, 946, 245, 0, 241664, 0, 0.12117299999999999, 0.019544, 69492, 13887, 0, 0, 96, 17, 1, 0.071252, 0.010126, 66800, 6552, 3, 0, 376, 69, 5
do_prepare_recipe_sysroot, 681903, 0.36, 8, 4, 1, 0, 1724610, 1262117, 398, 351, 0, 1269760, 0, 0.085676, 0.042838, 67584, 8115, 0, 0, 136, 2, 3, 0.018011, 0.003799, 62040, 615, 0, 0, 2344, 14, 6
do_compile, 683007, 0.12, 10, 1, 18, 3, 4896744, 285383, 1902, 338, 0, 245760, 0, 0.10256799999999999, 0.011833999999999999, 69640, 8518, 0, 0, 104, 28, 3, 0.187433, 0.031017, 66948, 16101, 8, 0, 376, 181, 59
do_fetch, 581404, 5.61, 10, 2, 0, 0, 580911, 92855, 234, 193, 0, 90112, 0, 0.10894899999999999, 0.022541, 66960, 8219, 0, 0, 120, 28, 96, 0.005934, 0.002408, 62988, 902, 0, 0, 56, 27, 6
do_patch, 633959, 0.02, 7, 1, 0, 0, 638480, 124979, 184, 90, 0, 131072, 4096, 0.072064, 0.016956, 67032, 10167, 0, 0, 128, 6, 5, 0.003593, 0.001966, 61140, 945, 0, 0, 128, 13, 1
do_unpack, 612772, 0.09, 16, 2, 1, 0, 813190, 470162, 188, 128, 0, 323584, 0, 0.16247599999999998, 0.027079, 67276, 10907, 0, 0, 64, 8, 181, 0.010574, 0.00266, 63304, 1497, 0, 0, 568, 17, 25
do_configure, 682563, 0.12, 14, 1, 7, 1, 3007448, 204338, 633, 244, 0, 122880, 0, 0.140706, 0.01608, 69400, 8676, 0, 0, 152, 17, 7, 0.074594, 0.016893, 66480, 8137, 0, 0, 88, 27, 19
do_deploy_source_date_epoch, 681882, 0.36, 14, 2, 1, 1, 1153906, 161368, 547, 296, 0, 118784, 0, 0.146481, 0.023128, 69272, 18962, 0, 0, 192, 30, 75, 0.013009, 0.014313999999999999, 66472, 4702, 0, 0, 40, 145, 21
do_create_runtime_spdx, 769554, 0.11, 19, 3, 1, 0, 2168436, 357148, 630, 248, 0, 139264, 0, 0.193021, 0.038604, 71040, 18448, 0, 0, 192, 36, 31, 0.018733, 0.007999, 68240, 4271, 0, 0, 80, 88, 45
do_populate_sysroot, 684595, 0.16, 16, 4, 2, 2, 3664540, 501712, 1547, 842, 0, 196608, 0, 0.16089399999999998, 0.042339999999999996, 69836, 25623, 0, 0, 328, 74, 11, 0.027877, 0.026178, 66992, 8823, 0, 0, 56, 234, 23
do_create_spdx, 702401, 0.12, 13, 5, 2, 1, 2387574, 497542, 805, 289, 0, 208896, 0, 0.131265, 0.057428, 71980, 21480, 0, 0, 304, 35, 9, 0.021280999999999998, 0.010938, 68380, 5274, 0, 0, 104, 136, 9
do_populate_lic, 710002, 0.43, 17, 4, 2, 1, 2063698, 201477, 794, 265, 20480, 139264, 0, 0.177761, 0.043356, 70780, 18669, 0, 0, 232, 52, 123, 0.029476, 0.012598, 67708, 5030, 0, 40, 40, 82, 94
