Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 701943, 0.01, 10, 0, 0, 0, 1337685, 46267, 154, 53, 0, 49152, 0, 0.10259499999999999, 0.003945, 68672, 7425, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 580905, 0.14, 19, 3, 1, 0, 704414, 128878, 394, 221, 0, 106496, 0, 0.193659, 0.032276, 68052, 16319, 0, 0, 176, 24, 834, 0.014877999999999999, 0.009722999999999999, 65248, 4019, 0, 0, 32, 92, 58
do_install, 683593, 0.13, 13, 1, 4, 2, 3502716, 233227, 993, 262, 8192, 258048, 0, 0.135186, 0.013082, 69500, 13796, 0, 0, 112, 18, 3, 0.047084999999999995, 0.02744, 66808, 6553, 1, 16, 392, 67, 27
do_compile, 683014, 0.11, 11, 0, 18, 1, 4702498, 243627, 1907, 332, 0, 253952, 0, 0.11154199999999999, 0.008579999999999999, 69652, 8525, 0, 0, 104, 23, 3, 0.180275, 0.018984, 66960, 16154, 2, 0, 392, 189, 49
do_create_spdx, 702547, 0.12, 15, 3, 2, 0, 2382492, 497606, 781, 289, 0, 208896, 0, 0.15623499999999998, 0.033479, 71876, 21478, 0, 0, 304, 35, 6, 0.025501, 0.007397, 68276, 5236, 0, 0, 104, 149, 15
do_configure, 682566, 0.13, 11, 1, 9, 0, 2945787, 207247, 632, 254, 0, 126976, 0, 0.11154499999999999, 0.019917999999999998, 69104, 8585, 0, 0, 152, 18, 6, 0.09417099999999999, 0.00972, 66176, 8134, 0, 0, 96, 26, 37
do_fetch, 581775, 5.50, 11, 2, 0, 0, 600807, 111594, 315, 209, 0, 110592, 0, 0.11841299999999999, 0.027628999999999997, 67296, 8373, 0, 0, 120, 47, 124, 0.0, 0.008334, 63324, 899, 0, 0, 96, 42, 15
do_prepare_recipe_sysroot, 682055, 0.31, 9, 3, 0, 1, 1726280, 1248934, 400, 348, 0, 1257472, 0, 0.09321199999999999, 0.032421, 67596, 8112, 0, 0, 144, 5, 2, 0.0050019999999999995, 0.013065, 62040, 629, 0, 0, 2312, 11, 7
do_patch, 634018, 0.02, 7, 1, 0, 0, 638897, 124684, 184, 90, 0, 131072, 4096, 0.074499, 0.011763, 67028, 10191, 0, 0, 128, 6, 3, 0.0046819999999999995, 0.001142, 61140, 957, 0, 0, 128, 13, 2
do_unpack, 613945, 0.12, 12, 2, 1, 0, 863525, 501247, 187, 160, 0, 442368, 0, 0.127694, 0.022534, 67280, 10893, 0, 0, 64, 8, 68, 0.011288, 0.002536, 63308, 1506, 0, 0, 800, 17, 11
do_populate_sysroot, 685095, 0.38, 18, 3, 4, 1, 3520879, 483844, 1658, 847, 0, 221184, 0, 0.189353, 0.039448, 69856, 25444, 0, 0, 344, 100, 11, 0.044501, 0.019041, 67012, 8777, 0, 0, 88, 169, 101
do_create_runtime_spdx, 775879, 0.19, 16, 1, 1, 1, 2155045, 356869, 678, 248, 0, 139264, 0, 0.16586299999999998, 0.011847, 71092, 16442, 0, 0, 192, 77, 45, 0.012051, 0.016455, 68292, 4269, 0, 0, 80, 69, 110
do_populate_lic, 719098, 0.49, 21, 3, 2, 1, 2049045, 200462, 734, 264, 0, 135168, 0, 0.214689, 0.031973999999999995, 70788, 18596, 0, 0, 224, 31, 111, 0.023216, 0.018508, 67704, 5019, 0, 0, 40, 123, 68
do_deploy_source_date_epoch, 681970, 0.34, 14, 1, 1, 1, 1077228, 160135, 534, 296, 0, 118784, 0, 0.140876, 0.016573, 68960, 18934, 0, 0, 192, 33, 18, 0.012067999999999999, 0.015, 66160, 4702, 0, 0, 40, 160, 17
