Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 588718, 0.05, 10, 2, 1, 0, 945513, 633126, 197, 138, 0, 409600, 0, 0.107997, 0.029792, 67304, 10891, 0, 0, 56, 7, 95, 0.010451, 0.003384, 63332, 1525, 0, 0, 744, 22, 24
do_collect_spdx_deps, 696693, 0.01, 10, 1, 0, 0, 558277, 46291, 42, 53, 0, 49152, 0, 0.101019, 0.012121999999999999, 67976, 6986, 0, 0, 96, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 576321, 0.16, 18, 3, 0, 1, 703850, 129333, 420, 221, 0, 106496, 0, 0.185439, 0.031564, 67944, 16354, 0, 0, 176, 45, 70, 0.009411, 0.016006, 65144, 4009, 0, 0, 32, 76, 62
do_patch, 634062, 0.02, 8, 0, 0, 0, 638617, 124861, 184, 90, 0, 131072, 4096, 0.080298, 0.008452, 67048, 10143, 0, 0, 128, 6, 5, 0.003748, 0.001982, 61404, 939, 0, 0, 128, 12, 2
do_install, 848345, 0.77, 21, 1, 10, 2, 3695552, 291097, 949, 297, 0, 266240, 0, 0.21934599999999999, 0.013708999999999999, 70916, 12018, 0, 0, 96, 37, 39, 0.10553, 0.024744, 68220, 6535, 0, 0, 424, 67, 54
do_compile, 847913, 0.91, 15, 1, 29, 5, 4814689, 322040, 1900, 395, 0, 270336, 0, 0.151676, 0.013788, 70908, 6939, 0, 0, 104, 51, 103, 0.290275, 0.054047, 68196, 16069, 0, 0, 424, 171, 156
do_fetch, 577410, 0.28, 12, 1, 0, 0, 632347, 142983, 245, 252, 0, 147456, 0, 0.129827, 0.014837, 66868, 8370, 0, 0, 120, 18, 199, 0.002146, 0.006129, 62976, 897, 0, 0, 168, 51, 3
do_prepare_recipe_sysroot, 847410, 0.34, 21, 5, 1, 0, 1950803, 1273123, 459, 360, 4096, 1314816, 0, 0.21456399999999998, 0.051654, 69276, 7149, 0, 8, 160, 3, 50, 0.016135999999999998, 0.005965, 64032, 637, 0, 0, 2408, 10, 23
do_configure, 847635, 0.53, 13, 3, 14, 2, 2924239, 210282, 635, 303, 0, 122880, 0, 0.138266, 0.0366, 71180, 7491, 0, 0, 152, 34, 69, 0.14521799999999999, 0.029613999999999998, 68256, 8167, 0, 0, 88, 26, 44
do_populate_sysroot, 848653, 0.82, 30, 4, 6, 1, 3563062, 483351, 1562, 839, 0, 225280, 0, 0.305046, 0.046335999999999995, 71000, 26575, 0, 0, 336, 165, 74, 0.06206, 0.016099, 68240, 9017, 0, 0, 104, 180, 191
do_create_runtime_spdx, 781606, 0.40, 17, 2, 2, 0, 986356, 357314, 451, 248, 0, 139264, 0, 0.175304, 0.026676, 71256, 16315, 0, 0, 192, 52, 70, 0.021183, 0.009178, 68520, 4271, 0, 0, 80, 94, 85
do_create_spdx, 696914, 0.11, 14, 2, 1, 1, 1212017, 497847, 602, 289, 0, 208896, 0, 0.146044, 0.025036, 70708, 21172, 0, 0, 304, 34, 11, 0.01826, 0.013618, 67572, 5248, 0, 0, 104, 133, 12
do_populate_lic, 722933, 0.47, 19, 2, 3, 1, 973395, 222844, 596, 267, 0, 139264, 0, 0.190736, 0.020732, 70800, 18470, 0, 0, 224, 48, 185, 0.03065, 0.013124, 67712, 5005, 0, 0, 48, 66, 59
do_deploy_source_date_epoch, 682056, 0.30, 13, 1, 1, 0, 759578, 161316, 490, 299, 0, 118784, 0, 0.132293, 0.017639, 68960, 18816, 0, 0, 192, 35, 7, 0.016058, 0.007402, 66160, 4730, 0, 0, 40, 154, 25
