Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 695092, 0.02, 14, 1, 0, 0, 567108, 47943, 42, 54, 0, 49152, 0, 0.145537, 0.012128, 67888, 6831, 0, 0, 96, 0, 19, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 782536, 0.39, 16, 1, 2, 0, 994798, 356833, 451, 249, 0, 135168, 0, 0.16047899999999998, 0.016458999999999998, 71224, 16083, 0, 0, 184, 52, 75, 0.02333, 0.008879999999999999, 68416, 4264, 0, 0, 80, 99, 56
do_fetch, 547171, 0.02, 9, 1, 0, 0, 506085, 48418, 37, 63, 0, 53248, 0, 0.09819299999999999, 0.01571, 66480, 7115, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 1217475, 0.80, 18, 2, 8, 1, 1445784, 214031, 1678, 571, 0, 229376, 4096, 0.182315, 0.024860999999999998, 71152, 14023, 0, 0, 136, 97, 215, 0.087114, 0.016352, 68460, 14619, 0, 0, 312, 228, 214
do_recipe_qa, 546255, 0.10, 11, 1, 1, 0, 711104, 129327, 391, 222, 0, 106496, 0, 0.114003, 0.012214, 67260, 16292, 0, 0, 176, 27, 11, 0.014650999999999999, 0.006345, 64460, 4015, 0, 0, 32, 122, 17
do_compile, 1214520, 2.47, 15, 3, 141, 26, 17431683, 584979, 6616, 1055, 212992, 434176, 40960, 0.152086, 0.032882999999999996, 70960, 8731, 0, 0, 224, 53, 142, 1.4102679999999999, 0.260181, 68260, 134665, 7, 416, 624, 1391, 1489
do_populate_lic, 730781, 0.45, 18, 2, 3, 1, 844961, 184961, 600, 263, 0, 131072, 0, 0.187755, 0.027963, 70752, 18589, 0, 0, 224, 57, 59, 0.031173, 0.01389, 67732, 4971, 0, 0, 32, 117, 84
do_deploy_source_date_epoch, 635050, 0.07, 11, 0, 1, 0, 765803, 158454, 476, 296, 0, 122880, 0, 0.119228, 0.008222, 68600, 18850, 0, 0, 200, 30, 5, 0.010359, 0.008563, 65800, 4692, 0, 0, 40, 141, 5
do_prepare_recipe_sysroot, 1183420, 0.74, 16, 8, 2, 0, 2659681, 1751958, 669, 489, 45056, 1830912, 0, 0.163548, 0.087757, 70884, 7395, 0, 88, 152, 14, 69, 0.026764, 0.003093, 65996, 642, 0, 0, 3424, 10, 7
do_patch, 573887, 0.07, 12, 1, 0, 0, 646390, 122212, 184, 87, 0, 126976, 4096, 0.129137, 0.011739, 66756, 10301, 0, 0, 120, 6, 114, 0.006835, 0.0016129999999999999, 60672, 944, 0, 0, 128, 13, 9
do_configure, 1183924, 28.96, 32, 5, 499, 78, 85183606, 13108290, 48305, 15095, 163840, 13033472, 6852608, 0.325473, 0.05139, 71588, 17413, 0, 8, 320, 238, 77, 4.993014, 0.7815489999999999, 68796, 629492, 36, 312, 25136, 6091, 6041
do_populate_sysroot, 1218368, 1.51, 30, 6, 7, 2, 1659748, 535896, 1613, 911, 0, 348160, 0, 0.305301, 0.061059999999999996, 71336, 29116, 0, 0, 488, 175, 123, 0.075829, 0.029873, 69196, 12623, 0, 0, 192, 196, 201
do_create_spdx, 695592, 0.13, 17, 3, 2, 1, 1297335, 498131, 651, 287, 0, 212992, 0, 0.17843499999999998, 0.03879, 70800, 20633, 0, 0, 312, 35, 21, 0.023572, 0.013063, 67664, 5251, 4, 0, 104, 111, 24
do_unpack, 566079, 0.15, 13, 1, 2, 0, 3269030, 4310889, 722, 670, 0, 2564096, 0, 0.131067, 0.014563, 66608, 11001, 0, 0, 120, 8, 545, 0.025477999999999997, 0.008779, 62648, 1981, 0, 0, 4888, 246, 249
