Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 566423, 0.04, 12, 1, 0, 0, 567127, 47726, 42, 54, 0, 53248, 0, 0.129891, 0.012988999999999999, 66988, 6975, 0, 0, 104, 1, 403, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 60842, 0.06, 6, 3, 0, 0, 705941, 129368, 398, 222, 0, 110592, 0, 0.069813, 0.031028, 63548, 16743, 0, 0, 184, 26, 17, 0.009413, 0.004595, 60748, 4023, 0, 0, 32, 142, 5
do_compile, 1172983, 2.15, 16, 2, 160, 22, 18809227, 568042, 6970, 1213, 155648, 376832, 53248, 0.163624, 0.029368, 71916, 6823, 0, 0, 224, 79, 263, 1.604381, 0.224513, 69216, 155319, 6, 304, 512, 1664, 1239
do_install, 1177356, 0.92, 21, 2, 9, 0, 1402741, 199719, 1190, 337, 20480, 188416, 4096, 0.210718, 0.026817999999999998, 72044, 14878, 0, 0, 128, 27, 78, 0.095284, 0.0037229999999999997, 69352, 14124, 1, 40, 240, 199, 122
do_fetch, 61169, 0.02, 6, 1, 0, 0, 506101, 48317, 37, 63, 0, 53248, 0, 0.061554, 0.01231, 62408, 7014, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1144968, 0.33, 20, 10, 2, 0, 2655427, 1756576, 665, 490, 77824, 1835008, 0, 0.20197299999999999, 0.10875399999999999, 70780, 7562, 0, 152, 144, 22, 61, 0.020804, 0.009819999999999999, 65892, 635, 0, 0, 3440, 8, 119
do_patch, 391356, 0.09, 14, 2, 0, 0, 646431, 122296, 184, 87, 0, 126976, 4096, 0.14055099999999998, 0.02811, 65508, 10325, 0, 0, 120, 6, 25, 0.003665, 0.0055569999999999994, 59656, 949, 0, 0, 128, 10, 13
do_create_spdx, 566898, 0.25, 19, 2, 2, 1, 1266655, 497518, 704, 287, 0, 212992, 0, 0.19261299999999998, 0.025681, 69188, 20882, 0, 0, 312, 76, 284, 0.020052999999999998, 0.016051, 66288, 5229, 0, 0, 104, 101, 136
do_configure, 1145076, 27.16, 37, 4, 479, 92, 85720446, 13305510, 50910, 15251, 278528, 13115392, 6852608, 0.374313, 0.041055, 72132, 18738, 0, 8, 320, 257, 711, 4.793475, 0.9256359999999999, 69432, 625590, 31, 536, 25296, 6885, 6311
do_deploy_source_date_epoch, 489709, 0.10, 13, 3, 1, 1, 760884, 159425, 481, 299, 0, 122880, 0, 0.130898, 0.033659, 66660, 18805, 0, 0, 200, 29, 7, 0.012478999999999999, 0.012801, 63796, 4689, 0, 0, 40, 108, 9
do_populate_sysroot, 1179151, 1.17, 30, 3, 6, 4, 1715980, 547385, 1751, 912, 0, 352256, 0, 0.30739099999999997, 0.038423, 71804, 30699, 0, 0, 488, 208, 101, 0.066311, 0.040017, 69932, 12651, 1, 0, 200, 226, 275
do_create_runtime_spdx, 782494, 0.39, 15, 2, 2, 1, 994969, 357088, 446, 249, 0, 135168, 0, 0.153434, 0.023604999999999998, 71216, 16114, 0, 0, 184, 48, 95, 0.020898, 0.011502, 68404, 4234, 2, 0, 80, 86, 66
do_populate_lic, 730771, 0.56, 18, 2, 3, 1, 829000, 174928, 551, 262, 8192, 131072, 0, 0.184306, 0.028045999999999998, 70820, 18638, 1, 16, 224, 36, 168, 0.033656, 0.012608999999999999, 67736, 4953, 0, 0, 32, 113, 62
do_unpack, 362682, 0.17, 12, 2, 3, 1, 3361318, 4468260, 738, 677, 0, 2596864, 0, 0.12693, 0.021155, 65428, 10997, 0, 0, 128, 8, 244, 0.03174, 0.011285, 61772, 2002, 0, 0, 4944, 255, 285
