Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2099777, 0.11, 16, 1, 0, 0, 346924, 44746, 34, 46, 0, 49152, 0, 0.165015, 0.015000999999999999, 71292, 5147, 0, 0, 96, 0, 46, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 2203249, 1.55, 21, 6, 5, 0, 1348737, 619575, 820, 368, 0, 266240, 0, 0.21920299999999998, 0.06376799999999999, 74988, 25720, 0, 0, 408, 84, 124, 0.059677999999999995, 0.009342, 71372, 6831, 0, 0, 112, 342, 134
do_install, 2174734, 1.03, 18, 3, 9, 4, 1668042, 659634, 2082, 530, 20480, 626688, 4096, 0.18772799999999998, 0.031952999999999995, 66760, 13955, 0, 0, 192, 194, 374, 0.098867, 0.043188, 64680, 21744, 0, 40, 1032, 298, 527
do_deploy_source_date_epoch, 269197, 0.12, 15, 2, 1, 1, 548063, 161500, 483, 286, 0, 114688, 0, 0.15711899999999998, 0.025477999999999997, 65016, 18519, 0, 0, 184, 32, 16, 0.011334, 0.012503, 62208, 4675, 0, 0, 40, 93, 27
do_recipe_qa, 33042, 0.05, 7, 0, 1, 0, 470117, 124746, 390, 207, 0, 102400, 0, 0.078321, 0.007832, 61672, 15848, 0, 0, 168, 30, 2, 0.011085, 0.002172, 58868, 3993, 0, 0, 32, 127, 8
do_packagedata, 2198158, 0.87, 16, 5, 4, 1, 792310, 267436, 879, 316, 0, 204800, 0, 0.163361, 0.050265, 72848, 23035, 0, 0, 224, 62, 100, 0.043447, 0.015747999999999998, 70048, 6897, 0, 0, 176, 139, 77
do_compile, 2157132, 5.23, 11, 2, 214, 27, 25011590, 4920851, 8125, 2117, 155648, 1552384, 53248, 0.111944, 0.029851, 71868, 8137, 0, 0, 312, 42, 57, 2.141044, 0.276136, 69172, 163324, 2, 304, 2720, 2350, 1943
do_fetch, 33093, 1.54, 5, 0, 0, 0, 645615, 359646, 376, 527, 0, 360448, 0, 0.052598, 0.0, 59840, 5670, 0, 0, 112, 34, 2, 0.00667, 0.001308, 56488, 898, 0, 0, 592, 105, 3
do_unpack, 263469, 0.11, 10, 2, 2, 1, 3141110, 4464526, 702, 672, 0, 2596864, 0, 0.10137399999999999, 0.026282, 62824, 8491, 0, 0, 128, 8, 135, 0.029588999999999997, 0.013405, 59332, 1988, 1, 0, 4944, 226, 149
do_populate_lic, 724846, 0.42, 15, 3, 3, 1, 627216, 170135, 549, 247, 12288, 126976, 0, 0.15107399999999999, 0.030213999999999998, 69464, 18221, 1, 24, 216, 35, 187, 0.033472, 0.010313, 66368, 5004, 0, 0, 32, 115, 68
do_package_qa, 2985809, 1.40, 23, 3, 6, 1, 1594201, 230272, 1359, 267, 28672, 163840, 0, 0.239803, 0.033572, 57556, 20324, 5, 56, 272, 155, 637, 0.065429, 0.016808999999999998, 55212, 13336, 0, 0, 48, 252, 166
do_prepare_recipe_sysroot, 2083867, 0.49, 14, 4, 1, 0, 1795037, 1053660, 562, 304, 131072, 1101824, 0, 0.144229, 0.048076, 70432, 7210, 0, 248, 152, 35, 109, 0.017608, 0.006939, 65432, 1203, 0, 8, 2000, 30, 19
do_create_runtime_spdx, 2985909, 1.26, 15, 4, 3, 0, 1015342, 412927, 671, 255, 16384, 172032, 0, 0.15600799999999998, 0.04638, 63364, 21579, 0, 32, 248, 68, 88, 0.038266, 0.006451, 59776, 5371, 0, 0, 88, 129, 95
do_patch, 264863, 0.04, 8, 0, 0, 0, 544979, 118854, 194, 79, 0, 126976, 4096, 0.087668, 0.007969, 63156, 8681, 0, 0, 120, 6, 21, 0.008936, 0.0, 57500, 937, 0, 0, 128, 12, 4
do_configure, 2085634, 35.18, 27, 6, 554, 101, 132189785, 17579536, 64073, 18845, 778240, 17100800, 10104832, 0.272736, 0.060607999999999995, 72440, 18180, 0, 1216, 376, 290, 107, 5.546045, 1.011948, 69648, 612145, 16, 304, 33024, 6524, 5130
do_package_write_rpm, 2942960, 3.91, 31, 6, 420, 15, 5368712, 911519, 2760, 674, 1937408, 606208, 0, 0.319766, 0.067319, 57544, 23470, 180, 3696, 488, 772, 454, 4.201199, 0.153919, 426732, 123706, 0, 88, 696, 1957, 1563
do_populate_sysroot, 2180026, 1.16, 27, 4, 6, 1, 2257465, 941306, 1339, 637, 0, 782336, 49152, 0.279235, 0.0484, 72448, 24085, 0, 0, 1248, 128, 141, 0.06845799999999999, 0.018141, 70344, 11021, 1, 0, 280, 171, 159
do_package, 2180520, 5.14, 71, 44, 151, 14, 11542288, 5112749, 7120, 1271, 4096, 3895296, 966656, 0.713179, 0.44225, 68276, 41896, 0, 8, 632, 477, 1791, 1.51142, 0.149026, 66072, 44366, 0, 0, 6976, 1671, 1231
