Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 1178529, 1.17, 19, 1, 8, 0, 1364618, 117197, 1119, 358, 0, 98304, 4096, 0.199821, 0.015985, 71896, 15161, 0, 0, 128, 34, 79, 0.08763699999999999, 0.008516, 69204, 13737, 2, 0, 64, 221, 143
do_prepare_recipe_sysroot, 1144979, 0.41, 20, 9, 1, 1, 2655402, 1759679, 665, 491, 32768, 1839104, 0, 0.20233399999999999, 0.09901399999999999, 70620, 7437, 0, 64, 144, 10, 45, 0.01765, 0.01372, 65732, 631, 0, 0, 3448, 8, 24
do_configure, 1145152, 28.45, 33, 6, 529, 92, 91165496, 13707821, 57346, 15848, 172032, 13660160, 7225344, 0.338899, 0.061618, 72120, 17563, 0, 16, 320, 268, 117, 5.291588, 0.929337, 69428, 687544, 44, 320, 26360, 8428, 8074
do_recipe_qa, 700923, 0.08, 14, 1, 1, 1, 720373, 129870, 394, 222, 0, 106496, 0, 0.140396, 0.016517, 70460, 16543, 0, 0, 176, 25, 5, 0.012905, 0.010683, 67652, 4002, 0, 0, 32, 85, 24
do_populate_lic, 794581, 0.34, 17, 3, 2, 1, 827349, 175514, 583, 262, 0, 135168, 0, 0.177115, 0.032515999999999996, 71240, 16511, 0, 0, 224, 46, 75, 0.027517999999999997, 0.013791999999999999, 68156, 4972, 0, 0, 40, 88, 86
do_compile, 1175759, 1.15, 14, 3, 27, 5, 3714131, 150091, 2145, 532, 24576, 110592, 8192, 0.143016, 0.03667, 71916, 6833, 0, 0, 112, 63, 54, 0.272464, 0.050558, 69212, 36850, 2, 48, 104, 462, 381
do_fetch, 701363, 0.01, 9, 1, 0, 0, 506045, 51719, 37, 67, 4096, 53248, 0, 0.091473, 0.011930999999999999, 68528, 7273, 0, 8, 104, 1, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 703222, 0.07, 11, 0, 3, 1, 927328, 130905, 722, 140, 4096, 151552, 4096, 0.11218099999999999, 0.008303999999999999, 67836, 11521, 0, 8, 128, 15, 5, 0.035264, 0.010546, 62012, 9325, 0, 0, 168, 141, 19
do_unpack, 702775, 0.05, 9, 1, 2, 0, 3117911, 4053395, 720, 631, 0, 2375680, 0, 0.09278, 0.019329, 68624, 12033, 0, 0, 120, 10, 4, 0.027284, 0.001789, 64860, 2456, 0, 0, 4520, 220, 12
do_populate_sysroot, 1180202, 1.10, 32, 5, 6, 3, 1305828, 391003, 1521, 870, 0, 258048, 0, 0.321827, 0.051630999999999996, 71560, 30397, 0, 0, 416, 178, 126, 0.063958, 0.034818999999999996, 69636, 11984, 1, 0, 88, 216, 292
do_deploy_source_date_epoch, 705653, 0.73, 20, 2, 2, 0, 773374, 164395, 532, 329, 0, 118784, 0, 0.208702, 0.025044, 70480, 19143, 0, 0, 192, 59, 89, 0.026549, 0.009042, 67744, 4687, 0, 0, 40, 103, 85
