Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_deploy_source_date_epoch, 300368, 0.12, 17, 1, 1, 0, 548624, 162332, 469, 286, 0, 114688, 0, 0.172476, 0.017689, 65040, 18462, 0, 0, 184, 29, 8, 0.017418, 0.0067729999999999995, 62240, 4704, 0, 0, 40, 127, 13
do_collect_spdx_deps, 2101647, 0.14, 12, 1, 0, 0, 346865, 44636, 34, 46, 0, 49152, 0, 0.12468, 0.014667999999999999, 71468, 5177, 0, 0, 96, 0, 94, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2211771, 0.52, 19, 2, 4, 1, 786913, 265028, 845, 316, 0, 204800, 0, 0.19368, 0.024725, 72552, 20755, 0, 0, 224, 45, 39, 0.045058, 0.017872, 69740, 6924, 2, 0, 176, 166, 83
do_recipe_qa, 37778, 0.06, 6, 1, 0, 0, 475646, 125014, 395, 207, 0, 102400, 0, 0.068482, 0.01712, 62144, 16070, 0, 0, 168, 26, 48, 0.007013999999999999, 0.0067929999999999996, 59340, 4006, 0, 0, 32, 136, 7
do_install, 2192215, 1.49, 24, 2, 11, 1, 1298127, 177584, 3518, 524, 0, 139264, 4096, 0.248604, 0.022196, 67008, 14172, 0, 0, 192, 998, 345, 0.11127999999999999, 0.018408, 64916, 20796, 1, 0, 80, 223, 512
do_create_runtime_spdx, 2780528, 0.35, 14, 2, 3, 0, 982999, 410979, 613, 254, 0, 163840, 0, 0.147237, 0.023247, 75900, 18799, 0, 0, 232, 39, 72, 0.031925999999999996, 0.009726, 72384, 5396, 1, 0, 88, 109, 87
do_compile, 2184586, 2.07, 14, 1, 33, 3, 3940241, 225380, 2201, 466, 20480, 139264, 8192, 0.143057, 0.019868999999999998, 71972, 8224, 0, 0, 144, 27, 53, 0.333399, 0.031467, 69280, 37310, 3, 40, 128, 457, 215
do_create_spdx, 2213028, 0.66, 25, 4, 2, 3, 1279551, 567669, 735, 328, 4096, 241664, 0, 0.254332, 0.044882, 75516, 23083, 0, 8, 368, 54, 156, 0.029299, 0.03875, 71896, 6591, 0, 0, 104, 266, 124
do_fetch, 37844, 1.74, 6, 0, 0, 0, 601609, 319578, 435, 520, 0, 323584, 0, 0.06589099999999999, 0.008236, 60336, 5974, 0, 0, 120, 39, 8, 0.00775, 0.0, 56940, 901, 0, 0, 512, 159, 3
do_prepare_recipe_sysroot, 2090397, 0.49, 12, 5, 1, 0, 1794998, 1053567, 562, 304, 184320, 1101824, 0, 0.128196, 0.059824999999999996, 70608, 7251, 0, 256, 152, 39, 87, 0.016145, 0.009477, 65496, 1208, 0, 104, 2000, 19, 9
do_package_write_rpm, 2779053, 2.38, 23, 4, 314, 15, 1651948, 492106, 2273, 604, 4096, 344064, 0, 0.238552, 0.046928, 68720, 23669, 0, 8, 488, 452, 292, 3.149152, 0.152618, 265532, 100180, 0, 0, 184, 1709, 1179
do_package_qa, 2779446, 0.45, 25, 3, 5, 2, 871945, 230553, 1156, 266, 0, 159744, 0, 0.254295, 0.036327, 68788, 20966, 0, 0, 272, 330, 511, 0.051236, 0.026078, 66584, 13175, 0, 0, 40, 142, 266
do_configure, 2091594, 39.53, 27, 4, 580, 117, 138665853, 18095968, 62810, 19550, 208896, 17698816, 10502144, 0.273409, 0.0448, 72440, 18424, 0, 288, 376, 322, 100, 5.801649, 1.178478, 69544, 670285, 23, 120, 34192, 8845, 8286
do_patch, 288371, 0.07, 9, 2, 2, 1, 858759, 128595, 734, 134, 0, 151552, 4096, 0.093817, 0.028553, 63164, 9640, 0, 0, 128, 13, 8, 0.029553999999999997, 0.013885999999999999, 57200, 9459, 0, 0, 168, 142, 11
do_unpack, 286556, 0.06, 6, 1, 2, 0, 2897702, 4050169, 695, 627, 0, 2379776, 0, 0.068768, 0.01618, 63236, 9394, 0, 0, 128, 10, 4, 0.02456, 0.009771, 59728, 2426, 0, 0, 4520, 191, 6
do_populate_sysroot, 2198430, 0.88, 24, 4, 4, 2, 1065437, 357094, 1257, 594, 0, 258048, 16384, 0.24778299999999998, 0.047195999999999995, 72464, 24244, 0, 0, 400, 145, 91, 0.049406, 0.023438, 70324, 10192, 3, 0, 104, 171, 179
do_populate_lic, 710724, 0.42, 14, 3, 3, 1, 624920, 170693, 581, 248, 12288, 131072, 0, 0.14427099999999998, 0.038992, 69476, 18335, 1, 24, 216, 57, 93, 0.031148, 0.01078, 66376, 4980, 0, 0, 40, 97, 101
do_package, 2199845, 4.84, 62, 47, 173, 12, 4743253, 2015186, 5584, 960, 0, 1925120, 65536, 0.628717, 0.474431, 68456, 40050, 0, 0, 608, 371, 1314, 1.737684, 0.121067, 66272, 43058, 5, 0, 3152, 1779, 1437
