Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 35945, 0.06, 9, 0, 0, 0, 697309, 129358, 410, 223, 0, 106496, 0, 0.093175, 0.00847, 62912, 16626, 0, 0, 176, 29, 1, 0.0074129999999999995, 0.007614999999999999, 60112, 4012, 0, 0, 32, 148, 9
do_populate_sysroot, 1026741, 1.57, 36, 8, 11, 9, 4927889, 1938155, 2886, 1138, 0, 1302528, 8192, 0.36921299999999996, 0.08810699999999999, 70856, 39540, 0, 0, 1312, 219, 149, 0.11977199999999999, 0.09289599999999999, 68856, 22947, 3, 0, 1232, 289, 269
do_collect_spdx_deps, 497822, 0.02, 5, 2, 0, 0, 568102, 48030, 44, 55, 0, 53248, 0, 0.055913, 0.023961999999999997, 66328, 7029, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 293291, 0.13, 19, 3, 1, 1, 759626, 159280, 487, 300, 0, 118784, 0, 0.19485, 0.031812, 65512, 18667, 0, 0, 192, 28, 4, 0.016368999999999998, 0.010057, 62688, 4711, 0, 0, 40, 85, 22
do_install, 1023695, 4.21, 25, 2, 51, 9, 7457890, 1606545, 10532, 1547, 770048, 1650688, 12288, 0.250864, 0.025511, 70800, 13972, 0, 0, 256, 164, 227, 0.510637, 0.090319, 68100, 79490, 2, 1504, 2968, 1311, 765
do_compile, 1015172, 10.26, 18, 2, 748, 68, 56207896, 2810787, 20661, 3223, 1445888, 1515520, 118784, 0.182582, 0.025476, 70620, 8769, 0, 0, 312, 127, 49, 7.484189, 0.6807869999999999, 67920, 445152, 22, 2824, 2648, 4905, 8348
do_fetch, 36162, 0.75, 9, 0, 0, 0, 2155666, 1646841, 1565, 2377, 0, 1642496, 0, 0.093193, 0.008102999999999999, 61776, 8419, 0, 0, 112, 173, 6, 0.006379, 0.009779999999999999, 57928, 918, 0, 0, 3096, 616, 5
do_create_runtime_spdx, 775541, 0.14, 15, 1, 2, 0, 995629, 357181, 426, 250, 0, 139264, 0, 0.151356, 0.015931999999999998, 71364, 16286, 0, 0, 192, 31, 22, 0.022605, 0.003991, 68552, 4235, 1, 0, 80, 84, 24
do_prepare_recipe_sysroot, 977931, 0.25, 19, 13, 1, 0, 2617244, 1747387, 655, 489, 49152, 1826816, 0, 0.197702, 0.136871, 68580, 8526, 0, 96, 144, 14, 198, 0.019754999999999998, 0.009496, 63692, 631, 0, 0, 3424, 9, 4
do_patch, 282167, 0.05, 11, 1, 0, 0, 647373, 122782, 186, 88, 0, 126976, 4096, 0.117753, 0.016241, 64636, 10265, 0, 0, 120, 6, 31, 0.005646, 0.0033369999999999997, 59016, 943, 0, 0, 128, 13, 5
do_configure, 978960, 31.24, 32, 5, 548, 88, 92798749, 17587926, 56826, 15689, 761856, 16306176, 8159232, 0.329929, 0.051675, 70584, 17126, 0, 184, 328, 264, 233, 5.485315, 0.888303, 67716, 630740, 16, 1304, 31520, 8410, 6908
do_populate_lic, 718490, 0.51, 21, 2, 3, 0, 832769, 174650, 562, 263, 8192, 131072, 0, 0.21970399999999998, 0.021112, 70860, 18537, 1, 16, 224, 34, 63, 0.032056, 0.009618999999999999, 67776, 4977, 0, 0, 32, 91, 59
do_create_spdx, 498181, 0.10, 12, 1, 2, 0, 1242339, 496330, 627, 288, 0, 212992, 0, 0.12043699999999999, 0.016058, 68536, 21085, 0, 0, 312, 36, 10, 0.020218999999999997, 0.0028799999999999997, 65636, 5255, 0, 0, 104, 180, 10
do_unpack, 278611, 0.26, 13, 1, 11, 4, 22537124, 38450656, 3667, 6767, 12288, 25661440, 0, 0.13891699999999998, 0.019294, 64668, 10995, 0, 0, 128, 8, 174, 0.11241899999999999, 0.048839999999999995, 61208, 3566, 0, 24, 49992, 1682, 1325
