Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 2275203, 2.82, 77, 43, 211, 17, 6549439, 2798375, 7223, 1063, 0, 2392064, 233472, 0.77147, 0.433712, 68160, 42786, 0, 0, 632, 666, 1967, 2.113533, 0.17748999999999998, 66024, 43189, 0, 0, 4040, 2076, 1361
do_fetch, 401003, 1.74, 9, 0, 0, 0, 618712, 332655, 386, 521, 0, 335872, 0, 0.09229599999999999, 0.003691, 63636, 5832, 0, 0, 112, 36, 193, 0.007175, 0.002267, 60296, 900, 0, 0, 544, 131, 10
do_collect_spdx_deps, 2325882, 0.17, 17, 0, 0, 0, 346788, 44690, 34, 46, 0, 53248, 0, 0.17427299999999998, 0.008298, 71164, 7149, 0, 0, 104, 0, 105, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 2261863, 2.30, 14, 2, 53, 8, 5025436, 1026333, 3367, 850, 159744, 434176, 4096, 0.144957, 0.024159, 72056, 8219, 0, 0, 168, 95, 77, 0.534446, 0.08272199999999999, 69364, 45232, 2, 312, 680, 656, 537
do_recipe_qa, 395089, 0.12, 10, 2, 1, 0, 491596, 124142, 413, 207, 0, 102400, 0, 0.104831, 0.024190999999999997, 65488, 15956, 0, 0, 168, 45, 50, 0.016996, 0.004889, 62676, 3990, 0, 0, 32, 80, 84
do_install, 2268197, 0.87, 19, 3, 13, 4, 1773490, 337974, 3352, 687, 0, 335872, 4096, 0.198432, 0.035017, 67240, 15110, 0, 0, 200, 295, 476, 0.133829, 0.047864, 65152, 29532, 1, 0, 456, 757, 567
do_deploy_source_date_epoch, 514556, 0.19, 19, 1, 1, 1, 556909, 158702, 498, 277, 0, 118784, 0, 0.193685, 0.019368, 66932, 18695, 0, 0, 192, 43, 67, 0.016454, 0.012078, 64120, 4683, 0, 0, 40, 79, 53
do_packagedata, 2282092, 0.56, 18, 2, 3, 1, 792747, 265162, 928, 316, 0, 204800, 0, 0.18065099999999998, 0.028904, 73064, 20976, 0, 0, 224, 88, 64, 0.038786999999999995, 0.019885999999999997, 70256, 6902, 0, 0, 176, 144, 165
do_package_write_rpm, 2792142, 4.28, 23, 3, 375, 21, 2817100, 673003, 2803, 670, 0, 446464, 0, 0.23277699999999998, 0.035508, 68992, 21855, 0, 0, 488, 377, 345, 3.758305, 0.219745, 429964, 130025, 0, 0, 384, 2485, 1206
do_unpack, 428501, 0.04, 7, 0, 1, 1, 3062879, 4346402, 696, 677, 4096, 2588672, 0, 0.078375, 0.00825, 64188, 8660, 0, 0, 128, 8, 3, 0.015519, 0.011025, 60700, 1970, 0, 8, 4928, 220, 4
do_patch, 434043, 0.06, 7, 1, 0, 0, 613733, 118670, 209, 79, 0, 126976, 4096, 0.076491, 0.018212, 63864, 8613, 0, 0, 120, 6, 86, 0.006121, 0.0030169999999999997, 58172, 941, 0, 0, 128, 12, 16
do_prepare_recipe_sysroot, 2201482, 1.11, 20, 7, 2, 0, 1797633, 1053173, 564, 303, 253952, 1097728, 0, 0.200593, 0.075779, 70468, 9208, 0, 488, 152, 37, 65, 0.020186, 0.0031709999999999998, 65456, 1206, 0, 8, 1992, 19, 8
do_configure, 2212507, 10.82, 30, 3, 500, 96, 132227192, 17644820, 63383, 19150, 270336, 17211392, 10133504, 0.30172299999999996, 0.03176, 72736, 18466, 0, 416, 360, 320, 123, 5.003982, 0.9607399999999999, 69964, 626615, 41, 112, 33256, 7117, 4872
do_populate_sysroot, 2273927, 0.58, 25, 5, 5, 2, 1371977, 487455, 1245, 630, 0, 368640, 28672, 0.253866, 0.053849999999999995, 72544, 24038, 0, 0, 552, 81, 85, 0.051461, 0.023687, 70432, 10818, 0, 0, 168, 162, 151
do_create_runtime_spdx, 2792670, 0.85, 19, 1, 2, 1, 1020660, 411706, 634, 255, 0, 167936, 0, 0.194579, 0.019457, 75540, 21215, 0, 0, 240, 43, 56, 0.027816999999999998, 0.014887, 72012, 5391, 0, 0, 88, 128, 66
do_populate_lic, 712163, 0.46, 14, 3, 3, 0, 626773, 169363, 543, 247, 0, 126976, 0, 0.14407999999999999, 0.036019999999999996, 69464, 18331, 0, 0, 216, 32, 128, 0.03065, 0.009759, 66364, 4964, 0, 0, 32, 127, 45
do_package_qa, 2792568, 1.50, 24, 7, 3, 4, 1147794, 229224, 1525, 266, 0, 159744, 0, 0.242971, 0.074459, 69044, 19510, 0, 0, 272, 104, 836, 0.034991, 0.040982, 66824, 13025, 0, 0, 40, 97, 121
do_create_spdx, 2326904, 1.04, 25, 4, 3, 3, 1340759, 599282, 775, 342, 0, 266240, 0, 0.258847, 0.045016, 75028, 25900, 0, 0, 408, 54, 121, 0.032265999999999996, 0.034388999999999996, 71416, 6846, 0, 0, 112, 361, 147
