Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 700677, 0.08, 11, 2, 0, 1, 719628, 129455, 396, 222, 0, 106496, 0, 0.11977399999999999, 0.027947, 70456, 16513, 0, 0, 176, 25, 6, 0.00953, 0.010243, 67640, 4007, 0, 0, 32, 82, 15
do_install, 1217789, 0.89, 19, 3, 8, 1, 1404287, 151217, 1857, 401, 0, 221184, 4096, 0.199792, 0.033927, 70964, 13920, 0, 0, 136, 33, 54, 0.08287, 0.019122, 68272, 14683, 1, 0, 296, 232, 129
do_populate_sysroot, 1219374, 1.42, 28, 5, 7, 2, 1426144, 432550, 1606, 906, 0, 282624, 0, 0.28240299999999996, 0.058141, 71308, 29220, 0, 0, 432, 174, 124, 0.074561, 0.028362, 69180, 12574, 0, 0, 120, 218, 226
do_compile, 1214679, 2.38, 20, 0, 42, 5, 3761801, 287840, 2710, 611, 151552, 249856, 4096, 0.203485, 0.007535999999999999, 70956, 8747, 0, 0, 144, 77, 110, 0.428795, 0.051337999999999995, 68256, 39039, 2, 296, 344, 471, 333
do_fetch, 701202, 0.01, 9, 0, 0, 0, 505990, 48436, 37, 63, 4096, 53248, 0, 0.09553199999999999, 0.00398, 68480, 7422, 0, 8, 104, 1, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 794538, 0.41, 18, 3, 3, 1, 826802, 174457, 559, 262, 0, 131072, 0, 0.18564999999999998, 0.03555, 71232, 16606, 0, 0, 224, 38, 178, 0.030198, 0.010185999999999999, 68148, 4955, 0, 0, 32, 83, 61
do_deploy_source_date_epoch, 705620, 0.88, 22, 2, 1, 1, 772976, 163901, 512, 329, 0, 118784, 0, 0.227628, 0.02897, 70536, 19141, 0, 0, 192, 54, 111, 0.018758999999999998, 0.018262999999999998, 67736, 4691, 0, 0, 40, 71, 97
do_prepare_recipe_sysroot, 1183442, 0.61, 14, 12, 0, 1, 2658274, 1753300, 667, 489, 32768, 1830912, 0, 0.147358, 0.122097, 70796, 7446, 0, 64, 144, 12, 563, 0.009568, 0.016035999999999998, 65908, 637, 0, 0, 3432, 10, 4
do_patch, 703204, 0.03, 8, 1, 0, 0, 646305, 122254, 184, 87, 0, 126976, 4096, 0.08992499999999999, 0.015639, 67848, 10374, 0, 0, 120, 7, 4, 0.007483999999999999, 0.0, 61860, 942, 0, 0, 128, 12, 3
do_configure, 1183894, 29.23, 34, 4, 500, 84, 85285780, 13105842, 51472, 15253, 163840, 13025280, 6852608, 0.342617, 0.042297999999999995, 71548, 17449, 0, 8, 320, 279, 93, 5.008319, 0.842088, 68792, 626016, 31, 312, 25120, 7250, 7575
do_unpack, 702749, 0.04, 8, 2, 2, 0, 3149604, 4104460, 677, 646, 0, 2469888, 0, 0.08463999999999999, 0.026931, 68648, 11280, 0, 0, 120, 8, 7, 0.02512, 0.003398, 64712, 1960, 0, 0, 4704, 197, 6
