Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2211867, 0.15, 16, 0, 0, 0, 346810, 44738, 34, 46, 0, 49152, 0, 0.16300199999999998, 0.009054999999999999, 71408, 5004, 0, 0, 96, 0, 64, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 2254560, 0.29, 16, 2, 9, 3, 1344328, 244951, 2705, 414, 0, 319488, 4096, 0.163304, 0.027881, 67236, 12337, 0, 0, 192, 458, 88, 0.09636299999999999, 0.034818, 65152, 22450, 3, 0, 432, 950, 207
do_populate_lic, 710984, 0.45, 17, 2, 3, 0, 624350, 169655, 580, 247, 8192, 126976, 0, 0.17388199999999998, 0.028305999999999998, 69464, 18389, 1, 16, 216, 51, 101, 0.032213, 0.00869, 66360, 4960, 0, 0, 32, 94, 68
do_recipe_qa, 37466, 0.05, 7, 0, 0, 0, 474918, 124614, 404, 207, 0, 102400, 0, 0.077994, 0.004333, 62132, 16095, 0, 0, 168, 27, 3, 0.008657, 0.005752, 59328, 3989, 0, 0, 32, 126, 8
do_create_spdx, 2273268, 0.58, 21, 6, 4, 2, 1348653, 603202, 820, 332, 0, 262144, 0, 0.213811, 0.060511999999999996, 75064, 25768, 0, 0, 400, 75, 214, 0.046189999999999995, 0.02166, 71444, 6820, 0, 0, 112, 266, 182
do_compile, 2249305, 0.62, 11, 1, 46, 4, 4508552, 883477, 2874, 645, 151552, 409600, 4096, 0.115907, 0.019984, 72060, 8129, 0, 0, 152, 33, 49, 0.460402, 0.043008, 69368, 40478, 0, 296, 648, 566, 283
do_patch, 287156, 0.04, 9, 1, 0, 0, 556898, 118818, 197, 79, 0, 126976, 4096, 0.099269, 0.019837999999999998, 63232, 8626, 0, 0, 120, 6, 7, 0.00647, 0.0010969999999999999, 57536, 939, 0, 0, 128, 12, 2
do_packagedata, 2269732, 0.51, 15, 5, 3, 1, 793398, 266730, 876, 316, 0, 204800, 0, 0.156822, 0.056006999999999994, 72940, 22944, 0, 0, 224, 59, 188, 0.039381, 0.017567, 70140, 6934, 0, 0, 176, 122, 98
do_fetch, 37515, 1.59, 4, 0, 0, 0, 607930, 322078, 365, 518, 0, 323584, 0, 0.044472, 0.007411999999999999, 60344, 5834, 0, 0, 112, 31, 2, 0.003466, 0.002093, 56940, 901, 0, 0, 520, 90, 5
do_configure, 2203453, 13.84, 29, 4, 503, 84, 131650154, 17369067, 58218, 18749, 131072, 17010688, 10104832, 0.295711, 0.040944, 72572, 20187, 0, 168, 360, 262, 93, 5.030659, 0.849808, 69680, 616191, 25, 88, 32864, 6196, 4932
do_package_qa, 2783864, 1.32, 33, 6, 6, 0, 1063334, 230087, 1468, 266, 0, 159744, 0, 0.333858, 0.062843, 68832, 21075, 0, 0, 272, 114, 831, 0.069647, 0.009739, 66612, 13047, 0, 0, 40, 175, 217
do_prepare_recipe_sysroot, 2199000, 0.60, 15, 5, 1, 0, 1797736, 1053589, 564, 304, 131072, 1101824, 0, 0.15786699999999998, 0.051306, 70400, 9195, 0, 248, 152, 35, 93, 0.017799, 0.006768, 65420, 1197, 1, 8, 2000, 18, 8
do_populate_sysroot, 2258536, 0.55, 24, 4, 5, 2, 1318598, 463978, 1243, 628, 0, 352256, 24576, 0.24654399999999999, 0.044458, 72780, 24294, 0, 0, 536, 83, 60, 0.054365, 0.022307999999999998, 70692, 10735, 1, 0, 152, 162, 102
do_create_runtime_spdx, 2784750, 0.73, 17, 2, 3, 1, 1018970, 412759, 665, 255, 0, 167936, 0, 0.17488599999999999, 0.027204, 75568, 21477, 0, 0, 240, 61, 159, 0.031550999999999996, 0.012052, 72024, 5347, 0, 0, 88, 100, 160
do_package, 2260324, 3.17, 71, 54, 142, 13, 6169484, 2642746, 7026, 1048, 0, 2363392, 212992, 0.714774, 0.542104, 68580, 40093, 0, 0, 632, 801, 1723, 1.429897, 0.137705, 66396, 43264, 1, 0, 3984, 1894, 1597
do_package_write_rpm, 2783516, 3.58, 31, 4, 409, 16, 2488951, 643178, 2621, 667, 0, 430080, 0, 0.319656, 0.048888, 68752, 23512, 0, 0, 488, 294, 412, 4.093178, 0.168658, 358620, 128672, 0, 0, 352, 2747, 1721
do_deploy_source_date_epoch, 298818, 0.11, 11, 2, 2, 0, 547760, 161235, 473, 286, 0, 114688, 0, 0.116545, 0.024974, 64908, 18496, 0, 0, 184, 31, 13, 0.022466, 0.0037289999999999997, 62100, 4675, 0, 0, 40, 127, 14
do_unpack, 285529, 0.05, 6, 1, 2, 0, 2929396, 4100732, 674, 638, 0, 2473984, 0, 0.066828, 0.015724, 63236, 8538, 0, 0, 128, 8, 6, 0.027554, 0.003952, 59728, 1944, 0, 0, 4704, 210, 4
