Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_generate_toolchain_file, 2717437, 0.11, 17, 0, 0, 0, 528611, 38375, 67, 72, 0, 32768, 0, 0.17724199999999998, 0.003938, 73632, 7288, 0, 0, 48, 3, 64, 0.004215, 0.0, 70924, 496, 0, 0, 16, 5, 1
do_recipe_qa, 697696, 0.08, 13, 3, 1, 1, 707136, 123883, 386, 216, 0, 106496, 0, 0.13044899999999998, 0.036688, 70504, 16449, 0, 0, 176, 25, 7, 0.012497999999999999, 0.011479999999999999, 67704, 3929, 2, 0, 32, 131, 7
do_install, 3816427, 4.48, 47, 4, 48, 56, 492621689, 442117444, 68861, 62694, 43126784, 444678144, 376832, 0.471701, 0.048042999999999995, 59640, 15853, 8, 656, 2064, 1998, 351, 0.48797599999999997, 0.562164, 60796, 30766, 0, 83576, 866448, 1561, 2024
do_compile, 2857541, 1208.34, 92, 11, 774438, 35542, 49212283262, 1855713568, 2766174, 959313, 273707008, 1231933440, 60420096, 0.9253239999999999, 0.119264, 73880, 10104, 1181, 14320, 15728, 4256, 124, 7744.388559, 355.424561, 1798256, 197330283, 2413, 520264, 2390392, 199992, 1970414
do_fetch, 698274, 1123.54, 39, 5, 44710, 3697, 8851587356, 9711722975, 9626893, 3515959, 1795309568, 3395063808, 8192, 0.392318, 0.058601999999999994, 68596, 10926, 64, 840, 304, 1820, 51, 447.100549, 36.971308, 1268304, 540766, 703, 3505624, 6630680, 4087478, 80607
do_deploy_source_date_epoch, 2717529, 0.43, 22, 1, 2, 1, 760045, 155170, 492, 323, 548864, 114688, 0, 0.227817, 0.019639, 73940, 17422, 0, 112, 184, 57, 67, 0.020128999999999998, 0.015345999999999999, 71140, 4611, 5, 960, 40, 112, 61
do_prepare_recipe_sysroot, 2719068, 0.37, 16, 9, 0, 1, 2369940, 1501650, 567, 414, 0, 1548288, 0, 0.167763, 0.097536, 72608, 7788, 0, 0, 136, 4, 46, 0.006979, 0.018298, 67720, 629, 0, 0, 2888, 21, 13
do_patch, 2689366, 1.41, 9, 2, 9, 2, 1414586, 317802, 1322, 230, 266240, 344064, 4096, 0.09929299999999999, 0.020686, 71628, 10574, 0, 16, 144, 19, 52, 0.090211, 0.026973, 65828, 18783, 7, 504, 528, 326, 234
do_configure, 2720547, 97.93, 18, 3, 945, 298, 242613709, 43178883, 119315, 38162, 2613248, 46899200, 14909440, 0.182781, 0.034487, 74104, 10010, 0, 0, 216, 255, 65, 9.450831, 2.9895199999999997, 205880, 1138818, 14, 5104, 91384, 8674, 10977
do_populate_sysroot, 3818697, 13.02, 101, 90, 1010, 137, 1784683115, 869223205, 191221, 49612, 266240, 456261632, 0, 1.013763, 0.905422, 59280, 140023, 0, 24, 379896, 985, 371, 10.101014, 1.370122, 399904, 412277, 27, 496, 511240, 20390, 13434
do_unpack, 2636978, 31.14, 13, 3, 533, 351, 5854281, 1490196148, 32332, 210785, 115798016, 1826795520, 8192, 0.133568, 0.036846, 71784, 15254, 0, 72, 88, 46, 43, 5.335058, 3.515283, 781908, 97072, 2777, 226096, 3567872, 17516, 18039
do_populate_lic, 3149444, 4.91, 16, 5, 3, 0, 932075, 204256, 540, 260, 1531904, 135168, 0, 0.16466799999999998, 0.053377, 59468, 19056, 19, 2696, 224, 118, 78, 0.039299, 0.005506, 56384, 5165, 0, 296, 40, 144, 59
