Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2309714, 0.05, 15, 1, 0, 0, 351286, 43286, 33, 45, 0, 49152, 0, 0.159018, 0.012232, 70660, 7008, 0, 0, 96, 0, 37, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 2229235, 0.06, 11, 1, 0, 0, 312549, 26135, 50, 58, 0, 24576, 0, 0.120043, 0.014549999999999999, 71656, 5998, 0, 0, 48, 2, 124, 0.0029579999999999997, 0.0, 68964, 370, 0, 0, 0, 1, 3
do_recipe_qa, 43243, 0.06, 6, 2, 0, 0, 488462, 126601, 398, 207, 0, 106496, 0, 0.06618, 0.020680999999999998, 62340, 16035, 0, 0, 176, 26, 2, 0.008538, 0.005124, 59540, 4044, 0, 0, 32, 131, 9
do_configure, 2219502, 0.20, 13, 0, 0, 0, 394715, 130114, 187, 202, 45056, 126976, 0, 0.136072, 0.008246, 72044, 6774, 0, 24, 144, 28, 103, 0.006096, 0.001119, 69164, 940, 0, 64, 104, 15, 28
do_install, 2233844, 0.13, 10, 1, 2, 1, 4765332, 4365621, 953, 320, 20480, 4358144, 0, 0.10084, 0.019392, 66764, 12588, 0, 0, 240, 482, 23, 0.023398, 0.015024, 64684, 5638, 0, 40, 8272, 263, 68
do_populate_lic, 748592, 0.29, 17, 3, 2, 1, 652325, 173183, 586, 249, 16384, 139264, 0, 0.178094, 0.037274999999999996, 69704, 18328, 0, 32, 232, 52, 185, 0.021370999999999998, 0.017924, 66624, 5038, 0, 0, 40, 89, 116
do_packagedata, 2251747, 0.20, 20, 2, 3, 1, 795824, 257229, 853, 316, 0, 217088, 0, 0.20502299999999998, 0.029289, 72428, 23795, 0, 0, 232, 40, 37, 0.0365, 0.015462, 69604, 6999, 0, 0, 192, 123, 66
do_compile, 2222262, 2.13, 13, 0, 836, 55, 54217615, 18892682, 13830, 5655, 1052672, 8331264, 4096, 0.13860899999999998, 0.008942, 71756, 6395, 0, 0, 408, 96, 141, 8.368605, 0.5545, 77032, 190985, 14, 2056, 15864, 2784, 4336
do_install_ptest_base, 2234744, 0.10, 12, 1, 1, 1, 943464, 574270, 966, 167, 614400, 651264, 0, 0.12120099999999999, 0.019548, 66460, 8391, 0, 0, 104, 48, 242, 0.014287999999999999, 0.012336999999999999, 64384, 2024, 0, 1200, 1168, 550, 121
do_fetch, 43355, 0.67, 5, 1, 0, 0, 478886, 197646, 237, 316, 0, 200704, 0, 0.056917999999999996, 0.012196, 60176, 5979, 0, 0, 120, 15, 3, 0.006643, 0.0, 56780, 922, 0, 0, 272, 71, 2
do_package_qa, 3115891, 3.05, 27, 7, 4, 4, 6948097, 240291, 2735, 271, 5369856, 159744, 0, 0.273524, 0.074597, 58620, 20186, 111, 10352, 272, 840, 1192, 0.046206, 0.045198999999999996, 56336, 15319, 0, 136, 40, 133, 149
do_prepare_recipe_sysroot, 2218588, 0.12, 10, 6, 0, 0, 842554, 172737, 228, 78, 135168, 188416, 0, 0.104721, 0.060806, 70124, 6441, 0, 256, 152, 34, 219, 0.003212, 0.003306, 64900, 607, 0, 8, 216, 8, 3
do_patch, 316622, 0.07, 8, 1, 1, 0, 960791, 639963, 316, 215, 0, 651264, 4096, 0.08812099999999999, 0.016021999999999998, 63816, 8098, 0, 0, 128, 6, 93, 0.013441999999999999, 0.0016899999999999999, 58092, 988, 0, 0, 1144, 12, 15
do_populate_sysroot, 2235845, 0.31, 24, 2, 6, 4, 6679536, 2972134, 2025, 840, 0, 950272, 0, 0.248476, 0.024846999999999998, 71872, 26057, 0, 0, 360, 98, 57, 0.064514, 0.041995, 69048, 10357, 0, 0, 1496, 197, 109
do_package, 2238734, 1.97, 96, 41, 348, 31, 60768406, 26186358, 16577, 3140, 0, 15728640, 5029888, 0.960792, 0.41176799999999997, 67932, 50741, 0, 0, 824, 5107, 786, 3.482141, 0.314942, 372272, 100488, 1, 0, 29896, 7691, 1547
do_package_write_rpm, 3115811, 9.14, 27, 6, 674, 32, 39532313, 5653603, 4395, 958, 1499136, 3735552, 0, 0.271889, 0.064735, 56676, 23915, 2, 1752, 504, 550, 446, 6.743987, 0.327766, 698496, 195677, 1, 1176, 6792, 3498, 3820
do_create_runtime_spdx, 3116895, 1.60, 20, 2, 4, 0, 1340217, 428270, 744, 257, 184320, 176128, 0, 0.20787, 0.029005, 62340, 21345, 10, 360, 264, 82, 95, 0.045709, 0.0, 58612, 5468, 1, 0, 80, 128, 84
do_create_spdx, 2310343, 0.66, 30, 4, 4, 3, 1627582, 1055821, 853, 892, 0, 438272, 0, 0.301571, 0.044828, 74860, 28155, 0, 0, 728, 64, 205, 0.041682, 0.032112999999999996, 71244, 7554, 0, 0, 128, 469, 216
do_configure_ptest_base, 2221242, 0.10, 9, 1, 0, 0, 312561, 25713, 49, 55, 0, 24576, 0, 0.091817, 0.018363, 71680, 6019, 0, 0, 48, 2, 33, 0.0, 0.0031799999999999997, 68956, 368, 0, 0, 0, 1, 1
do_deploy_source_date_epoch, 323253, 0.13, 15, 2, 1, 0, 556113, 164042, 475, 286, 0, 118784, 0, 0.160003, 0.027999999999999997, 65308, 18544, 0, 0, 192, 30, 85, 0.016356, 0.0072369999999999995, 62496, 4750, 0, 0, 40, 102, 23
do_unpack, 44119, 0.03, 4, 0, 1, 0, 2786108, 3735840, 476, 421, 0, 2088960, 0, 0.048282, 0.003714, 60200, 9174, 0, 0, 56, 12, 2, 0.015286999999999999, 0.0032649999999999997, 56596, 2833, 0, 0, 4024, 83, 6
