Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 45174, 0.01, 3, 0, 0, 0, 365523, 45751, 44, 51, 0, 49152, 0, 0.034418, 0.007647999999999999, 60576, 4366, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7872, 0.16, 12, 1, 1, 0, 476315, 127811, 392, 219, 0, 106496, 0, 0.12483699999999999, 0.016645, 59168, 15315, 0, 0, 176, 29, 56, 0.017786, 0.003297, 56368, 3992, 0, 0, 32, 85, 37
do_install, 54978, 0.21, 6, 1, 15, 2, 6237181, 789784, 2694, 457, 0, 745472, 0, 0.06794, 0.016985, 62692, 13540, 0, 0, 128, 52, 27, 0.155546, 0.02146, 60000, 21968, 0, 0, 1328, 214, 31
do_compile, 54068, 1.68, 7, 2, 688, 108, 154415962, 6395275, 39700, 4844, 53248, 4370432, 12288, 0.070169, 0.023389, 62720, 8138, 0, 0, 624, 218, 18, 6.880554, 1.08163, 75992, 692441, 107, 104, 7912, 2416, 2235
do_fetch, 8803, 13.66, 8, 1, 0, 1, 3322505, 3031361, 2625, 4310, 0, 3022848, 0, 0.08187, 0.018607, 58216, 5848, 0, 0, 120, 177, 13, 0.009805, 0.015996, 53716, 902, 0, 0, 5784, 1630, 8
do_prepare_recipe_sysroot, 44993, 0.01, 3, 0, 0, 0, 344801, 83807, 122, 61, 0, 94208, 0, 0.039574, 0.004397, 60756, 5324, 0, 0, 168, 2, 3, 0.0018089999999999998, 0.000883, 54984, 591, 0, 0, 16, 9, 3
do_patch, 23730, 0.08, 4, 0, 7, 0, 2995068, 1781933, 1901, 630, 0, 1806336, 4096, 0.047909, 0.003992, 58980, 9733, 0, 0, 136, 21, 3, 0.073199, 0.0064979999999999994, 53300, 29146, 0, 0, 3392, 446, 21
do_create_spdx, 45291, 0.08, 7, 2, 2, 0, 1007720, 503581, 635, 301, 0, 212992, 0, 0.074832, 0.022449, 63684, 20476, 0, 0, 312, 41, 5, 0.020329999999999997, 0.0, 60548, 5233, 0, 0, 104, 167, 5
do_configure, 45008, 8.94, 20, 2, 758, 239, 311768322, 13616344, 169621, 48269, 1478656, 18251776, 13668352, 0.20227699999999998, 0.020227, 62372, 15165, 0, 0, 368, 807, 26, 7.582678, 2.392234, 59424, 2739907, 15, 2888, 35280, 16062, 2321
do_populate_sysroot, 55197, 0.12, 11, 0, 3, 0, 2946979, 1257245, 1464, 853, 0, 905216, 0, 0.119172, 0.007944, 62976, 29094, 0, 0, 952, 86, 2, 0.035650999999999995, 0.007483, 60696, 11409, 0, 0, 816, 234, 14
do_create_runtime_spdx, 786649, 0.45, 12, 2, 2, 1, 794585, 357562, 433, 248, 0, 139264, 0, 0.12207, 0.023625999999999998, 69808, 15583, 0, 0, 184, 39, 37, 0.022171, 0.010406, 67008, 4259, 0, 0, 88, 77, 61
do_populate_lic, 737270, 0.44, 13, 4, 2, 1, 933480, 259669, 580, 270, 45056, 147456, 0, 0.136215, 0.041277, 69708, 17907, 3, 88, 224, 34, 117, 0.027396999999999998, 0.013097, 66608, 5057, 0, 0, 64, 83, 45
do_unpack, 23635, 0.08, 4, 0, 5, 2, 18175015, 28402692, 2033, 3489, 0, 17801216, 0, 0.048735, 0.0, 59024, 8847, 0, 0, 56, 12, 2, 0.056414, 0.025404, 55312, 2517, 0, 0, 34712, 456, 5
do_deploy_source_date_epoch, 23974, 0.07, 8, 0, 1, 0, 538719, 157013, 496, 299, 0, 118784, 0, 0.085654, 0.004282, 60840, 17894, 0, 0, 192, 34, 5, 0.011099, 0.005660999999999999, 58040, 4687, 0, 0, 40, 142, 8
