Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 47479, 0.02, 6, 1, 0, 0, 566038, 47447, 44, 55, 0, 53248, 0, 0.063328, 0.011874, 61952, 6974, 0, 0, 104, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 10801, 0.06, 9, 1, 0, 0, 682386, 128810, 385, 223, 0, 106496, 0, 0.092919, 0.012669999999999999, 60268, 16221, 0, 0, 176, 23, 12, 0.008149, 0.006272, 57468, 4017, 0, 0, 32, 83, 29
do_install, 220173, 0.35, 17, 1, 8, 2, 3700570, 1087705, 1929, 499, 0, 1040384, 0, 0.17551, 0.016715, 64808, 14444, 0, 0, 120, 81, 191, 0.086959, 0.028931, 62116, 15368, 0, 0, 1912, 193, 179
do_compile, 212180, 1.16, 16, 1, 445, 38, 34195413, 1990147, 10600, 1391, 4096, 1003520, 8192, 0.16079, 0.016925, 64792, 8539, 0, 0, 168, 92, 64, 4.455125, 0.386493, 62092, 169424, 44, 8, 1792, 683, 2899
do_fetch, 11124, 3.75, 10, 1, 0, 0, 2915671, 2419617, 1661, 3438, 0, 2416640, 0, 0.10016599999999999, 0.012019, 58816, 8353, 0, 0, 120, 113, 82, 0.008270999999999999, 0.007048, 54944, 900, 1, 0, 4600, 833, 4
do_prepare_recipe_sysroot, 183623, 0.09, 12, 1, 1, 0, 1829394, 1341591, 475, 379, 0, 1380352, 0, 0.12329699999999999, 0.018681, 63932, 8066, 0, 0, 144, 2, 316, 0.015144, 0.0030299999999999997, 58320, 615, 0, 0, 2552, 9, 57
do_patch, 18306, 0.05, 8, 0, 2, 0, 930202, 134903, 723, 145, 0, 155648, 4096, 0.08066999999999999, 0.0, 59320, 11077, 0, 0, 128, 13, 3, 0.028303, 0.003864, 53536, 9376, 0, 0, 176, 144, 5
do_create_runtime_spdx, 782838, 0.47, 16, 3, 1, 1, 993200, 356471, 454, 250, 0, 135168, 0, 0.162872, 0.039617, 71168, 16176, 0, 0, 184, 51, 287, 0.018465, 0.012553, 68352, 4254, 0, 0, 80, 76, 88
do_configure, 184368, 10.84, 31, 3, 516, 114, 110824426, 12995673, 63724, 17641, 4096, 14151680, 7335936, 0.316665, 0.037862, 65080, 16184, 0, 0, 328, 338, 253, 5.160726, 1.148409, 62304, 925213, 21, 8, 27312, 5859, 3567
do_populate_sysroot, 223153, 0.25, 22, 3, 4, 2, 3256547, 1290890, 1667, 894, 0, 917504, 0, 0.22109299999999998, 0.034681, 65260, 30168, 0, 0, 960, 138, 173, 0.044753, 0.029020999999999998, 63024, 11982, 2, 0, 832, 209, 112
do_populate_lic, 731292, 0.48, 19, 4, 2, 2, 1132229, 259625, 607, 272, 40960, 143360, 0, 0.19405699999999998, 0.046572999999999996, 70688, 18632, 2, 80, 224, 48, 90, 0.020510999999999998, 0.024836, 67668, 5021, 0, 0, 56, 84, 76
do_create_spdx, 47585, 0.08, 9, 2, 1, 0, 1234018, 499223, 645, 294, 0, 212992, 0, 0.09221, 0.025148, 64132, 20811, 0, 0, 312, 41, 7, 0.015566, 0.004883, 61232, 5215, 0, 0, 104, 150, 5
do_deploy_source_date_epoch, 18971, 0.07, 8, 2, 1, 0, 737279, 158476, 501, 303, 0, 118784, 0, 0.088709, 0.026997999999999998, 60588, 18447, 0, 0, 192, 34, 3, 0.010367, 0.006213, 57772, 4683, 0, 0, 40, 136, 6
do_unpack, 18245, 0.05, 5, 1, 3, 0, 12003355, 17912251, 1265, 1603, 0, 9728000, 0, 0.050858, 0.011736, 59328, 8314, 0, 0, 56, 8, 5, 0.036806, 0.009498999999999999, 55376, 1515, 0, 0, 18944, 282, 5
