Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1456859, 0.19, 11, 0, 0, 0, 345839, 44855, 36, 47, 106496, 53248, 0, 0.11801299999999999, 0.0, 69416, 5094, 0, 208, 104, 26, 26, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 526314, 0.06, 7, 1, 0, 0, 499191, 124483, 392, 208, 0, 102400, 0, 0.071666, 0.019906999999999998, 66824, 16230, 0, 0, 168, 24, 8, 0.009285999999999999, 0.006242999999999999, 64016, 4003, 0, 0, 32, 139, 5
do_install, 2142441, 2.63, 19, 3, 34, 11, 6673307, 3084552, 6185, 750, 2007040, 3088384, 0, 0.190442, 0.030469999999999997, 65956, 14023, 0, 0, 208, 308, 338, 0.341294, 0.112399, 63876, 56717, 3, 3920, 5824, 1301, 1311
do_packagedata, 2172115, 0.77, 19, 6, 4, 2, 1116543, 588881, 1320, 409, 0, 491520, 0, 0.191796, 0.060170999999999995, 72556, 23150, 0, 0, 328, 72, 140, 0.040663, 0.028657, 69756, 7017, 0, 0, 632, 137, 90
do_compile, 2136377, 3.44, 14, 1, 691, 58, 45820767, 9574077, 12808, 3248, 1212416, 2748416, 57344, 0.14163499999999998, 0.012875, 70804, 8090, 0, 0, 264, 59, 150, 6.910177, 0.585279, 68112, 179254, 20, 2368, 5104, 2148, 3422
do_fetch, 526592, 0.01, 4, 0, 0, 0, 284807, 48594, 31, 60, 0, 53248, 0, 0.044296999999999996, 0.008054, 65048, 4741, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 786101, 0.44, 12, 3, 2, 1, 863873, 254944, 585, 258, 0, 143360, 0, 0.122433, 0.035545, 69812, 16323, 0, 0, 216, 38, 68, 0.029619999999999997, 0.013685, 66708, 5002, 1, 0, 64, 110, 83
do_package, 2148897, 7.28, 73, 62, 163, 26, 33584877, 16453655, 19068, 2732, 0, 9338880, 2203648, 0.735081, 0.620225, 68752, 63322, 0, 0, 1048, 898, 6703, 1.635077, 0.265351, 66632, 59260, 1, 0, 17192, 3959, 4634
do_create_runtime_spdx, 3059010, 2.13, 29, 2, 3, 1, 1463486, 621187, 1063, 307, 32768, 327680, 0, 0.296388, 0.025301, 63012, 19571, 0, 64, 544, 60, 110, 0.030063, 0.015619, 59484, 5455, 0, 0, 96, 118, 100
do_prepare_recipe_sysroot, 2038340, 0.18, 15, 7, 2, 0, 1847414, 1139022, 575, 326, 65536, 1187840, 0, 0.157529, 0.076745, 69308, 8888, 0, 128, 152, 20, 75, 0.020162, 0.006326, 64228, 1212, 1, 0, 2168, 16, 16
do_package_write_rpm, 3056759, 17.15, 27, 5, 2074, 118, 27815752, 4892985, 6815, 2342, 3383296, 3051520, 0, 0.271688, 0.055257999999999995, 57392, 22267, 1, 856, 600, 1832, 703, 20.748652, 1.186861, 1314844, 754829, 4, 5752, 5360, 16153, 7938
do_patch, 549756, 0.07, 7, 1, 3, 0, 1428126, 648313, 878, 266, 0, 679936, 4096, 0.07259299999999999, 0.012098, 65288, 12755, 0, 0, 136, 13, 6, 0.032602, 0.0026509999999999997, 59228, 9457, 0, 0, 1192, 144, 6
do_configure, 2039422, 40.00, 33, 3, 701, 157, 129024808, 14044473, 63392, 18380, 1888256, 14602240, 7577600, 0.33782999999999996, 0.037078, 71464, 19742, 0, 648, 344, 362, 86, 7.013892, 1.5730529999999998, 68592, 840341, 30, 3040, 28176, 7893, 8471
do_create_spdx, 2313013, 1.83, 28, 9, 8, 9, 1984455, 1043627, 1559, 638, 8192, 483328, 0, 0.287692, 0.098524, 74684, 48657, 0, 16, 816, 135, 115, 0.08269499999999999, 0.09795899999999999, 71064, 14786, 0, 0, 128, 2043, 594
do_package_qa, 3058608, 2.71, 32, 6, 4, 1, 5181617, 239055, 2632, 321, 1273856, 159744, 0, 0.32639599999999996, 0.064359, 57932, 19492, 28, 2488, 272, 130, 1753, 0.045637, 0.019847999999999998, 55656, 10827, 0, 0, 40, 86, 120
do_deploy_source_date_epoch, 580187, 0.17, 16, 2, 1, 1, 563532, 165823, 488, 317, 0, 114688, 0, 0.16836399999999999, 0.020043, 67788, 18748, 0, 0, 184, 39, 166, 0.01055, 0.016762, 64964, 4683, 0, 0, 40, 122, 44
do_unpack, 534553, 0.07, 3, 1, 4, 2, 11783147, 17909198, 1235, 1595, 16384, 9728000, 0, 0.03753, 0.018765, 65024, 8340, 0, 0, 56, 8, 3, 0.044891, 0.026466, 61460, 1504, 0, 32, 18944, 290, 8
