Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 757800, 0.15, 15, 2, 3, 0, 881929, 193532, 550, 258, 0, 139264, 0, 0.15645, 0.023467, 70752, 18295, 0, 0, 232, 32, 93, 0.03429, 0.002421, 67668, 4937, 0, 0, 40, 104, 41
do_collect_spdx_deps, 703981, 0.01, 7, 1, 0, 0, 542887, 41567, 28, 46, 0, 49152, 0, 0.07714399999999999, 0.01624, 67628, 6907, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 762934, 0.06, 13, 2, 0, 0, 514717, 76239, 139, 196, 0, 69632, 0, 0.137535, 0.023576999999999997, 70416, 9135, 0, 0, 128, 32, 30, 0.004232, 0.0, 67532, 605, 0, 0, 8, 7, 32
do_recipe_qa, 696610, 0.07, 12, 2, 1, 0, 692033, 122242, 382, 214, 0, 102400, 0, 0.125609, 0.020259, 69436, 16246, 0, 0, 176, 24, 11, 0.013576, 0.006843999999999999, 66636, 3964, 0, 0, 24, 105, 22
do_install, 765568, 0.07, 14, 3, 0, 0, 576067, 64228, 150, 111, 0, 61440, 0, 0.146416, 0.032535999999999995, 70120, 13562, 0, 0, 64, 8, 94, 0.006841, 0.004693999999999999, 67420, 1307, 0, 0, 56, 9, 4
do_compile, 764087, 0.17, 13, 1, 11, 1, 1984278, 103155, 566, 180, 0, 73728, 0, 0.135479, 0.016420999999999998, 70096, 8608, 0, 0, 48, 6, 87, 0.11910799999999999, 0.015767, 67388, 6859, 0, 0, 96, 22, 56
do_fetch, 696814, 0.01, 12, 0, 0, 0, 480941, 15491, 21, 43, 0, 20480, 0, 0.12485399999999999, 0.008055, 67528, 6784, 0, 0, 40, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 792185, 0.44, 14, 3, 2, 0, 968769, 350084, 398, 241, 0, 135168, 0, 0.141058, 0.034196, 70768, 15934, 0, 0, 184, 31, 80, 0.025692, 0.008154999999999999, 67968, 4222, 0, 0, 80, 83, 45
do_patch, 701479, 0.03, 14, 1, 0, 0, 622948, 119808, 170, 83, 0, 126976, 4096, 0.146542, 0.011881, 68328, 10526, 0, 0, 120, 6, 2, 0.0061589999999999995, 0.002124, 62244, 942, 0, 0, 128, 13, 2
do_prepare_recipe_sysroot, 761211, 0.02, 10, 1, 0, 0, 484022, 67766, 24, 48, 0, 69632, 0, 0.106432, 0.017029, 68584, 7193, 0, 0, 136, 0, 101, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 792198, 1.03, 30, 4, 5, 2, 1251809, 346516, 1199, 765, 0, 237568, 0, 0.30175799999999997, 0.040777999999999995, 70332, 29654, 0, 0, 360, 101, 130, 0.053929, 0.02804, 68416, 10315, 1, 0, 104, 129, 117
do_create_spdx, 704415, 0.50, 18, 3, 3, 0, 1163430, 476365, 578, 281, 0, 208896, 0, 0.18148799999999998, 0.033764999999999996, 71560, 21173, 0, 0, 304, 44, 135, 0.037099, 0.006677, 67960, 5146, 0, 0, 104, 81, 51
do_deploy_source_date_epoch, 761172, 0.19, 18, 2, 1, 1, 744572, 148402, 485, 282, 0, 114688, 0, 0.18277, 0.021758, 70472, 18718, 0, 0, 184, 46, 269, 0.018993, 0.012818999999999999, 67672, 4666, 0, 0, 40, 88, 103
do_unpack, 696951, 0.02, 8, 0, 0, 0, 520437, 35248, 85, 64, 0, 45056, 0, 0.08458, 0.008055, 67648, 9848, 0, 0, 56, 6, 3, 0.005157999999999999, 0.0, 64444, 750, 0, 0, 32, 5, 2
