Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_qa, 3857312, 2.20, 35, 3, 3, 2, 925127, 226026, 986, 261, 4096, 159744, 0, 0.35627899999999996, 0.032025, 62304, 20100, 1, 8, 272, 115, 378, 0.034520999999999996, 0.022309, 59984, 10976, 2, 0, 40, 130, 140
do_collect_spdx_deps, 3851495, 0.30, 29, 1, 0, 0, 346132, 43940, 32, 45, 0, 49152, 0, 0.29072899999999996, 0.011628999999999999, 60080, 5968, 0, 0, 96, 0, 1579, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 3819975, 1.72, 40, 16, 5, 0, 3053121, 1302625, 1352, 396, 421888, 1400832, 16384, 0.405476, 0.167649, 60012, 11440, 1, 808, 152, 54, 115, 0.053092999999999994, 0.0067859999999999995, 55124, 4962, 0, 16, 2584, 102, 46
do_recipe_qa, 642005, 0.20, 12, 2, 1, 0, 516409, 125324, 394, 207, 0, 102400, 0, 0.12271299999999999, 0.026014, 68348, 16320, 0, 0, 168, 34, 168, 0.018108, 0.006362, 65548, 3996, 0, 0, 32, 58, 42
do_install, 3838020, 0.92, 29, 4, 3, 2, 844073, 193108, 1389, 394, 8192, 167936, 0, 0.29223899999999997, 0.046758, 59836, 15436, 1, 8, 192, 199, 248, 0.038374, 0.028533, 57744, 9776, 0, 8, 136, 178, 263
do_packagedata, 3855396, 0.28, 17, 5, 2, 2, 792047, 234205, 862, 311, 0, 196608, 0, 0.171348, 0.055786999999999996, 61140, 23900, 0, 0, 224, 53, 52, 0.025807, 0.024690999999999998, 58284, 6955, 0, 0, 160, 119, 140
do_compile, 3836625, 1.51, 10, 0, 41, 10, 15213117, 403057, 3036, 466, 475136, 180224, 0, 0.106151, 0.008845, 59968, 6542, 0, 0, 120, 60, 56, 0.416658, 0.10097199999999999, 90908, 28873, 0, 928, 232, 125, 215
do_package, 3843907, 5.38, 109, 74, 89, 16, 5833937, 2304998, 5415, 976, 114688, 2113536, 147456, 1.099116, 0.740539, 61620, 42220, 1, 216, 600, 1024, 984, 0.8992249999999999, 0.16439099999999998, 59332, 36420, 0, 8, 3528, 4037, 3174
do_fetch, 647851, 0.46, 7, 0, 7, 1, 3243918, 208824, 1798, 313, 0, 217088, 12288, 0.079673, 0.003793, 66364, 9860, 0, 0, 128, 25, 2, 0.078386, 0.019697, 62852, 11530, 1, 0, 296, 116, 31
do_patch, 678622, 0.10, 7, 2, 4, 1, 1303954, 652308, 807, 267, 0, 684032, 4096, 0.07568, 0.022258999999999998, 67228, 11685, 0, 0, 128, 13, 2, 0.040549999999999996, 0.011984999999999999, 61116, 9318, 1, 0, 1208, 141, 7
do_create_runtime_spdx, 3860937, 0.18, 15, 4, 2, 1, 1057147, 412989, 642, 254, 20480, 172032, 0, 0.156601, 0.045834, 63780, 21457, 2, 40, 248, 37, 49, 0.022248, 0.014955999999999999, 60016, 5371, 0, 0, 88, 99, 29
do_configure, 3821526, 15.32, 36, 3, 187, 29, 24184355, 3596240, 18314, 7261, 335872, 3178496, 1060864, 0.360522, 0.032046, 60456, 20694, 0, 432, 296, 186, 105, 1.87731, 0.29459399999999997, 57536, 172278, 10, 224, 5912, 2833, 2795
do_create_spdx, 3856960, 2.16, 38, 4, 4, 1, 1339889, 639069, 791, 440, 12288, 266240, 0, 0.38983, 0.044206999999999996, 63800, 25738, 2, 24, 416, 83, 93, 0.040665, 0.015836, 60456, 6598, 0, 0, 104, 258, 252
do_package_write_rpm, 3857211, 3.04, 35, 3, 246, 17, 2014571, 526094, 2265, 561, 0, 364544, 0, 0.356993, 0.032826999999999995, 61864, 24476, 0, 0, 480, 573, 211, 2.463793, 0.17729799999999998, 350372, 101699, 1, 0, 232, 910, 1103
do_populate_lic, 738377, 0.44, 15, 2, 3, 0, 766813, 221321, 590, 256, 0, 143360, 0, 0.155448, 0.028263, 69696, 18321, 0, 0, 224, 45, 129, 0.034797999999999996, 0.007447, 66600, 4981, 1, 0, 56, 120, 72
do_deploy_source_date_epoch, 692573, 0.33, 18, 3, 1, 1, 580943, 162666, 501, 283, 0, 118784, 0, 0.18769, 0.031946999999999996, 68704, 18617, 0, 0, 192, 50, 115, 0.014950999999999999, 0.018823, 65896, 4688, 1, 0, 40, 111, 108
do_unpack, 672927, 0.13, 4, 2, 8, 2, 4590311, 110600, 1665, 159, 0, 274432, 12288, 0.044385999999999995, 0.024211, 66452, 13439, 0, 0, 72, 34, 4, 0.085226, 0.023819, 62844, 15308, 0, 0, 464, 42, 10
