Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3851247, 0.32, 38, 0, 0, 0, 346618, 44005, 32, 45, 0, 53248, 0, 0.38638999999999996, 0.003942, 59856, 5992, 0, 0, 104, 0, 102, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_qa, 3857358, 2.41, 32, 4, 3, 2, 1455545, 225200, 1539, 262, 0, 159744, 0, 0.32806199999999996, 0.048463, 61544, 22326, 0, 0, 272, 130, 1684, 0.034607, 0.024489, 59252, 10942, 0, 0, 40, 128, 167
do_recipe_qa, 596356, 0.07, 7, 2, 1, 0, 508791, 124321, 389, 206, 0, 102400, 0, 0.077198, 0.021443, 67648, 16288, 0, 0, 168, 23, 5, 0.011330999999999999, 0.0034289999999999998, 64848, 4004, 0, 0, 32, 137, 8
do_compile, 3837340, 2.75, 12, 0, 389, 68, 98256828, 5298560, 16598, 2295, 299008, 2834432, 495616, 0.12186599999999999, 0.009374, 59828, 6696, 0, 0, 440, 155, 34, 3.894835, 0.683141, 96616, 224513, 0, 584, 5096, 997, 1708
do_install, 3840840, 0.67, 32, 2, 5, 2, 1269019, 516709, 1512, 502, 32768, 491520, 0, 0.328324, 0.028373, 59752, 15246, 3, 24, 192, 252, 509, 0.059338999999999996, 0.020170999999999998, 57664, 9557, 0, 40, 768, 172, 281
do_package_write_rpm, 3857337, 3.02, 35, 4, 221, 19, 4811300, 970317, 2605, 606, 45056, 638976, 0, 0.354861, 0.048389999999999996, 62696, 24688, 0, 88, 480, 534, 356, 2.216557, 0.190557, 319368, 108019, 0, 0, 768, 1265, 1115
do_packagedata, 3855578, 0.20, 18, 3, 3, 1, 813892, 248236, 857, 312, 0, 200704, 0, 0.189303, 0.030906, 61196, 23780, 0, 0, 224, 39, 54, 0.030181999999999997, 0.018673, 58244, 6910, 0, 0, 168, 139, 101
do_fetch, 596999, 0.70, 5, 2, 7, 1, 3858249, 899643, 3000, 530, 0, 466944, 12288, 0.054799999999999995, 0.023486, 65968, 9924, 0, 0, 136, 88, 4, 0.0784, 0.012031, 62452, 11658, 0, 0, 776, 556, 9
do_patch, 672209, 0.05, 10, 1, 0, 0, 1014332, 637279, 319, 209, 0, 647168, 4096, 0.108473, 0.01607, 66532, 10654, 0, 0, 120, 6, 8, 0.009215, 0.0008659999999999999, 60720, 950, 0, 0, 1144, 13, 3
do_create_spdx, 3857109, 2.63, 48, 3, 3, 2, 1482223, 809546, 820, 625, 147456, 327680, 0, 0.483998, 0.03723, 64792, 26415, 0, 280, 528, 87, 111, 0.034717, 0.025615, 60956, 6575, 0, 8, 112, 211, 174
do_populate_lic, 739188, 0.90, 16, 3, 3, 0, 839868, 246143, 637, 261, 0, 151552, 0, 0.169984, 0.030906, 69688, 18387, 0, 0, 232, 61, 93, 0.035449999999999995, 0.0072699999999999996, 66596, 5017, 0, 0, 64, 97, 89
do_prepare_recipe_sysroot, 3819891, 1.58, 21, 16, 4, 1, 3050473, 1300461, 1353, 396, 303104, 1400832, 16384, 0.212589, 0.160444, 60448, 9545, 1, 520, 152, 52, 66, 0.045349, 0.012010999999999999, 55560, 4906, 2, 72, 2584, 102, 84
do_configure, 3821220, 16.51, 42, 4, 190, 34, 24335165, 3747563, 15195, 7364, 348160, 3346432, 1126400, 0.425027, 0.040868, 60220, 17401, 0, 432, 296, 184, 146, 1.9078879999999998, 0.347445, 57500, 180214, 4, 248, 6240, 2998, 2832
do_create_runtime_spdx, 3861466, 0.48, 13, 2, 3, 0, 1081078, 410866, 615, 253, 0, 163840, 0, 0.138782, 0.029438, 63592, 19283, 0, 0, 232, 35, 246, 0.034162, 0.008314, 60360, 5354, 1, 0, 88, 147, 75
do_package, 3843857, 5.51, 125, 75, 102, 16, 10196259, 4545087, 7089, 1289, 159744, 3559424, 815104, 1.253137, 0.7518819999999999, 61548, 41444, 0, 312, 640, 1074, 3548, 1.020946, 0.169559, 113588, 42694, 3, 0, 6312, 1775, 3009
do_deploy_source_date_epoch, 685070, 0.11, 15, 3, 1, 1, 580179, 161366, 481, 285, 0, 114688, 0, 0.15798199999999998, 0.033259, 69012, 18741, 0, 0, 184, 29, 10, 0.015224999999999999, 0.012509, 66200, 4676, 0, 0, 40, 137, 21
do_unpack, 668544, 0.12, 4, 1, 7, 3, 4592884, 239254, 1683, 200, 0, 499712, 12288, 0.044767999999999995, 0.018653, 66776, 13632, 0, 0, 80, 34, 5, 0.07069399999999999, 0.031845, 63124, 15300, 0, 0, 896, 42, 22
