Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 3927816, 3.97, 13, 1, 334, 60, 83433809, 3969741, 14272, 2020, 294912, 1359872, 20480, 0.138079, 0.017702, 61200, 8518, 0, 0, 416, 62, 49, 3.344401, 0.605439, 86492, 236147, 7, 576, 2240, 1770, 1646
do_patch, 678639, 0.09, 8, 2, 4, 0, 1300819, 646048, 852, 265, 0, 675840, 4096, 0.080538, 0.023011, 67384, 11721, 0, 0, 136, 13, 5, 0.043392, 0.007339, 61372, 9330, 0, 0, 1184, 143, 12
do_collect_spdx_deps, 3905545, 0.64, 36, 1, 0, 0, 354072, 46273, 38, 48, 0, 49152, 0, 0.360942, 0.010827999999999999, 60892, 6235, 0, 0, 96, 0, 105, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 3931589, 1.41, 73, 51, 207, 13, 13383288, 5153737, 10340, 1537, 868352, 3932160, 937984, 0.737333, 0.5125839999999999, 62908, 48752, 0, 1696, 712, 3853, 329, 2.073139, 0.136008, 131576, 74280, 1, 0, 6968, 6414, 402
do_recipe_qa, 642734, 0.18, 11, 4, 1, 0, 524687, 126909, 418, 209, 0, 102400, 0, 0.115954, 0.046381, 68452, 16337, 0, 0, 168, 40, 126, 0.014872, 0.008335, 65636, 4013, 0, 0, 32, 83, 82
do_install, 3930310, 1.94, 32, 4, 26, 3, 2657820, 657741, 3632, 706, 77824, 622592, 8192, 0.32545399999999997, 0.049436, 60496, 15394, 0, 0, 216, 239, 342, 0.264438, 0.0327, 58408, 42011, 0, 152, 1000, 1078, 601
do_packagedata, 3934307, 0.09, 9, 3, 2, 0, 849132, 270591, 900, 322, 0, 225280, 0, 0.095939, 0.030699999999999998, 62268, 23379, 0, 0, 224, 41, 3, 0.024423999999999998, 0.008956, 59416, 6918, 0, 0, 216, 181, 12
do_create_runtime_spdx, 3936295, 0.40, 12, 3, 2, 1, 1153130, 430475, 698, 259, 167936, 172032, 0, 0.128932, 0.036261999999999996, 64060, 19551, 0, 328, 248, 42, 46, 0.023864999999999997, 0.011026, 60716, 5389, 3, 0, 88, 105, 32
do_fetch, 647854, 0.70, 11, 2, 10, 3, 3913346, 932860, 2827, 513, 0, 475136, 12288, 0.110691, 0.020498, 66464, 10071, 0, 0, 136, 77, 8, 0.101631, 0.031104, 62600, 11766, 0, 0, 792, 344, 85
do_package_write_rpm, 3935551, 1.12, 40, 8, 336, 28, 5847899, 1090177, 3212, 824, 12288, 720896, 0, 0.40174099999999996, 0.086087, 62976, 26242, 0, 24, 512, 607, 247, 3.365972, 0.28066199999999997, 493464, 147493, 1, 0, 896, 4272, 687
do_prepare_recipe_sysroot, 3896733, 1.63, 37, 18, 4, 1, 3163589, 1394035, 1395, 423, 372736, 1499136, 16384, 0.37881499999999996, 0.18134799999999998, 62004, 9632, 0, 728, 168, 62, 121, 0.048884, 0.013590999999999999, 57116, 5011, 0, 0, 2760, 94, 98
do_package_qa, 3935636, 0.41, 30, 6, 3, 5, 1959459, 256889, 1829, 284, 8192, 159744, 0, 0.30410899999999996, 0.061642999999999996, 62680, 26311, 0, 16, 272, 1105, 387, 0.034887, 0.053732999999999996, 60384, 19820, 0, 0, 40, 251, 69
do_configure, 3898637, 36.84, 31, 5, 494, 83, 108562641, 16107266, 52288, 17149, 221184, 15093760, 8708096, 0.31942499999999996, 0.057727, 61616, 17062, 0, 152, 344, 301, 120, 4.942108, 0.831086, 58824, 512409, 10, 280, 29136, 6055, 4600
do_populate_lic, 738771, 0.52, 16, 4, 3, 0, 831806, 237288, 582, 263, 0, 147456, 0, 0.168286, 0.042071, 69760, 18411, 0, 0, 232, 33, 64, 0.033985999999999995, 0.009478, 66676, 4999, 0, 0, 56, 133, 81
do_create_spdx, 3935464, 0.38, 27, 6, 3, 2, 1556989, 816345, 901, 605, 16384, 335872, 0, 0.270795, 0.069633, 64724, 26475, 0, 32, 544, 83, 42, 0.030791, 0.0234, 61504, 7137, 0, 0, 112, 340, 148
do_unpack, 673140, 0.15, 6, 1, 7, 4, 4613321, 346000, 1697, 209, 0, 606208, 8192, 0.065857, 0.010131, 66516, 14007, 0, 0, 72, 35, 9, 0.076361, 0.045878999999999996, 62680, 15898, 0, 0, 1112, 43, 21
do_deploy_source_date_epoch, 692635, 0.31, 19, 1, 2, 0, 588565, 163977, 468, 286, 0, 114688, 0, 0.19266899999999998, 0.016753, 68784, 18619, 0, 0, 184, 33, 447, 0.024842, 0.007737999999999999, 65984, 4645, 0, 0, 40, 71, 55
