Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_deploy_source_date_epoch, 693266, 0.16, 16, 2, 1, 1, 497462, 155594, 450, 279, 0, 114688, 0, 0.162302, 0.02771, 68880, 18612, 0, 0, 184, 27, 64, 0.016704, 0.014582999999999999, 66080, 4684, 1, 0, 40, 77, 60
do_populate_lic, 740716, 0.50, 16, 3, 2, 1, 595131, 192150, 521, 245, 0, 135168, 0, 0.164015, 0.034328, 69432, 18214, 0, 0, 224, 28, 42, 0.027077999999999998, 0.013158, 66368, 4985, 0, 0, 40, 93, 48
do_collect_spdx_deps, 1478927, 0.20, 11, 0, 0, 0, 326227, 40020, 22, 40, 0, 49152, 0, 0.110243, 0.0036739999999999997, 69212, 4956, 0, 0, 96, 0, 65, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 1465492, 0.10, 9, 2, 0, 0, 285399, 44331, 5153, 221, 0, 24576, 0, 0.092828, 0.024215999999999998, 70036, 6020, 0, 0, 48, 52, 84, 0.0, 0.003018, 67336, 369, 0, 0, 0, 1, 59
do_recipe_qa, 644311, 0.11, 12, 4, 1, 0, 440589, 120767, 379, 201, 0, 106496, 0, 0.12403499999999999, 0.041345, 68204, 16214, 0, 0, 176, 27, 55, 0.018682, 0.002547, 65404, 3983, 0, 0, 32, 82, 33
do_package, 1468303, 6.78, 55, 37, 89, 7, 3060216, 1830387, 3333, 842, 434176, 1789952, 0, 0.556887, 0.37648699999999996, 63772, 35079, 0, 32, 552, 343, 830, 0.898257, 0.075733, 61584, 27382, 6, 816, 2944, 682, 1244
do_install, 1466731, 0.47, 17, 3, 2, 1, 461713, 112587, 799, 414, 8192, 94208, 0, 0.171895, 0.031252999999999996, 61656, 13652, 0, 0, 152, 191, 265, 0.022659, 0.010357, 59572, 3868, 0, 16, 32, 186, 191
do_packagedata, 1473949, 1.10, 21, 3, 5, 1, 711743, 224073, 831, 304, 4096, 196608, 0, 0.21278799999999998, 0.032118, 70912, 23643, 0, 8, 224, 56, 72, 0.053536, 0.01177, 68104, 6899, 1, 0, 160, 170, 72
do_fetch, 649465, 0.01, 5, 1, 0, 0, 264275, 17548, 15, 41, 0, 20480, 0, 0.055958999999999995, 0.011991, 66152, 4430, 0, 0, 40, 0, 24, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 679497, 0.06, 10, 1, 1, 0, 936542, 638943, 305, 210, 0, 651264, 4096, 0.10392699999999999, 0.019244999999999998, 66696, 9900, 0, 0, 128, 6, 4, 0.011575, 0.001111, 60880, 973, 0, 0, 1144, 13, 5
do_prepare_recipe_sysroot, 1444445, 0.56, 14, 5, 0, 0, 804379, 166388, 203, 71, 49152, 180224, 0, 0.14038299999999998, 0.05703, 67680, 6288, 0, 96, 144, 15, 31, 0.0064979999999999994, 0.0, 62608, 607, 0, 0, 208, 11, 1
do_configure, 1445384, 0.31, 13, 2, 0, 0, 299489, 78857, 1084, 199, 12288, 69632, 0, 0.13983299999999999, 0.021849, 69740, 6661, 0, 24, 128, 39, 47, 0.005411, 0.0, 66812, 603, 0, 0, 8, 6, 38
do_package_qa, 3902777, 1.20, 38, 4, 2, 2, 639224, 207945, 788, 248, 1110016, 159744, 0, 0.38662199999999997, 0.043396, 62052, 15449, 2, 1608, 272, 185, 355, 0.024735, 0.022869, 59660, 6378, 0, 560, 40, 136, 101
do_create_runtime_spdx, 3906898, 0.90, 18, 3, 2, 1, 1646451, 408740, 964, 245, 610304, 155648, 0, 0.18284799999999998, 0.034283999999999995, 64180, 19401, 4, 1192, 216, 164, 74, 0.027055, 0.017876, 60384, 5360, 0, 0, 88, 132, 83
do_unpack, 673445, 0.02, 3, 2, 0, 0, 305080, 25351, 116, 65, 0, 36864, 0, 0.037004999999999996, 0.020558, 66376, 7926, 0, 0, 56, 8, 4, 0.005585, 0.001009, 62748, 1263, 0, 0, 16, 8, 0
do_package_write_rpm, 3902455, 2.63, 35, 9, 158, 14, 1665685, 548455, 2175, 522, 909312, 491520, 0, 0.355379, 0.098035, 62104, 24306, 0, 1504, 464, 370, 344, 1.585647, 0.145572, 203604, 80727, 0, 272, 496, 1020, 879
do_create_spdx, 1479775, 1.36, 20, 4, 5, 1, 1085180, 516935, 703, 288, 4096, 229376, 0, 0.209783, 0.045246999999999996, 72308, 21747, 0, 8, 344, 74, 76, 0.055022999999999996, 0.010248, 69224, 6298, 0, 0, 104, 238, 120
