Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 3900106, 1.53, 38, 4, 4, 1, 1315039, 596401, 771, 386, 4096, 249856, 0, 0.38786899999999996, 0.044442999999999996, 64232, 25668, 1, 8, 384, 72, 223, 0.044323, 0.019528, 60432, 6579, 0, 0, 104, 332, 160
do_collect_spdx_deps, 3898860, 0.87, 34, 1, 0, 0, 346021, 43892, 32, 45, 0, 49152, 0, 0.345677, 0.011918999999999999, 60492, 7954, 0, 0, 96, 1, 129, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 634113, 0.36, 5, 1, 4, 3, 3200295, 159277, 1811, 365, 0, 434176, 8192, 0.05391, 0.015401999999999999, 65900, 9556, 0, 0, 128, 16, 5, 0.040712, 0.034423999999999996, 62420, 12874, 0, 0, 720, 98, 18
do_prepare_recipe_sysroot, 3878320, 1.90, 29, 17, 5, 1, 3070110, 1303915, 1366, 397, 126976, 1404928, 16384, 0.29590099999999997, 0.17429799999999998, 61536, 11629, 0, 248, 160, 48, 114, 0.050294, 0.011120999999999999, 56648, 4947, 0, 0, 2584, 98, 37
do_recipe_qa, 633554, 0.06, 6, 2, 1, 0, 515393, 124969, 400, 206, 0, 102400, 0, 0.061347, 0.026839, 67584, 16160, 0, 0, 168, 25, 4, 0.011172, 0.00373, 64784, 3967, 0, 0, 32, 129, 7
do_populate_lic, 740836, 0.56, 17, 3, 2, 1, 756103, 220684, 599, 255, 0, 143360, 0, 0.176398, 0.035279, 69676, 18367, 0, 0, 224, 49, 255, 0.027319, 0.012128, 66588, 4992, 1, 0, 56, 127, 112
do_install, 3890799, 0.70, 35, 4, 4, 0, 668311, 160127, 1174, 362, 4096, 135168, 0, 0.35224099999999997, 0.043051, 60520, 15061, 0, 0, 184, 175, 245, 0.047325, 0.009524, 58428, 7338, 4, 8, 80, 137, 197
do_packagedata, 3897578, 0.98, 19, 2, 4, 1, 792394, 232834, 851, 310, 4096, 196608, 0, 0.192328, 0.024041, 61836, 23832, 1, 8, 224, 50, 102, 0.040555, 0.018448, 58956, 6929, 0, 0, 160, 155, 88
do_compile, 3890116, 1.14, 12, 2, 46, 6, 15996525, 194381, 2890, 268, 4096, 110592, 0, 0.129181, 0.029169999999999998, 60864, 8215, 0, 0, 104, 12, 35, 0.464995, 0.063336, 88684, 29011, 0, 8, 112, 59, 132
do_unpack, 672134, 0.13, 4, 1, 7, 3, 4575352, 83467, 1618, 148, 0, 233472, 8192, 0.045245999999999995, 0.018852, 66388, 12608, 0, 0, 72, 32, 7, 0.075227, 0.031101999999999998, 62792, 14856, 3, 0, 384, 39, 11
do_patch, 672691, 0.04, 6, 1, 0, 0, 1012458, 633882, 319, 205, 0, 647168, 4096, 0.065334, 0.011529, 66592, 10585, 0, 0, 120, 6, 7, 0.009092, 0.0011819999999999999, 60756, 972, 0, 0, 1144, 13, 3
do_configure, 3879340, 11.16, 35, 4, 177, 27, 23065993, 3367185, 18003, 6900, 294912, 3035136, 1044480, 0.356582, 0.043484999999999996, 61392, 17493, 0, 408, 296, 167, 65, 1.777823, 0.270395, 58672, 165192, 0, 168, 5632, 1727, 1725
do_package, 3891218, 6.83, 184, 92, 83, 18, 5422432, 2094190, 5332, 942, 4096, 1978368, 81920, 1.8411149999999998, 0.922495, 61968, 43361, 0, 8, 600, 377, 1385, 0.831564, 0.184722, 59764, 35914, 1, 0, 3264, 1280, 1193
do_deploy_source_date_epoch, 686408, 0.45, 20, 1, 3, 0, 580472, 167327, 516, 316, 0, 114688, 0, 0.20310799999999998, 0.019912, 69020, 18750, 0, 0, 184, 58, 158, 0.032503, 0.00142, 66216, 4644, 0, 0, 40, 102, 111
do_create_runtime_spdx, 3902009, 0.74, 15, 5, 2, 1, 990603, 411683, 632, 254, 0, 163840, 0, 0.151888, 0.055958, 64468, 19166, 0, 0, 232, 48, 52, 0.024745999999999997, 0.019205, 60912, 5389, 0, 0, 88, 118, 65
do_package_write_rpm, 3899367, 2.96, 42, 3, 269, 16, 1768077, 491190, 2048, 561, 0, 335872, 0, 0.42029299999999997, 0.037451, 61856, 23549, 0, 0, 480, 154, 398, 2.696428, 0.16949799999999998, 299700, 101524, 0, 0, 176, 1273, 1031
do_package_qa, 3899625, 1.45, 47, 3, 4, 1, 864568, 225337, 993, 261, 4096, 159744, 0, 0.475502, 0.033433, 61980, 21806, 1, 8, 272, 88, 446, 0.049131, 0.019135, 59688, 10902, 0, 0, 40, 121, 106
