Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3369464, 1.07, 23, 0, 0, 0, 346757, 44639, 32, 45, 0, 53248, 0, 0.238305, 0.008217, 58720, 7587, 0, 0, 104, 0, 58, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 549978, 0.06, 6, 3, 0, 0, 502969, 123877, 386, 206, 0, 106496, 0, 0.060911999999999994, 0.030455999999999997, 66636, 16108, 0, 0, 176, 24, 6, 0.008062999999999999, 0.007951, 63832, 4011, 0, 0, 32, 137, 6
do_fetch, 550382, 1.40, 10, 1, 15, 4, 4727533, 1815227, 4319, 706, 69632, 794624, 12288, 0.101826, 0.012218999999999999, 64828, 11208, 0, 0, 136, 98, 59, 0.15617799999999998, 0.043657, 61484, 12348, 1, 136, 1416, 965, 45
do_populate_sysroot, 3377739, 3.29, 31, 3, 4, 1, 908150, 372353, 1054, 553, 36864, 221184, 0, 0.318726, 0.038246999999999996, 58552, 23120, 7, 56, 376, 100, 208, 0.047129, 0.016205, 55600, 7380, 1, 16, 56, 172, 113
do_install, 3373985, 2.67, 24, 4, 14, 4, 2166082, 870646, 4676, 669, 385024, 925696, 0, 0.245282, 0.048312999999999995, 57720, 14464, 18, 432, 216, 247, 339, 0.141377, 0.041192, 55616, 24571, 6, 320, 1592, 302, 969
do_compile, 3371083, 6.10, 18, 1, 456, 55, 84630884, 6213471, 12640, 2350, 1036288, 1814528, 0, 0.183886, 0.011257999999999999, 58764, 8384, 2, 16, 280, 89, 78, 4.564095, 0.558515, 71744, 177228, 2, 2008, 3264, 1475, 1942
do_packagedata, 3381939, 3.50, 17, 3, 4, 1, 805370, 247724, 884, 312, 4096, 200704, 0, 0.172036, 0.035990999999999995, 59212, 23304, 0, 8, 224, 78, 212, 0.046832, 0.015784, 56288, 6954, 0, 0, 168, 129, 102
do_populate_lic, 740858, 0.46, 16, 3, 2, 1, 778914, 199007, 568, 256, 0, 143360, 0, 0.165897, 0.037326, 69660, 18413, 0, 0, 240, 23, 99, 0.023112999999999998, 0.015759, 66588, 4968, 0, 0, 40, 78, 61
do_unpack, 569934, 0.22, 7, 2, 13, 3, 4591776, 742745, 1669, 291, 0, 1232896, 12288, 0.072142, 0.029705, 65540, 13311, 0, 0, 72, 35, 76, 0.131925, 0.038217, 61936, 15420, 0, 0, 2336, 39, 139
do_prepare_recipe_sysroot, 3336215, 2.85, 14, 13, 4, 1, 2742023, 1303696, 1275, 400, 1368064, 1417216, 16384, 0.142285, 0.133915, 59052, 9088, 2, 2656, 184, 101, 67, 0.049676, 0.011614, 54164, 4967, 1, 16, 2584, 109, 65
do_deploy_source_date_epoch, 634206, 0.08, 8, 1, 1, 0, 573327, 161066, 488, 288, 0, 118784, 0, 0.089596, 0.015581999999999999, 67736, 18637, 0, 0, 192, 32, 5, 0.015288999999999999, 0.003015, 64920, 4682, 0, 0, 40, 160, 8
do_create_spdx, 3385170, 2.24, 32, 5, 6, 0, 1595499, 807352, 828, 575, 622592, 348160, 0, 0.327132, 0.051651999999999997, 61992, 24128, 2, 1216, 560, 89, 187, 0.064529, 0.0058649999999999996, 58128, 6620, 1, 0, 120, 332, 86
do_patch, 572789, 0.08, 9, 2, 1, 0, 1014381, 637023, 319, 209, 0, 647168, 4096, 0.09543199999999999, 0.026719999999999997, 65368, 11728, 0, 0, 120, 6, 41, 0.013162, 0.0031739999999999997, 59672, 970, 1, 0, 1144, 14, 9
do_configure, 3338296, 42.55, 28, 4, 256, 34, 35069811, 4685314, 20536, 8793, 675840, 4349952, 1466368, 0.280535, 0.044529, 59560, 18110, 0, 912, 320, 223, 137, 2.563022, 0.34693399999999996, 56864, 246978, 6, 408, 8176, 4097, 4009
do_create_runtime_spdx, 3386722, 0.90, 17, 1, 3, 1, 1116284, 410197, 629, 252, 8192, 159744, 0, 0.174322, 0.016342, 61360, 19165, 2, 16, 224, 45, 128, 0.036869, 0.010608, 57776, 5381, 1, 0, 88, 116, 54
do_package, 3377606, 9.42, 95, 64, 128, 16, 16141698, 7038767, 10004, 1602, 1388544, 5115904, 1462272, 0.953429, 0.6411709999999999, 59428, 41881, 2, 1848, 664, 390, 2589, 1.287808, 0.165604, 162996, 54414, 1, 864, 9328, 2040, 1792
do_package_write_rpm, 3385156, 4.19, 35, 4, 313, 15, 8308182, 1552813, 3333, 639, 61440, 1019904, 0, 0.35611699999999996, 0.041409, 59368, 24195, 2, 120, 488, 294, 454, 3.132391, 0.154072, 334296, 108633, 1, 0, 1504, 2281, 1051
do_package_qa, 3385248, 1.89, 37, 2, 7, 1, 2269571, 238366, 2196, 269, 24576, 159744, 0, 0.377862, 0.023615999999999998, 59248, 22374, 1, 48, 272, 183, 1292, 0.075295, 0.019105999999999998, 56876, 15424, 1, 0, 40, 167, 166
