Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 2688930, 1.68, 21, 2, 13, 6, 6541429, 5269787, 3516, 1226, 262144, 4710400, 114688, 0.218473, 0.021006999999999998, 67464, 14470, 0, 0, 248, 341, 318, 0.13841599999999998, 0.06863899999999999, 65388, 26759, 0, 512, 8952, 540, 794
do_collect_spdx_deps, 2692129, 0.29, 17, 0, 0, 0, 367270, 44933, 37, 47, 0, 49152, 0, 0.17635099999999998, 0.007666999999999999, 72668, 5452, 0, 0, 96, 1, 161, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2709604, 1.86, 21, 3, 4, 1, 863131, 277739, 933, 320, 0, 221184, 0, 0.218883, 0.030719999999999997, 73960, 23454, 0, 0, 224, 83, 87, 0.044219999999999995, 0.016114, 71160, 6949, 0, 0, 208, 180, 106
do_compile_ptest_base, 2685388, 2.69, 13, 2, 72, 7, 8845298, 1562716, 3016, 962, 24576, 524288, 0, 0.131252, 0.020508, 72860, 6454, 0, 0, 96, 9, 65, 0.724483, 0.07887799999999999, 70168, 26406, 1, 48, 928, 485, 1267
do_recipe_qa, 498404, 0.07, 8, 2, 1, 0, 520021, 127095, 395, 209, 0, 102400, 0, 0.088921, 0.023197, 66676, 16176, 0, 0, 168, 24, 5, 0.010787999999999999, 0.004173, 63868, 3992, 0, 0, 32, 144, 6
do_install_ptest_base, 2692447, 1.74, 14, 1, 4, 6, 1439559, 938025, 4230, 825, 679936, 1843200, 675840, 0.148388, 0.016041, 67420, 11199, 0, 0, 280, 127, 276, 0.043033999999999996, 0.063918, 65344, 4454, 0, 1328, 3320, 2531, 627
do_compile, 2666798, 12.64, 12, 1, 1816, 105, 86751890, 29324337, 22871, 8001, 1761280, 8671232, 0, 0.12407399999999999, 0.016543, 72868, 6576, 0, 0, 368, 107, 375, 18.162447, 1.053289, 129432, 344346, 7, 3440, 16568, 5639, 9550
do_fetch, 498772, 0.28, 10, 0, 0, 0, 815095, 611959, 524, 860, 0, 552960, 0, 0.109315, 0.0040479999999999995, 64824, 8290, 0, 0, 184, 37, 121, 0.003678, 0.005095, 61012, 901, 0, 0, 896, 264, 10
do_configure, 2664952, 0.71, 28, 4, 1, 0, 425225, 143697, 3018, 344, 512000, 131072, 0, 0.288109, 0.045273999999999995, 73168, 18028, 0, 640, 248, 101, 152, 0.012706, 0.009963, 70380, 1942, 0, 360, 8, 58, 49
do_prepare_recipe_sysroot, 2664324, 0.30, 15, 4, 2, 0, 1809618, 1050904, 565, 302, 409600, 1085440, 0, 0.15237699999999998, 0.046558999999999996, 71244, 7384, 0, 792, 144, 40, 85, 0.020686, 0.0040869999999999995, 66104, 1198, 0, 8, 1976, 19, 7
do_patch, 531307, 0.63, 8, 4, 60, 9, 10162193, 1382948, 16850, 1666, 0, 1355776, 4096, 0.08333199999999999, 0.045833, 65320, 26414, 0, 0, 208, 117, 32, 0.604478, 0.093637, 59732, 259007, 2, 0, 2440, 4179, 138
do_package_write_rpm, 3733722, 8.72, 42, 4, 647, 37, 43367893, 6141073, 6926, 936, 3592192, 4030464, 0, 0.42121899999999995, 0.049554999999999995, 61124, 24845, 0, 912, 512, 335, 603, 6.47992, 0.37307199999999996, 653296, 186908, 2, 6104, 7360, 5728, 1994
do_create_runtime_spdx, 3744924, 0.95, 28, 4, 4, 0, 5316538, 429789, 2698, 259, 806912, 180224, 0, 0.280793, 0.044764, 63044, 24078, 7, 1576, 264, 122, 88, 0.044938, 0.005429, 59496, 5356, 0, 0, 88, 103, 65
do_configure_ptest_base, 2666116, 0.09, 11, 1, 0, 0, 325644, 35320, 2091, 129, 0, 24576, 0, 0.112719, 0.011271, 72812, 6339, 0, 0, 48, 27, 174, 0.0, 0.003081, 70084, 361, 0, 0, 0, 1, 27
do_populate_lic, 777123, 0.49, 16, 2, 3, 0, 914589, 246009, 631, 263, 0, 147456, 0, 0.163663, 0.023379999999999998, 70004, 16494, 0, 0, 232, 45, 62, 0.032448, 0.008001, 66920, 5011, 1, 0, 56, 121, 86
do_create_spdx, 2712007, 1.41, 27, 5, 3, 4, 2029848, 1463591, 923, 1293, 126976, 598016, 0, 0.27231, 0.051303999999999995, 76672, 28616, 0, 248, 1024, 82, 184, 0.030281, 0.042963, 73052, 7224, 0, 0, 144, 326, 132
do_package, 2696253, 7.07, 230, 66, 300, 91, 73235720, 35133621, 27175, 3977, 4096, 23773184, 9998336, 2.308631, 0.664789, 69128, 48793, 0, 8, 840, 10172, 832, 3.001223, 0.918681, 424460, 188290, 14, 0, 45592, 63865, 2446
do_package_qa, 3733772, 2.07, 43, 13, 10, 5, 8458281, 281879, 5011, 297, 5988352, 159744, 0, 0.43073, 0.13127, 62484, 24213, 191, 11552, 272, 1261, 2764, 0.10410799999999999, 0.059122999999999995, 60112, 29341, 2, 144, 40, 244, 207
do_deploy_source_date_epoch, 569337, 0.34, 15, 3, 1, 1, 583835, 167248, 494, 329, 4096, 118784, 0, 0.15717399999999998, 0.031434, 67644, 18935, 0, 8, 192, 48, 70, 0.018942999999999998, 0.010607, 64844, 4664, 1, 0, 40, 72, 72
do_unpack, 529011, 0.15, 8, 3, 6, 1, 4221228, 5329135, 1873, 1193, 0, 3702784, 0, 0.086148, 0.039158, 64956, 24810, 0, 0, 200, 66, 13, 0.06946, 0.018392, 61560, 16829, 0, 0, 7032, 347, 16
