Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 794654, 0.40, 20, 3, 3, 0, 866095, 189778, 576, 271, 0, 135168, 0, 0.208332, 0.033481, 71892, 17172, 0, 0, 224, 41, 136, 0.032073, 0.008263999999999999, 68804, 5013, 1, 0, 40, 80, 94
do_recipe_qa, 701145, 0.08, 14, 2, 1, 0, 737857, 132987, 406, 230, 0, 106496, 0, 0.141354, 0.026742, 71152, 16970, 0, 0, 176, 24, 77, 0.015387, 0.006777, 68340, 4065, 0, 0, 32, 82, 14
do_install, 3934413, 0.28, 13, 0, 16, 4, 49101300, 39077288, 1245, 374, 434176, 39124992, 8192, 0.13201, 0.004258, 61636, 12689, 0, 0, 152, 17, 3, 0.167148, 0.045134999999999995, 58928, 9787, 0, 848, 76264, 30, 16
do_compile, 3866837, 83.41, 82, 11, 82841, 5538, 8582699548, 457827962, 1223331, 259085, 129908736, 232796160, 23175168, 0.8211539999999999, 0.110098, 76948, 12860, 53, 616, 28512, 2071, 124, 828.415223, 55.385618, 599812, 24961104, 241, 253112, 426168, 67405, 247180
do_fetch, 701434, 0.01, 10, 2, 0, 0, 524444, 64809, 46, 87, 4096, 57344, 0, 0.101043, 0.020208, 69184, 7749, 0, 8, 112, 1, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 705179, 2.36, 18, 3, 20, 3, 2068557, 327736, 2582, 334, 0, 335872, 4096, 0.18642799999999998, 0.036475, 69144, 13783, 0, 0, 136, 25, 288, 0.20038999999999998, 0.038694, 63280, 38110, 3, 0, 520, 623, 342
do_write_config, 705837, 0.06, 21, 1, 0, 0, 561231, 49672, 111, 98, 0, 36864, 0, 0.21343199999999998, 0.019056, 70688, 9071, 0, 0, 56, 9, 82, 0.000589, 0.003851, 67964, 576, 0, 0, 16, 5, 20
do_deploy_source_date_epoch, 706973, 0.43, 25, 4, 2, 1, 789659, 166485, 538, 337, 0, 114688, 0, 0.25992499999999996, 0.04332, 71112, 19539, 0, 0, 184, 62, 74, 0.022855, 0.015366999999999999, 68308, 4728, 0, 0, 40, 120, 86
do_prepare_recipe_sysroot, 3826373, 1.86, 22, 21, 1, 0, 2745338, 1372225, 715, 385, 1658880, 1454080, 0, 0.22444599999999998, 0.215976, 60400, 9037, 2, 3184, 488, 148, 134, 0.012841, 0.008465, 55504, 638, 0, 56, 2352, 29, 9
do_unpack, 702922, 1.65, 15, 4, 109, 40, 238873923, 421192406, 43908, 55630, 8192, 223055872, 0, 0.154785, 0.043657, 69232, 13767, 0, 0, 128, 16, 21, 1.093409, 0.400265, 65480, 5692, 0, 16, 435528, 24702, 18225
do_configure, 3829647, 25.56, 29, 3, 738, 123, 98743713, 38564386, 49961, 35445, 5124096, 33021952, 2416640, 0.291633, 0.036454, 59564, 13869, 0, 8, 224, 93, 233, 7.3857289999999995, 1.239677, 78148, 618654, 8, 10000, 64272, 14058, 14388
do_populate_sysroot, 3935912, 1.17, 67, 18, 78, 21, 554816329, 148581110, 103349, 9101, 32768, 112717824, 0, 0.676487, 0.181201, 61788, 50141, 0, 8, 71792, 198, 44, 0.783961, 0.218333, 79276, 77072, 4, 56, 148360, 515, 173
