Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1479183, 0.15, 10, 1, 0, 0, 337200, 40099, 23, 40, 0, 49152, 0, 0.10116499999999999, 0.018064999999999998, 69308, 4987, 0, 0, 96, 0, 35, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 644786, 0.11, 11, 2, 1, 0, 506269, 119177, 391, 201, 0, 102400, 0, 0.11516599999999999, 0.023826999999999997, 68240, 16193, 0, 0, 168, 30, 52, 0.017539, 0.005192, 65440, 3986, 0, 0, 32, 103, 24
do_create_spdx, 1479810, 1.16, 17, 4, 4, 1, 1148983, 510744, 675, 283, 0, 221184, 0, 0.176306, 0.048083, 72488, 21791, 0, 0, 328, 55, 280, 0.047557999999999996, 0.017471, 69328, 6292, 2, 0, 104, 199, 97
do_install, 1466963, 0.49, 16, 3, 1, 0, 384176, 85337, 479, 206, 4096, 81920, 0, 0.16108699999999998, 0.030476, 61732, 13674, 0, 0, 144, 95, 238, 0.015826, 0.0043, 59660, 2165, 1, 8, 16, 43, 88
do_patch, 679795, 0.05, 6, 2, 0, 0, 946048, 634933, 306, 206, 0, 647168, 4096, 0.061466999999999994, 0.028683999999999998, 67056, 9980, 0, 0, 120, 6, 5, 0.008074999999999999, 0.0050149999999999995, 61472, 968, 0, 0, 1144, 13, 3
do_package_write_rpm, 3069462, 2.97, 27, 5, 139, 13, 1313267, 406055, 1690, 476, 1769472, 294912, 0, 0.277434, 0.054646, 56304, 23645, 1, 2576, 464, 315, 301, 1.39512, 0.131746, 206504, 77546, 2, 880, 112, 827, 620
do_packagedata, 1474006, 1.11, 20, 4, 5, 1, 719623, 220864, 3231, 304, 135168, 188416, 0, 0.208149, 0.047127999999999996, 70988, 22913, 0, 256, 216, 73, 52, 0.052731999999999994, 0.012164999999999999, 68176, 6884, 1, 8, 152, 149, 120
do_compile, 1465643, 0.08, 13, 0, 0, 0, 295795, 43659, 2532, 221, 0, 24576, 0, 0.134053, 0.0037229999999999997, 70212, 6084, 0, 0, 48, 52, 47, 0.0, 0.003238, 67512, 371, 0, 0, 0, 1, 54
do_fetch, 650898, 0.01, 6, 2, 0, 0, 275249, 13867, 16, 37, 0, 20480, 0, 0.06879099999999999, 0.020232, 66192, 4435, 0, 0, 40, 0, 25, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 693468, 0.17, 15, 3, 1, 1, 565914, 160729, 502, 327, 0, 110592, 0, 0.150142, 0.037535, 68900, 18560, 0, 0, 176, 51, 33, 0.019042, 0.012605, 66100, 4656, 0, 0, 40, 78, 70
do_prepare_recipe_sysroot, 1447114, 0.37, 11, 4, 0, 0, 815659, 166382, 206, 71, 73728, 180224, 0, 0.114675, 0.044105, 68116, 6386, 0, 144, 144, 23, 21, 0.004105, 0.002763, 62868, 602, 0, 0, 208, 8, 39
do_create_runtime_spdx, 3070308, 0.98, 15, 3, 3, 0, 1232537, 392823, 757, 244, 716800, 151552, 0, 0.156137, 0.036031, 61836, 18977, 1, 896, 216, 76, 123, 0.038437, 0.008534, 58124, 5367, 0, 504, 80, 192, 129
do_unpack, 673465, 0.02, 5, 1, 0, 0, 301949, 20849, 80, 58, 0, 32768, 0, 0.051516, 0.015851, 66472, 7468, 0, 0, 56, 6, 4, 0.003753, 0.0021319999999999998, 62824, 751, 0, 0, 8, 4, 1
do_configure, 1447530, 0.19, 11, 1, 0, 0, 309766, 78660, 142, 202, 12288, 69632, 0, 0.115045, 0.018555, 70052, 6814, 0, 24, 128, 39, 165, 0.0042239999999999995, 0.00071, 67128, 601, 0, 0, 8, 5, 37
do_package, 1468913, 8.76, 280, 62, 90, 10, 3030102, 1823477, 3054, 856, 114688, 1789952, 0, 2.807448, 0.6291869999999999, 63800, 35025, 0, 8, 600, 357, 889, 0.9024289999999999, 0.10736799999999999, 61668, 22606, 8, 216, 2896, 919, 992
do_populate_lic, 740892, 0.39, 14, 2, 2, 1, 664387, 190406, 539, 245, 0, 135168, 0, 0.143897, 0.028779, 69484, 18195, 0, 0, 224, 30, 228, 0.022966999999999998, 0.014768, 66404, 4983, 0, 0, 40, 87, 83
do_package_qa, 3070062, 1.16, 20, 3, 2, 1, 622226, 205178, 772, 247, 204800, 155648, 0, 0.20682, 0.039603, 56448, 14568, 1, 400, 264, 91, 353, 0.026726, 0.018652, 54152, 6443, 0, 0, 40, 87, 85
