Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_packagedata, 2290610, 0.27, 14, 3, 2, 2, 768701, 242354, 870, 312, 0, 208896, 0, 0.14646199999999998, 0.038542, 72484, 20916, 0, 0, 232, 60, 109, 0.024461, 0.029283999999999998, 69672, 6909, 1, 0, 176, 116, 144
do_prepare_recipe_sysroot, 1881056, 0.40, 13, 7, 1, 0, 1749849, 1050925, 539, 301, 28672, 1093632, 0, 0.13931, 0.071765, 69544, 7017, 0, 56, 144, 11, 37, 0.019576, 0.004543, 64272, 1193, 0, 0, 1992, 16, 12
do_collect_spdx_deps, 1474623, 0.17, 16, 1, 0, 0, 343567, 42866, 30, 44, 94208, 53248, 0, 0.16519699999999998, 0.017859, 69140, 7036, 0, 184, 104, 23, 47, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 1882161, 20.85, 29, 2, 385, 64, 94429700, 13710505, 42580, 14686, 413696, 13058048, 7704576, 0.294418, 0.025601, 71616, 18412, 0, 712, 312, 208, 113, 3.855124, 0.641649, 68728, 424148, 8, 96, 25192, 6240, 4981
do_recipe_qa, 65413, 0.06, 8, 0, 1, 0, 485543, 122665, 383, 205, 0, 102400, 0, 0.085448, 0.0, 62500, 15904, 0, 0, 168, 24, 3, 0.011883999999999999, 0.0018269999999999998, 59688, 3999, 0, 0, 32, 128, 4
do_install, 1951076, 1.51, 17, 2, 18, 3, 1682677, 283536, 2626, 617, 0, 249856, 4096, 0.172266, 0.023278999999999998, 65064, 14537, 0, 0, 192, 214, 226, 0.18162699999999998, 0.033874, 62988, 33745, 0, 0, 296, 617, 712
do_compile, 1936461, 4.29, 12, 0, 155, 26, 15720653, 1494114, 8028, 1692, 155648, 585728, 20480, 0.12435299999999999, 0.008289999999999999, 71100, 6201, 0, 0, 240, 88, 71, 1.559349, 0.266467, 68396, 134701, 6, 304, 904, 1665, 1306
do_fetch, 65771, 0.31, 5, 0, 0, 0, 617079, 350664, 627, 619, 0, 356352, 0, 0.052488, 0.008074999999999999, 60720, 5782, 0, 0, 112, 158, 12, 0.001241, 0.006281999999999999, 57076, 806, 0, 0, 584, 174, 2
do_package_write_rpm, 2737953, 3.16, 26, 6, 366, 15, 2614733, 645175, 2390, 604, 0, 438272, 0, 0.264169, 0.066042, 67716, 23706, 0, 0, 480, 163, 387, 3.6647179999999997, 0.155868, 338276, 100598, 0, 0, 376, 4974, 1717
do_patch, 410268, 0.55, 7, 2, 0, 1, 1083402, 633160, 330, 206, 0, 647168, 4096, 0.079565, 0.026521, 64180, 8734, 0, 0, 120, 7, 33, 0.003601, 0.012830999999999999, 58500, 961, 0, 0, 1144, 13, 32
do_create_runtime_spdx, 2738277, 0.67, 20, 3, 2, 1, 1040376, 408670, 618, 251, 0, 163840, 0, 0.201129, 0.037711, 74384, 21159, 0, 0, 232, 35, 108, 0.024401, 0.019724, 70856, 5390, 0, 0, 88, 144, 46
do_populate_sysroot, 1955846, 2.04, 162, 16, 4, 3, 1298079, 459431, 1231, 600, 12288, 356352, 28672, 1.6286779999999998, 0.16794499999999998, 71412, 24348, 0, 24, 520, 116, 243, 0.042537, 0.034044, 69408, 10279, 0, 0, 176, 190, 179
do_create_spdx, 2624498, 1.39, 21, 5, 4, 2, 1288280, 624679, 723, 412, 4096, 274432, 0, 0.214359, 0.056871, 74868, 25319, 0, 8, 424, 51, 114, 0.043039999999999995, 0.022456, 71252, 6590, 0, 0, 112, 291, 76
do_package, 2074659, 3.39, 64, 43, 163, 17, 7150653, 2741339, 7005, 1126, 4096, 2375680, 282624, 0.647322, 0.434179, 67736, 43195, 0, 8, 624, 445, 1630, 1.631753, 0.17699099999999998, 65552, 53102, 1, 0, 4016, 2021, 1419
do_package_qa, 2738257, 1.16, 28, 5, 4, 5, 1203681, 241054, 1430, 272, 0, 159744, 0, 0.288032, 0.060006, 67880, 21477, 0, 0, 272, 163, 626, 0.048317, 0.050553, 65664, 17483, 0, 0, 40, 146, 205
do_unpack, 409897, 0.13, 7, 1, 6, 0, 2112951, 2990877, 612, 606, 0, 1581056, 0, 0.076376, 0.010414, 64052, 7496, 0, 0, 64, 6, 29, 0.063507, 0.005029, 60436, 1746, 0, 0, 3024, 375, 377
do_deploy_source_date_epoch, 494965, 0.10, 10, 1, 1, 0, 550953, 158735, 476, 281, 0, 118784, 0, 0.107501, 0.019906999999999998, 66448, 18546, 0, 0, 192, 31, 15, 0.016635, 0.003636, 63648, 4662, 1, 0, 40, 149, 14
do_populate_lic, 763922, 0.16, 14, 3, 2, 1, 620851, 168173, 552, 246, 4096, 131072, 0, 0.144517, 0.035151999999999996, 69656, 18363, 0, 8, 216, 35, 36, 0.027288999999999997, 0.010636, 66556, 4970, 0, 0, 40, 86, 95
