Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 752399, 0.23, 15, 4, 2, 0, 890889, 190591, 551, 257, 16384, 135168, 0, 0.155477, 0.04072, 70732, 18373, 1, 32, 224, 34, 119, 0.029883, 0.008086, 67648, 4896, 0, 0, 40, 96, 49
do_recipe_qa, 17740, 0.05, 7, 1, 1, 0, 659652, 121909, 390, 214, 0, 106496, 0, 0.078605, 0.012411, 60172, 16143, 0, 0, 176, 30, 1, 0.010889, 0.0026019999999999997, 57356, 3924, 0, 0, 32, 118, 3
do_collect_spdx_deps, 182478, 0.04, 14, 0, 0, 0, 543230, 41604, 28, 46, 0, 53248, 0, 0.14624499999999999, 0.008124, 63496, 6901, 0, 0, 104, 0, 26, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 332089, 0.26, 17, 1, 0, 0, 9026499, 8529672, 219, 210, 0, 8523776, 0, 0.170535, 0.011368999999999999, 65648, 14162, 0, 0, 64, 22, 113, 0.008766999999999999, 0.007196999999999999, 62948, 1192, 0, 0, 16584, 7, 17
do_populate_sysroot, 332399, 1.11, 29, 4, 7, 1, 12169186, 9425938, 1395, 803, 0, 9072640, 0, 0.298753, 0.047171, 66444, 29862, 0, 0, 16896, 118, 150, 0.072092, 0.012688999999999999, 64248, 11088, 0, 0, 824, 137, 249
do_compile, 200079, 22.83, 11, 1, 3611, 265, 428565514, 197053371, 44209, 42608, 98304, 105394176, 32186368, 0.110077, 0.015725, 64516, 8302, 0, 0, 48, 40, 10, 36.110549, 2.656926, 202556, 1451686, 20, 192, 205800, 8212, 11167
do_fetch, 17850, 15.06, 8, 1, 83, 21, 31483357, 34514826, 41905, 12946, 0, 11968512, 12288, 0.085182, 0.017995, 59092, 9677, 0, 0, 160, 233, 12, 0.837625, 0.211142, 55636, 15277, 0, 0, 23216, 18857, 171
do_prepare_recipe_sysroot, 199606, 0.03, 8, 0, 0, 0, 1041684, 586116, 236, 179, 0, 593920, 0, 0.08108, 0.0040539999999999994, 63820, 8020, 0, 0, 144, 2, 50, 0.006331, 0.001027, 57828, 615, 0, 0, 1016, 9, 1
do_patch, 25665, 0.02, 5, 1, 0, 0, 622297, 116714, 170, 79, 0, 126976, 4096, 0.057436999999999995, 0.011486999999999999, 60188, 9891, 0, 0, 120, 6, 3, 0.004945, 0.0, 54492, 940, 0, 0, 128, 13, 0
do_unpack, 25632, 0.11, 6, 0, 6, 3, 4915311, 1213926, 5728, 2385, 0, 1609728, 8192, 0.06197, 0.008851999999999999, 60148, 12322, 0, 0, 64, 31, 0, 0.069099, 0.034012, 56468, 15195, 0, 0, 3080, 201, 35
do_create_runtime_spdx, 788884, 0.40, 15, 4, 2, 1, 968936, 349749, 413, 241, 0, 135168, 0, 0.155, 0.040789, 70612, 15858, 0, 0, 184, 41, 154, 0.022903, 0.010119999999999999, 67812, 4177, 0, 0, 80, 59, 49
do_create_spdx, 249332, 0.25, 17, 3, 2, 1, 1172901, 485593, 593, 278, 0, 208896, 0, 0.172808, 0.030721, 65948, 20797, 0, 0, 304, 51, 115, 0.025172, 0.010671, 63044, 5117, 0, 0, 104, 85, 82
do_deploy_source_date_epoch, 25677, 0.07, 8, 1, 1, 0, 715345, 149580, 482, 294, 0, 114688, 0, 0.084895, 0.018455, 61212, 18317, 0, 0, 184, 33, 4, 0.014914, 0.000396, 58412, 4618, 0, 0, 40, 140, 4
