Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 1573301, 1.50, 37, 10, 96, 20, 151474356, 83584196, 17338, 5776, 0, 45711360, 6090752, 0.374257, 0.10242799999999999, 71280, 26104, 0, 0, 39872, 128, 308, 0.9681099999999999, 0.205096, 86880, 50631, 1, 0, 49408, 1047, 847
do_collect_spdx_deps, 1453990, 0.12, 15, 2, 0, 0, 373016, 46320, 43, 50, 0, 49152, 0, 0.157823, 0.029858, 69488, 7042, 0, 0, 96, 0, 50, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 1543310, 0.03, 12, 0, 0, 0, 330161, 24709, 59, 60, 0, 24576, 0, 0.120435, 0.004014, 70352, 8203, 0, 0, 48, 2, 13, 0.002485, 0.0, 67656, 362, 0, 0, 0, 1, 1
do_recipe_qa, 21315, 0.05, 8, 0, 1, 0, 486925, 125428, 410, 211, 0, 102400, 0, 0.08087599999999999, 0.008513, 60512, 16024, 0, 0, 168, 30, 5, 0.011155, 0.0024879999999999998, 57700, 4016, 0, 0, 32, 143, 3
do_install, 1543929, 2.51, 23, 2, 325, 63, 251225796, 135096107, 65032, 9964, 36864, 135299072, 73256960, 0.233767, 0.023771999999999998, 62828, 14057, 0, 0, 272, 763, 126, 3.255168, 0.6389389999999999, 60728, 169086, 6, 72, 263984, 3992, 2495
do_packagedata, 1726422, 1.44, 18, 4, 5, 2, 2760725, 1388498, 1319, 449, 0, 864256, 0, 0.18223699999999998, 0.049700999999999995, 71772, 23708, 0, 0, 240, 75, 79, 0.051673, 0.021835, 68964, 7327, 0, 0, 1448, 147, 110
do_compile, 1469268, 110.08, 78, 11, 37142, 5076, 13377752918, 1693443197, 3050879, 876389, 27979776, 1377574912, 83996672, 0.7834209999999999, 0.11751299999999999, 74912, 9086, 0, 0, 20232, 2878, 190, 371.421579, 50.763364, 134088, 18055956, 619, 54648, 2670344, 123013, 171592
do_install_ptest_base, 1557633, 2.47, 17, 2, 10, 86, 1123672203, 1115663300, 21884, 12384, 24018944, 1121136640, 13860864, 0.177918, 0.023722, 62960, 10336, 0, 0, 384, 126, 321, 0.108817, 0.867014, 60884, 8946, 0, 46912, 2189336, 5790, 4404
do_fetch, 21364, 0.02, 6, 0, 0, 0, 311985, 65161, 38, 79, 0, 57344, 0, 0.067692, 0.003981, 58768, 6520, 0, 0, 112, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 1607752, 60.30, 2593, 653, 7714, 2588, 14178551046, 7688861496, 1730817, 597556, 126976, 5276512256, 2561249280, 25.935569, 6.533117, 85020, 531073, 0, 248, 5432, 63799, 52412, 77.142837, 25.880947, 533912, 5509313, 357, 0, 10300256, 314301, 209072
do_unpack, 21553, 0.26, 6, 0, 23, 5, 75727405, 115728494, 7596, 11954, 8192, 67510272, 0, 0.062318, 0.007789, 58812, 10218, 0, 0, 72, 16, 1, 0.233062, 0.05619, 55216, 3516, 0, 16, 131784, 1802, 43
do_prepare_recipe_sysroot, 1446005, 0.54, 12, 9, 0, 0, 1523531, 811132, 376, 238, 356352, 823296, 0, 0.128402, 0.092289, 68760, 7038, 0, 688, 152, 26, 119, 0.006063, 0.0072169999999999995, 63872, 604, 1, 8, 1456, 12, 2
do_patch, 228542, 0.18, 8, 3, 12, 3, 2745031, 1182824, 2681, 560, 0, 1208320, 4096, 0.08111299999999999, 0.034762999999999995, 62816, 12942, 0, 0, 152, 25, 7, 0.123694, 0.031652, 57128, 38334, 3, 0, 2208, 615, 54
do_configure, 1446517, 26.44, 17, 1, 849, 35, 9870483, 6541893, 2029, 996, 3678208, 6463488, 0, 0.171612, 0.015955999999999998, 70416, 9210, 0, 24, 192, 52, 37, 8.494053, 0.356277, 67560, 31308, 14, 7160, 12432, 427, 2122
do_create_runtime_spdx, 3114349, 5.63, 87, 11, 3, 0, 47912379, 476321, 8019, 271, 22233088, 212992, 0, 0.8725839999999999, 0.115547, 156664, 63738, 0, 43424, 328, 177, 254, 0.038921, 0.009198999999999999, 64160, 5436, 0, 0, 88, 151, 88
do_populate_lic, 735911, 0.38, 18, 3, 3, 0, 717152, 194808, 596, 255, 16384, 135168, 0, 0.189602, 0.037919999999999995, 69876, 18527, 1, 32, 216, 55, 97, 0.031604, 0.008936999999999999, 66792, 4975, 0, 0, 48, 60, 99
do_configure_ptest_base, 1468978, 0.07, 11, 2, 0, 0, 330173, 36087, 2744, 132, 0, 20480, 0, 0.112632, 0.023302999999999997, 70516, 6146, 0, 0, 40, 27, 30, 0.0, 0.003202, 67788, 356, 0, 0, 0, 1, 31
do_package_write_rpm, 3051415, 198.81, 58, 16, 59768, 430, 7691769606, 899594177, 259268, 40412, 513650688, 598908928, 0, 0.582845, 0.16236399999999998, 57816, 28091, 652, 21408, 1024, 1684, 1026, 597.686443, 4.309118, 4683736, 1535906, 21, 981816, 1168720, 58035, 174700
do_create_spdx, 1728959, 43.41, 1325, 234, 19, 9, 73534649, 140731222, 9625, 194134, 45056, 46235648, 0, 13.259412, 2.347657, 131912, 207669, 3, 88, 89136, 246, 82462, 0.19308499999999998, 0.09881799999999999, 82300, 20882, 0, 0, 1168, 1003, 779
do_package_qa, 3051888, 32.46, 251, 270, 305, 369, 1239119528, 4148811, 88256, 2634, 720498688, 262144, 0, 2.510409, 2.709792, 90848, 227960, 2483, 1395600, 264, 13548, 48436, 3.054865, 3.698616, 67528, 1343328, 64, 11624, 248, 7097, 9360
do_deploy_source_date_epoch, 231413, 0.12, 14, 1, 1, 0, 569751, 159355, 482, 289, 0, 110592, 0, 0.141059, 0.012445999999999999, 64228, 18700, 0, 0, 176, 28, 7, 0.016977, 0.006161, 61428, 4703, 0, 0, 40, 125, 9
