Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 682095, 0.27, 11, 3, 1, 1, 1259501, 497275, 637, 293, 0, 212992, 0, 0.11585799999999999, 0.030036999999999998, 70792, 21196, 0, 0, 312, 41, 6, 0.014622, 0.017693, 67892, 5246, 0, 0, 104, 152, 23
do_collect_spdx_deps, 681859, 0.01, 9, 0, 0, 0, 570277, 50759, 45, 60, 0, 53248, 0, 0.099552, 0.003981999999999999, 68228, 7036, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 425707, 0.06, 10, 2, 1, 0, 710066, 131146, 403, 228, 0, 106496, 0, 0.109513, 0.02028, 66712, 16572, 0, 0, 176, 27, 19, 0.014643999999999999, 0.002363, 63892, 4022, 0, 0, 32, 117, 15
do_install, 971392, 0.78, 22, 2, 25, 2, 10245884, 1145504, 1046, 338, 8192, 1200128, 0, 0.22679, 0.020617, 70372, 13659, 0, 0, 112, 25, 67, 0.259132, 0.029894999999999998, 67676, 7536, 0, 16, 2232, 11, 77
do_write_config, 533304, 0.02, 8, 0, 0, 0, 545804, 46308, 95, 83, 0, 36864, 0, 0.08625999999999999, 0.008206999999999999, 67308, 8553, 0, 0, 56, 4, 2, 0.0021999999999999997, 0.0, 64576, 576, 0, 0, 16, 5, 1
do_create_runtime_spdx, 772821, 0.12, 17, 3, 1, 1, 996711, 358665, 423, 255, 0, 139264, 0, 0.175251, 0.03668, 70956, 18848, 0, 0, 192, 25, 39, 0.014924, 0.014124999999999999, 68156, 4281, 0, 0, 80, 85, 32
do_compile, 960637, 12.50, 19, 0, 1774, 134, 112469827, 10649725, 33651, 5688, 2043904, 6324224, 540672, 0.19960699999999998, 0.008871, 70400, 8694, 0, 0, 368, 100, 99, 17.74384, 1.34942, 138888, 530198, 18, 3992, 11984, 2618, 10411
do_fetch, 426699, 0.01, 9, 0, 0, 0, 509255, 51753, 40, 69, 0, 53248, 0, 0.09732099999999999, 0.00811, 65568, 7074, 0, 0, 104, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 957252, 0.34, 20, 12, 1, 0, 2055069, 1033589, 497, 314, 20480, 1093632, 0, 0.206665, 0.12312, 69608, 7479, 0, 40, 144, 11, 86, 0.011313, 0.007411, 64792, 633, 0, 0, 1992, 8, 19
do_patch, 490632, 0.02, 7, 1, 0, 0, 649504, 125427, 187, 93, 0, 126976, 4096, 0.079015, 0.019753, 65568, 10328, 0, 0, 120, 6, 51, 0.005079, 0.001085, 59832, 949, 0, 0, 128, 13, 5
do_configure, 957669, 4.74, 19, 1, 143, 19, 18877888, 5115698, 5532, 1749, 45056, 5582848, 208896, 0.19014399999999998, 0.019806, 70428, 11506, 0, 0, 152, 14, 77, 1.438544, 0.199311, 67512, 66062, 0, 88, 10752, 833, 1853
do_populate_sysroot, 972103, 1.36, 32, 6, 12, 6, 7379827, 3090743, 3042, 1118, 0, 2035712, 0, 0.320573, 0.067096, 70836, 34845, 0, 0, 1976, 212, 203, 0.12393599999999999, 0.06862399999999999, 68648, 22603, 1, 0, 2000, 308, 319
do_populate_lic, 711839, 0.50, 21, 0, 3, 0, 850335, 187656, 600, 269, 0, 131072, 0, 0.217247, 0.0044329999999999994, 71060, 18764, 0, 0, 224, 54, 237, 0.039291, 0.004340999999999999, 67972, 5021, 3, 0, 32, 96, 75
do_deploy_source_date_epoch, 533474, 0.07, 11, 2, 1, 0, 763255, 160009, 484, 305, 0, 114688, 0, 0.110398, 0.02123, 67716, 19000, 0, 0, 184, 30, 9, 0.010806999999999999, 0.007038999999999999, 64904, 4684, 0, 0, 40, 141, 5
do_unpack, 489413, 0.04, 9, 2, 1, 0, 3711003, 5053649, 771, 895, 0, 3084288, 0, 0.095729, 0.02081, 65528, 10924, 0, 0, 128, 8, 5, 0.016045999999999998, 0.009927, 61812, 2162, 0, 0, 5896, 245, 7
