Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 701689, 0.03, 7, 2, 1, 0, 957720, 618574, 259, 186, 4096, 638976, 0, 0.072931, 0.020257999999999998, 67456, 8147, 0, 8, 104, 3, 4, 0.01077, 0.001166, 62568, 610, 0, 0, 1144, 9, 1
do_recipe_qa, 763591, 0.13, 15, 3, 0, 1, 454189, 119967, 396, 200, 0, 98304, 0, 0.153962, 0.039477, 69488, 16190, 0, 0, 160, 36, 34, 0.008281, 0.017175, 66684, 3993, 0, 0, 32, 75, 49
do_package, 1350794, 6.79, 46, 46, 24, 23, 4016625, 2603078, 6788, 1538, 65536, 2392064, 0, 0.467113, 0.462979, 64100, 74294, 0, 128, 1112, 974, 2862, 0.242171, 0.23543399999999998, 61880, 44516, 2, 0, 3560, 3460, 1742
do_packagedata, 1366626, 0.77, 20, 6, 4, 3, 1007013, 513465, 1650, 447, 0, 696320, 0, 0.20166199999999998, 0.062049999999999994, 70888, 23869, 0, 0, 328, 75, 165, 0.041037, 0.037239999999999995, 68120, 7112, 0, 0, 1032, 158, 168
do_populate_lic, 756677, 0.23, 18, 3, 1, 1, 552538, 164523, 537, 239, 0, 126976, 0, 0.18328999999999998, 0.037406, 69408, 18388, 0, 0, 216, 41, 87, 0.018739, 0.018581, 66672, 4961, 0, 0, 32, 73, 61
do_create_spdx, 1368464, 5.05, 35, 11, 21, 11, 2018377, 999497, 2111, 441, 12288, 528384, 0, 0.353427, 0.117809, 72856, 63874, 0, 24, 920, 207, 406, 0.210978, 0.11934499999999999, 69556, 21269, 1, 0, 112, 2366, 926
do_create_runtime_spdx, 1377611, 0.80, 48, 5, 4, 1, 1594618, 824543, 1410, 346, 0, 466944, 0, 0.488971, 0.051262999999999996, 72548, 21212, 0, 0, 816, 36, 150, 0.041122, 0.010458, 69356, 5537, 0, 0, 96, 105, 77
do_package_qa, 3451172, 1.17, 33, 3, 3, 2, 698935, 252479, 1021, 362, 81920, 167936, 0, 0.333277, 0.033749, 60868, 19877, 0, 160, 272, 128, 745, 0.032146, 0.020322, 58392, 7427, 0, 0, 56, 125, 120
do_deploy_source_date_epoch, 756699, 0.22, 18, 3, 1, 1, 499454, 152840, 471, 268, 0, 114688, 0, 0.18409399999999998, 0.030056, 69512, 18697, 0, 0, 192, 60, 48, 0.017072, 0.0139, 66688, 4515, 0, 0, 32, 71, 96
do_package_write_rpm, 3451072, 5.25, 55, 5, 90, 193, 2621169, 1586771, 2829, 1379, 2625536, 815104, 0, 0.5589459999999999, 0.053231999999999995, 61124, 25067, 0, 4344, 560, 674, 485, 0.900087, 1.930018, 1589320, 1257297, 0, 784, 1032, 17081, 1960
