Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_packagedata, 1358696, 0.61, 14, 4, 3, 1, 686568, 206788, 860, 299, 0, 167936, 0, 0.142484, 0.040187, 70560, 20234, 0, 0, 208, 81, 49, 0.039166, 0.01722, 67760, 6768, 0, 0, 120, 132, 109
do_collect_spdx_deps, 701659, 0.03, 6, 1, 0, 0, 947623, 619541, 260, 187, 0, 638976, 0, 0.060694, 0.016184999999999998, 66896, 7886, 0, 0, 104, 2, 2, 0.006516, 0.006396, 61540, 598, 0, 0, 1144, 9, 1
do_recipe_qa, 763583, 0.12, 12, 3, 1, 0, 439710, 115609, 370, 201, 0, 90112, 0, 0.123086, 0.038464, 68976, 15632, 0, 0, 152, 24, 40, 0.018536, 0.007261, 66176, 3917, 0, 0, 24, 87, 53
do_package_qa, 3138239, 1.23, 17, 5, 4, 0, 536899, 198600, 799, 244, 233472, 159744, 0, 0.17782599999999998, 0.059274999999999994, 56812, 14854, 1, 448, 264, 171, 302, 0.046959999999999995, 0.00598, 54508, 6504, 0, 8, 48, 195, 103
do_populate_lic, 756393, 0.26, 14, 2, 2, 1, 538058, 161055, 551, 241, 0, 122880, 0, 0.143026, 0.024517999999999998, 68984, 17756, 0, 0, 208, 49, 71, 0.027601999999999998, 0.013071999999999999, 66184, 4868, 0, 0, 32, 91, 79
do_create_runtime_spdx, 1373293, 0.81, 13, 3, 3, 0, 880831, 400986, 631, 247, 0, 155648, 0, 0.13444899999999999, 0.039543999999999996, 71580, 20417, 0, 0, 224, 64, 154, 0.038665, 0.003325, 68068, 5276, 1, 0, 80, 102, 121
do_create_spdx, 1360928, 0.76, 15, 4, 3, 2, 1047265, 514509, 662, 284, 12288, 225280, 0, 0.158443, 0.045269, 72076, 21652, 0, 24, 336, 59, 57, 0.036517, 0.026040999999999998, 68460, 6458, 0, 0, 104, 267, 168
do_package_write_rpm, 2721491, 1.41, 22, 6, 78, 18, 1231611, 400294, 1591, 432, 2158592, 294912, 0, 0.224124, 0.060032999999999996, 67888, 22921, 0, 2200, 456, 532, 201, 0.78508, 0.180693, 227052, 95460, 14, 2016, 120, 1102, 463
do_deploy_source_date_epoch, 756495, 0.28, 19, 0, 2, 1, 476130, 142792, 474, 299, 0, 102400, 0, 0.19380899999999998, 0.008426, 68976, 18104, 0, 0, 168, 61, 115, 0.020616, 0.011942999999999999, 66176, 4466, 0, 0, 32, 94, 94
do_package, 1350735, 2.71, 31, 37, 7, 5, 2667447, 1839484, 2339, 784, 53248, 1847296, 0, 0.314295, 0.376378, 61100, 27934, 0, 104, 520, 342, 646, 0.074585, 0.050241999999999995, 58916, 12227, 0, 0, 3088, 232, 384
