Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 762117, 0.18, 14, 2, 2, 0, 445048, 122262, 362, 201, 0, 98304, 0, 0.143498, 0.029435, 69036, 15983, 0, 0, 160, 24, 48, 0.02026, 0.007278, 66224, 3972, 0, 0, 32, 67, 72
do_populate_lic, 740818, 0.51, 14, 3, 2, 1, 542424, 167369, 532, 241, 0, 131072, 0, 0.143362, 0.034754, 69012, 18141, 0, 0, 224, 37, 846, 0.020579999999999998, 0.017037999999999998, 66200, 4979, 0, 0, 32, 89, 96
do_collect_spdx_deps, 703668, 0.04, 10, 1, 1, 0, 947601, 619821, 260, 187, 0, 638976, 0, 0.107913, 0.015986999999999998, 66548, 7833, 0, 0, 104, 2, 0, 0.010758, 0.001218, 61212, 609, 0, 0, 1144, 8, 5
do_packagedata, 1355661, 0.61, 16, 3, 4, 1, 702280, 225338, 798, 301, 0, 180224, 0, 0.16225699999999998, 0.039574, 70448, 22841, 0, 0, 224, 42, 71, 0.04043, 0.017665, 67708, 6879, 0, 0, 128, 150, 113
do_create_spdx, 1362609, 0.74, 18, 4, 3, 2, 1057577, 521440, 678, 284, 143360, 229376, 0, 0.18818, 0.040038, 72080, 22139, 0, 280, 344, 69, 52, 0.032934, 0.029290999999999998, 68496, 6570, 0, 0, 104, 327, 176
do_create_runtime_spdx, 1370399, 0.63, 18, 4, 3, 1, 891751, 407955, 612, 248, 0, 159744, 0, 0.18040499999999998, 0.04314, 71624, 20784, 0, 0, 232, 54, 89, 0.030177, 0.012846999999999999, 68112, 5343, 0, 0, 80, 128, 114
do_package_qa, 3632738, 1.24, 25, 3, 4, 0, 656155, 218025, 858, 250, 32768, 167936, 0, 0.255776, 0.034103, 60140, 17445, 3, 64, 272, 141, 252, 0.047313999999999995, 0.0067729999999999995, 57712, 7520, 1, 0, 56, 106, 81
do_package_write_rpm, 3632558, 2.33, 33, 3, 71, 17, 1329011, 416437, 1683, 434, 1769472, 303104, 0, 0.338493, 0.036704, 60028, 24241, 0, 2416, 472, 298, 271, 0.719085, 0.173822, 263328, 95646, 0, 1040, 120, 3021, 426
do_package, 1346532, 2.22, 27, 34, 8, 4, 2689856, 1900449, 2361, 826, 61440, 1880064, 0, 0.276802, 0.340071, 61420, 28552, 0, 120, 536, 362, 614, 0.08932899999999999, 0.043324, 59208, 12517, 0, 0, 3136, 585, 429
do_deploy_source_date_epoch, 762261, 0.20, 15, 3, 2, 0, 491887, 155688, 473, 265, 0, 110592, 0, 0.156432, 0.032088, 69012, 18610, 0, 0, 184, 57, 87, 0.023534, 0.006716, 66212, 4541, 0, 0, 32, 73, 102
