Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 703697, 0.02, 6, 0, 0, 0, 950632, 619772, 262, 188, 0, 638976, 0, 0.06895, 0.008111, 66612, 7777, 0, 0, 104, 3, 4, 0.007405999999999999, 0.0013469999999999999, 61468, 598, 0, 0, 1144, 8, 0
do_package_write_rpm, 3064455, 7.93, 31, 5, 86, 27, 1356929, 486460, 1915, 501, 1298432, 323584, 0, 0.313456, 0.059302, 58140, 21249, 4, 1736, 448, 487, 315, 0.867949, 0.27871999999999997, 502284, 178627, 0, 800, 184, 1345, 808
do_recipe_qa, 762494, 0.18, 11, 3, 1, 0, 442362, 115422, 370, 202, 0, 90112, 0, 0.115974, 0.03367, 69020, 15708, 0, 0, 152, 27, 124, 0.016947, 0.009500999999999999, 66220, 3918, 0, 0, 24, 71, 40
do_packagedata, 1357675, 0.78, 14, 3, 4, 1, 706329, 224249, 889, 309, 0, 196608, 0, 0.142034, 0.036523, 70620, 20415, 0, 0, 200, 66, 144, 0.043732, 0.013762, 67820, 6798, 0, 0, 184, 112, 105
do_create_runtime_spdx, 1370489, 0.60, 16, 5, 2, 1, 933122, 430936, 653, 254, 0, 172032, 0, 0.163468, 0.054488999999999996, 71624, 20647, 0, 0, 256, 46, 76, 0.02702, 0.016458999999999998, 68112, 5329, 0, 0, 80, 154, 102
do_deploy_source_date_epoch, 762711, 0.18, 13, 6, 1, 1, 478410, 136432, 400, 264, 0, 102400, 0, 0.133101, 0.060846, 69016, 18293, 0, 0, 168, 23, 36, 0.018571, 0.012346999999999999, 66208, 4461, 0, 0, 32, 71, 44
do_populate_lic, 740827, 0.42, 15, 2, 2, 0, 540189, 160673, 560, 242, 0, 126976, 0, 0.153786, 0.024281999999999998, 69008, 17807, 0, 0, 216, 54, 97, 0.029619999999999997, 0.008673, 66208, 4911, 0, 0, 32, 112, 112
do_package_qa, 3066209, 1.91, 15, 3, 2, 1, 534120, 200639, 781, 252, 188416, 151552, 0, 0.15720499999999998, 0.038238999999999995, 58096, 14714, 2, 344, 256, 160, 285, 0.027985, 0.014362999999999999, 55832, 6342, 0, 24, 40, 109, 117
do_create_spdx, 1362780, 1.33, 14, 5, 5, 3, 1114973, 545603, 775, 295, 12288, 245760, 0, 0.149114, 0.057351, 72144, 24667, 0, 24, 376, 70, 90, 0.051164, 0.030381, 68540, 7450, 0, 0, 104, 327, 273
do_package, 1351317, 2.78, 31, 40, 9, 6, 2766427, 1851178, 2672, 807, 49152, 1859584, 0, 0.312171, 0.40582199999999996, 61416, 30973, 0, 96, 560, 434, 725, 0.093348, 0.06322599999999999, 59216, 14377, 0, 0, 3072, 664, 564
