Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 683948, 0.01, 10, 1, 0, 0, 582440, 56238, 59, 67, 0, 53248, 0, 0.10126099999999999, 0.011684, 68420, 7128, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 526042, 0.05, 10, 2, 1, 0, 724436, 136770, 409, 235, 0, 106496, 0, 0.1016, 0.021165999999999997, 67708, 16834, 0, 0, 176, 24, 43, 0.012268, 0.002533, 64908, 4028, 0, 0, 32, 144, 7
do_install, 1309116, 0.53, 21, 3, 30, 3, 10536130, 1380987, 1175, 452, 0, 1421312, 0, 0.21526499999999998, 0.032492, 72632, 14088, 0, 0, 136, 46, 388, 0.302635, 0.038262, 69932, 7833, 0, 0, 2640, 15, 67
do_compile, 1305952, 5.51, 24, 3, 2143, 278, 483858815, 12032192, 79023, 7282, 2863104, 8257536, 3174400, 0.247657, 0.038429, 72620, 9360, 0, 0, 2056, 154, 97, 21.434458, 2.783274, 76944, 1044139, 21, 5592, 14072, 2709, 12986
do_fetch, 526388, 0.01, 7, 0, 0, 0, 521417, 61864, 54, 84, 0, 53248, 0, 0.079967, 0.007996, 66564, 7217, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1309419, 1.00, 41, 15, 17, 10, 8828170, 3436112, 3899, 1220, 0, 2285568, 0, 0.41497399999999995, 0.155615, 72708, 43052, 0, 0, 2184, 273, 1025, 0.17402299999999998, 0.10738299999999999, 70812, 30489, 14, 0, 2280, 310, 524
do_prepare_recipe_sysroot, 1302827, 0.57, 25, 12, 1, 0, 2442119, 1170282, 704, 364, 1097728, 1265664, 0, 0.259677, 0.121462, 72088, 10430, 0, 2112, 176, 101, 47, 0.016912, 0.008315, 67200, 925, 0, 32, 2296, 16, 4
do_patch, 548312, 0.11, 16, 3, 3, 1, 946075, 143741, 715, 158, 266240, 159744, 4096, 0.166329, 0.034813, 66224, 11546, 0, 0, 136, 12, 82, 0.039972, 0.010889, 60596, 9305, 10, 520, 176, 156, 45
do_populate_lic, 713500, 0.54, 21, 4, 3, 0, 1059098, 243681, 614, 282, 28672, 143360, 0, 0.213081, 0.049172, 71272, 18975, 0, 0, 224, 42, 85, 0.03437, 0.0094, 68160, 5035, 3, 56, 56, 125, 65
do_write_config, 578511, 0.06, 14, 1, 0, 0, 558440, 51304, 110, 91, 0, 36864, 0, 0.148332, 0.016481, 67792, 8582, 0, 0, 56, 4, 167, 0.003003, 0.000406, 65084, 578, 0, 0, 16, 5, 1
do_configure, 1303227, 7.27, 22, 2, 282, 52, 35099909, 12503768, 16702, 19155, 512000, 12890112, 876544, 0.22430899999999998, 0.020027, 72836, 11879, 0, 8, 184, 28, 534, 2.822409, 0.526533, 69972, 237753, 4, 992, 24992, 1972, 2587
do_create_runtime_spdx, 773663, 0.11, 20, 3, 1, 1, 1009446, 363857, 453, 262, 0, 139264, 0, 0.20793599999999998, 0.035309, 72148, 19124, 0, 0, 192, 35, 30, 0.016339, 0.011718, 69332, 4275, 1, 0, 80, 82, 65
do_create_spdx, 684576, 0.11, 13, 3, 2, 1, 1407027, 514139, 689, 311, 0, 217088, 0, 0.136478, 0.038993, 71776, 21700, 0, 0, 320, 35, 57, 0.020305999999999998, 0.011486, 68628, 5245, 0, 0, 104, 153, 9
do_deploy_source_date_epoch, 578560, 0.16, 19, 3, 1, 1, 779045, 168365, 496, 330, 0, 118784, 0, 0.192101, 0.036785, 68216, 19069, 0, 0, 192, 34, 163, 0.012528, 0.016491, 65416, 4710, 0, 0, 40, 77, 38
do_unpack, 534435, 0.17, 9, 1, 11, 4, 19214030, 30220550, 2944, 5330, 8192, 17395712, 0, 0.093747, 0.018749, 66712, 12545, 0, 0, 128, 12, 6, 0.115617, 0.047774, 63140, 4627, 0, 16, 33848, 1138, 18
