Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 704084, 0.02, 10, 1, 0, 0, 579075, 46104, 41, 53, 8192, 53248, 0, 0.107164, 0.015875999999999998, 68652, 7274, 0, 16, 104, 2, 32, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7880, 0.11, 17, 2, 1, 0, 693230, 128731, 384, 221, 0, 106496, 0, 0.173592, 0.027617, 59804, 16096, 0, 0, 176, 28, 17, 0.016006, 0.006117999999999999, 57004, 4007, 0, 0, 32, 81, 34
do_install, 205291, 0.16, 13, 2, 7, 0, 2855455, 378853, 2100, 380, 0, 331776, 0, 0.13130999999999998, 0.027034, 64864, 14456, 0, 0, 120, 31, 42, 0.07640899999999999, 0.009132999999999999, 62168, 14811, 0, 0, 528, 236, 13
do_patch, 12579, 0.25, 8, 1, 21, 4, 4448264, 855832, 6206, 739, 0, 864256, 4096, 0.085507, 0.016287, 58916, 16195, 0, 0, 152, 49, 10, 0.21667899999999998, 0.044059999999999995, 53060, 95938, 2, 0, 1536, 1539, 70
do_compile, 199626, 1.19, 10, 0, 434, 54, 61358687, 3462950, 18228, 2413, 0, 2318336, 4096, 0.10772, 0.008617, 64868, 8552, 0, 0, 352, 105, 19, 4.347754, 0.548971, 62152, 332590, 51, 0, 4176, 1230, 1596
do_fetch, 9055, 3.07, 13, 1, 1, 0, 1767124, 1282908, 1229, 1869, 0, 1265664, 0, 0.13427799999999998, 0.010886999999999999, 58360, 7958, 0, 0, 136, 75, 146, 0.015832, 0.0, 54716, 891, 0, 0, 2336, 669, 7
do_create_runtime_spdx, 792637, 0.39, 16, 2, 1, 1, 1006281, 355381, 417, 248, 0, 135168, 0, 0.16405799999999998, 0.021033, 70908, 16498, 0, 0, 184, 33, 116, 0.018789, 0.013162, 68104, 4251, 0, 0, 80, 87, 43
do_prepare_recipe_sysroot, 80941, 0.04, 7, 1, 1, 0, 1841643, 1338785, 466, 376, 0, 1376256, 0, 0.071808, 0.015957, 62432, 7946, 0, 0, 152, 3, 6, 0.012836, 0.0, 56768, 613, 0, 0, 2536, 8, 2
do_configure, 81519, 25.07, 32, 4, 1304, 311, 269945661, 32788492, 150562, 40454, 4096, 35328000, 20697088, 0.324048, 0.044005999999999997, 63736, 16539, 0, 0, 408, 841, 135, 13.049837, 3.110431, 61020, 2653832, 120, 8, 68592, 16450, 9802
do_populate_sysroot, 206986, 0.31, 29, 4, 4, 2, 2714841, 1034666, 1454, 850, 0, 741376, 0, 0.29925599999999997, 0.046637, 65320, 30293, 0, 0, 824, 101, 221, 0.046167, 0.027264, 63072, 11340, 0, 0, 624, 212, 108
do_unpack, 10013, 0.05, 6, 0, 3, 1, 7371042, 10600404, 1148, 1312, 0, 6397952, 0, 0.061033, 0.008719, 59056, 12420, 0, 0, 80, 26, 0, 0.036064, 0.011503, 55392, 6112, 0, 0, 12416, 195, 12
do_populate_lic, 759449, 0.30, 17, 2, 2, 1, 1145518, 258875, 584, 271, 36864, 147456, 0, 0.177832, 0.028949, 70980, 18662, 2, 72, 224, 39, 58, 0.025338, 0.015460999999999999, 67944, 5027, 0, 0, 64, 84, 60
do_create_spdx, 704954, 0.47, 19, 3, 3, 0, 1274802, 533660, 676, 353, 0, 225280, 0, 0.192775, 0.039431, 71952, 21400, 0, 0, 336, 65, 183, 0.036218, 0.0077069999999999994, 68336, 5247, 0, 0, 104, 110, 85
do_deploy_source_date_epoch, 14035, 0.08, 10, 1, 1, 0, 748008, 156993, 480, 298, 0, 118784, 0, 0.107261, 0.012376, 60172, 18241, 0, 0, 192, 30, 4, 0.013784, 0.003078, 57304, 4688, 0, 0, 40, 149, 3
