Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_fetch, 696614, 0.48, 10, 0, 0, 0, 594917, 109508, 243, 191, 0, 114688, 0, 0.10284599999999999, 0.008227, 67596, 8192, 0, 0, 120, 21, 68, 0.002198, 0.00658, 64444, 916, 0, 0, 104, 45, 2
do_collect_spdx_deps, 703756, 0.01, 8, 0, 0, 0, 543438, 41639, 28, 46, 0, 49152, 0, 0.084391, 0.008439, 67640, 7110, 0, 0, 96, 0, 59, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 696280, 0.28, 10, 3, 1, 0, 692617, 122868, 372, 214, 0, 106496, 0, 0.109277, 0.035123999999999996, 69460, 16295, 0, 0, 176, 24, 1, 0.015649, 0.005993, 66660, 3948, 0, 0, 32, 131, 15
do_populate_lic, 757709, 0.16, 19, 2, 1, 1, 805043, 168744, 557, 254, 0, 135168, 0, 0.191126, 0.024399, 70788, 18465, 0, 0, 224, 36, 28, 0.018997, 0.016978999999999998, 67696, 4889, 0, 0, 40, 93, 54
do_install, 772792, 0.07, 15, 1, 0, 0, 644265, 131634, 151, 111, 0, 131072, 0, 0.158126, 0.019764999999999998, 70192, 13681, 0, 0, 64, 7, 66, 0.002603, 0.008629999999999999, 67488, 1335, 0, 0, 192, 9, 25
do_unpack, 697369, 0.02, 9, 0, 0, 0, 794211, 432958, 160, 104, 0, 262144, 0, 0.090638, 0.008239, 67488, 10673, 0, 0, 56, 8, 43, 0.008542, 0.002088, 64460, 1429, 0, 0, 456, 14, 2
do_compile, 764233, 1.67, 16, 1, 150, 11, 9835182, 530592, 1641, 387, 0, 282624, 0, 0.16880499999999998, 0.012057, 70272, 8658, 0, 0, 64, 5, 17, 1.504878, 0.113603, 87384, 48440, 0, 0, 488, 88, 187
do_deploy_source_date_epoch, 760722, 0.22, 20, 3, 1, 1, 744967, 166548, 1782, 399, 0, 114688, 0, 0.204455, 0.039318, 70488, 18813, 0, 0, 184, 94, 72, 0.015837, 0.015214, 67688, 4619, 0, 0, 40, 87, 110
do_prepare_recipe_sysroot, 760790, 0.04, 14, 1, 1, 0, 1036557, 585625, 232, 178, 0, 589824, 0, 0.149803, 0.011523, 68608, 8146, 0, 0, 136, 2, 175, 0.010158, 0.002059, 62980, 612, 0, 0, 1016, 8, 23
do_patch, 701424, 0.07, 11, 0, 3, 1, 1027712, 239586, 709, 160, 0, 266240, 4096, 0.11498399999999999, 0.007929, 68248, 11702, 0, 0, 128, 13, 43, 0.038599, 0.011304999999999999, 62248, 9274, 0, 0, 392, 141, 15
do_configure, 763163, 0.06, 18, 1, 0, 0, 517480, 66061, 85, 115, 0, 69632, 0, 0.185642, 0.011849, 70552, 9060, 0, 0, 128, 5, 95, 0.00125, 0.0030459999999999997, 67652, 606, 0, 0, 8, 7, 10
do_populate_sysroot, 791570, 1.21, 29, 5, 5, 2, 1751104, 555154, 1515, 775, 0, 393216, 0, 0.295606, 0.055179, 70396, 29724, 0, 0, 496, 259, 115, 0.059469999999999995, 0.026723999999999998, 68492, 10328, 0, 0, 272, 216, 315
do_create_runtime_spdx, 791491, 0.39, 17, 2, 1, 1, 969260, 349956, 383, 241, 0, 135168, 0, 0.171929, 0.022923, 70784, 16071, 0, 0, 184, 24, 43, 0.019496, 0.013153999999999999, 67984, 4178, 0, 0, 80, 66, 63
do_create_spdx, 704314, 0.49, 18, 2, 2, 1, 1192434, 490680, 604, 284, 0, 208896, 0, 0.18747899999999998, 0.029826, 70948, 20875, 0, 0, 304, 59, 199, 0.029937, 0.011793, 67812, 5148, 0, 0, 104, 124, 120
