Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2694829, 0.13, 18, 0, 0, 0, 350895, 43068, 30, 44, 0, 53248, 0, 0.182936, 0.0038109999999999997, 72040, 5325, 0, 0, 104, 0, 54, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 2538212, 0.40, 14, 0, 1, 0, 395648, 69987, 281, 187, 32768, 69632, 0, 0.14589, 0.007678, 72728, 8541, 0, 24, 120, 13, 74, 0.013559, 0.003492, 69804, 2178, 0, 40, 16, 62, 19
do_create_spdx, 2712132, 1.28, 21, 5, 4, 3, 1470796, 800742, 810, 593, 16384, 339968, 0, 0.215507, 0.056031, 75752, 26186, 0, 32, 544, 58, 113, 0.044378, 0.032348, 72136, 7424, 0, 0, 120, 402, 216
do_recipe_qa, 645092, 0.09, 10, 2, 1, 0, 520919, 121797, 386, 205, 0, 102400, 0, 0.104365, 0.023191999999999997, 68344, 16258, 0, 0, 168, 24, 35, 0.012147999999999999, 0.009118, 65544, 4000, 0, 0, 32, 144, 14
do_compile, 2541740, 6.02, 13, 1, 501, 42, 36120009, 7953653, 9949, 2965, 1998848, 2551808, 0, 0.137033, 0.015660999999999998, 73188, 8230, 0, 0, 232, 48, 50, 5.010689, 0.426896, 70488, 144540, 4, 3904, 4752, 1783, 2890
do_install, 2560496, 1.16, 21, 2, 5, 0, 1892868, 1383900, 1406, 512, 0, 1380352, 0, 0.21598199999999998, 0.027996999999999998, 66984, 12540, 0, 0, 160, 214, 269, 0.056901, 0.007633999999999999, 64908, 5976, 0, 0, 2536, 108, 416
do_package_qa, 3081316, 2.21, 30, 10, 9, 2, 2951454, 259864, 2055, 283, 1757184, 155648, 0, 0.30357, 0.10600799999999999, 56704, 24153, 55, 3104, 264, 436, 982, 0.09401999999999999, 0.029743, 54328, 22221, 0, 328, 40, 172, 198
do_packagedata, 2620407, 1.52, 19, 3, 4, 2, 826415, 280548, 932, 320, 0, 225280, 0, 0.198937, 0.033860999999999995, 73244, 24019, 0, 0, 224, 75, 73, 0.044442999999999996, 0.02216, 70432, 6927, 1, 0, 216, 160, 130
do_fetch, 651702, 0.31, 9, 1, 0, 0, 789252, 504939, 450, 742, 0, 512000, 0, 0.098171, 0.018879, 66332, 8085, 0, 0, 120, 35, 30, 0.007535, 0.002595, 62860, 893, 0, 0, 880, 210, 12
do_package_write_rpm, 3080976, 5.17, 34, 3, 551, 24, 12585445, 2814873, 3662, 938, 569344, 1855488, 0, 0.344416, 0.038267999999999996, 56976, 24222, 0, 944, 496, 576, 458, 5.517544, 0.24095, 595084, 169066, 3, 168, 3128, 2483, 1873
do_prepare_recipe_sysroot, 2535601, 0.37, 21, 8, 0, 0, 850947, 171742, 232, 77, 274432, 188416, 0, 0.21181999999999998, 0.083215, 70808, 8415, 0, 528, 144, 37, 66, 0.006784, 0.0, 65688, 610, 0, 8, 224, 8, 5
do_patch, 679820, 0.09, 11, 1, 3, 0, 796190, 141299, 672, 140, 0, 167936, 4096, 0.112581, 0.016083, 67232, 11720, 0, 0, 128, 13, 9, 0.0376, 0.006633, 61728, 9320, 0, 0, 200, 140, 19
do_create_runtime_spdx, 3081522, 1.24, 21, 3, 3, 0, 1127468, 423755, 711, 255, 57344, 172032, 0, 0.211357, 0.033624999999999995, 62392, 19078, 0, 112, 256, 69, 76, 0.037444, 0.007982999999999999, 58800, 5373, 0, 0, 80, 121, 83
do_package, 2575295, 5.93, 59, 47, 272, 23, 22114124, 9594009, 11286, 1809, 0, 6582272, 1847296, 0.599621, 0.475136, 68268, 46914, 0, 0, 720, 504, 2404, 2.724663, 0.235287, 66148, 79791, 2, 0, 12136, 2128, 2178
do_populate_lic, 743587, 0.51, 17, 3, 3, 0, 751462, 215683, 560, 252, 0, 139264, 0, 0.17596799999999999, 0.031994, 69636, 18323, 0, 0, 216, 36, 55, 0.037788999999999996, 0.0019479999999999999, 66540, 5000, 1, 0, 56, 92, 67
do_deploy_source_date_epoch, 693539, 0.14, 17, 2, 1, 1, 580521, 156448, 464, 284, 0, 114688, 0, 0.173976, 0.020229, 68948, 18678, 0, 0, 184, 26, 70, 0.014218, 0.014326, 66208, 4668, 0, 0, 40, 79, 76
do_unpack, 673541, 0.07, 7, 1, 2, 1, 6094972, 9969973, 1090, 1377, 4096, 5517312, 0, 0.072227, 0.01605, 66580, 11396, 0, 8, 120, 11, 2, 0.024166999999999998, 0.017891, 63088, 3207, 0, 0, 10656, 297, 5
